,Actor2CountryCode,MonthYear,Count
0,CAN,202003,517
1,PER,202003,124
2,VNM,202003,101
3,ARG,202003,29
4,NMR,202004,14
5,JPN,202005,265
6,PHL,202005,117
7,VUT,202005,65
8,EUR,202005,230
9,MDV,202006,54
10,DNK,202006,23
11,MHL,202005,2
12,EUR,202007,162
13,ISR,202007,143
14,BEL,202007,32
15,GRD,202007,4
16,PRT,202009,11
17,IDN,202002,622
18,AUS,201708,8463
19,AFR,201708,300
20,HRV,201611,39
21,PSE,201702,316
22,TTO,201702,12
23,EGY,201702,90
24,NER,201608,4
25,NPL,201704,9
26,VEN,201703,8
27,CHE,201701,170
28,,201510,53706
29,SYC,201703,11
30,JAM,201609,49
31,GMB,201609,31
32,TUR,201609,78
33,CHN,201509,1421
34,NMR,201609,56
35,GBR,201509,1790
36,VAT,201612,10
37,MDV,201701,111
38,AUS,201601,6690
39,DNK,201603,65
40,NLD,201605,317
41,COL,201705,638
42,LVA,201706,21
43,CUB,201512,32
44,EAF,201609,1
45,EUR,201603,351
46,IDN,201510,1092
47,SDN,201602,155
48,DEU,201709,202
49,COL,201711,96
50,DJI,201709,8
51,MEX,201801,110
52,FJI,201801,110
53,SGP,201712,158
54,ECU,201709,16
55,KWT,201805,68
56,SOM,201803,28
57,ETH,201802,16
58,JOR,201801,30
59,NRU,201711,50
60,BGD,201604,68
61,,201502,19560
62,NGA,201503,117
63,SEA,201505,101
64,TUV,201503,36
65,IRN,201605,115
66,ZWE,201605,49
67,PNG,201502,72
68,BOL,201801,6
69,LKA,201605,128
70,IND,201505,74
71,MUS,201502,4
72,CUB,201503,23
73,LKA,201604,50
74,CHL,201503,90
75,EGY,201605,128
76,NAM,201605,6
77,TWN,201512,28
78,ABW,201506,3
79,LBY,201506,2
80,AFG,201807,129
81,RUS,201807,433
82,NMR,201807,28
83,JAM,201712,24
84,CHL,201712,29
85,GHA,201810,266
86,MNG,201603,36
87,SMR,201511,3
88,WSM,201602,78
89,BOL,201509,6
90,BRB,201503,8
91,PLW,201509,8
92,NOR,201506,28
93,NGA,201901,42
94,POL,201607,142
95,TTO,201508,3
96,NPL,201502,6
97,TTO,201803,2
98,ISR,201912,275
99,AFR,201912,97
100,CYP,201907,16
101,GNQ,201503,1
102,JOR,201806,43
103,VCT,201605,13
104,TTO,201807,8
105,MKD,201810,10
106,DZA,201810,16
107,SVK,201604,4
108,PRT,201712,14
109,EUR,202011,117
110,EGY,202011,35
111,KAZ,201908,5
112,BMU,201511,5
113,LKA,201812,65
114,VAT,202012,41
115,BMU,201606,5
116,OMN,201606,9
117,SOM,201807,4
118,SRB,201509,8
119,URY,202011,3
120,MAR,201811,12
121,VEN,201508,6
122,COD,201909,2
123,COG,201806,2
124,VEN,201511,1
125,ABW,201908,5
126,DOM,201812,14
127,ESP,202001,96
128,MDA,201601,8
129,IRN,201910,477
130,EGY,201607,80
131,KHM,201904,26
132,ARM,201812,16
133,BWA,201509,5
134,HND,201811,9
135,TZA,201808,9
136,VCT,202002,4
137,UZB,201810,2
138,AZE,201606,6
139,KNA,201911,9
140,BTN,201908,1
141,CRB,201909,3
142,BFA,201712,3
143,SSD,201907,9
144,LCA,201605,4
145,NZL,202010,1279
146,GMB,202010,7
147,NIC,201506,1
148,CHE,202010,14
149,DZA,201809,4
150,MDA,201607,2
151,KWT,201912,11
152,UZB,201711,3
153,ZAF,202003,56
154,NLD,202003,186
155,CZE,202004,27
156,CHN,202004,2565
157,PAK,202004,35
158,RWA,202004,13
159,,202005,34379
160,SEA,202005,34
161,SAU,202005,51
162,FRA,201905,372
163,SAU,202006,32
164,MNG,202007,16
165,IDN,201907,356
166,HND,202006,1
167,TTO,202008,3
168,CRI,202008,2
169,CIV,202008,2
170,WSM,202009,12
171,ZWE,201909,35
172,QAT,201611,93
173,SYC,201611,7
174,AUS,201701,7871
175,TUR,201702,52
176,NZL,201701,1477
177,SYR,201702,223
178,HRV,201704,18
179,AGO,201702,4
180,NGA,201701,42
181,UKR,201708,52
182,CHE,201610,96
183,VNM,201610,154
184,CHN,201609,2090
185,PGS,201703,5
186,ECU,201706,18
187,COL,201708,58
188,FIN,201708,24
189,LAO,201708,7
190,MYS,201606,664
191,BEL,201609,49
192,NPL,201610,36
193,BHS,201609,7
194,TUN,201609,4
195,ARM,201707,8
196,BFA,201706,4
197,MOZ,201703,5
198,VCT,201705,4
199,EUR,201605,417
200,GTM,201608,2
201,SLE,201704,3
202,ARG,201512,26
203,LBR,201601,4
204,FJI,201709,96
205,NOR,201801,44
206,CHL,201801,90
207,NLD,201801,95
208,IRQ,201803,89
209,PRY,201709,1
210,OMN,201801,18
211,VNM,201805,432
212,SEA,201802,101
213,ZAF,201802,87
214,COK,201704,9
215,EUR,201802,274
216,IND,201802,56
217,PRK,201802,67
218,AFR,201802,148
219,IRN,201601,146
220,VNM,201711,446
221,MYS,201506,454
222,UKR,201603,267
223,CHL,201510,131
224,DNK,201507,73
225,EST,201509,15
226,LBN,201712,19
227,NRU,201712,16
228,SWE,201601,89
229,SDN,201504,80
230,KEN,201506,39
231,PSE,201512,45
232,PAK,201508,52
233,EGY,201602,121
234,GHA,201506,113
235,POL,201605,72
236,GIN,201602,53
237,CUB,201508,16
238,LVA,201801,10
239,AFR,201804,308
240,THA,201507,195
241,AUS,201807,8050
242,MYS,201807,296
243,FIN,201807,53
244,CYM,201712,10
245,KHM,201605,73
246,JAM,201504,16
247,NRU,201905,29
248,MAR,201508,15
249,ZWE,201501,5
250,NAM,201804,6
251,DOM,201808,4
252,BHS,201506,11
253,PNG,201901,100
254,TGO,201505,2
255,EGY,201906,40
256,UZB,201906,6
257,USA,201806,3509
258,KNA,201803,1
259,TTO,201808,2
260,USA,201912,3075
261,SGP,201912,122
262,ESP,201911,80
263,CUB,201505,21
264,MDG,201601,3
265,BGR,201507,21
266,MMR,201501,2
267,VNM,201907,84
268,BLR,201907,1
269,GUY,201907,11
270,HUN,201806,7
271,BGR,201902,8
272,ARE,201909,75
273,PHL,201911,116
274,TTO,201503,4
275,SLB,201908,37
276,PRK,201504,9
277,BRB,201608,3
278,TTO,201604,3
279,COM,201803,2
280,MHL,201509,2
281,DOM,201906,8
282,CYP,201901,12
283,VUT,202012,14
284,CYP,201905,10
285,AFR,201903,144
286,BLR,201911,3
287,BRA,201910,57
288,BHR,201910,5
289,ARM,201910,3
290,GRD,201607,2
291,LTU,201809,4
292,COG,201810,6
293,BOL,201810,2
294,SSD,201901,10
295,CZE,201911,17
296,COG,201912,2
297,HND,201802,4
298,MDA,201911,1
299,HND,201806,4
300,ISL,202012,6
301,CYP,202001,8
302,MAR,202001,17
303,COG,201907,1
304,DZA,202005,1
305,ARE,202010,53
306,FJI,202010,22
307,ZMB,202010,6
308,BRB,202003,4
309,PLW,201903,2
310,VEN,201601,2
311,TGO,202003,1
312,COG,202011,3
313,CYP,202010,2
314,SEN,201905,6
315,SUR,202004,1
316,DOM,201609,1
317,LKA,202004,72
318,JAM,202005,25
319,,202006,36237
320,ECU,202006,25
321,SEA,202008,41
322,IRL,202002,121
323,GRC,202002,111
324,TON,201707,24
325,PER,201707,46
326,GHA,201611,327
327,BEL,201611,33
