,Actor2CountryCode,MonthYear,Count
0,GBR,202004,46
1,CHN,202005,131
2,,201905,3675
3,,202007,3046
4,LBN,202006,4
5,WST,202009,10
6,NOR,201704,3
7,AZE,201704,53
8,CHN,201611,290
9,PAK,201611,15
10,CHN,201707,127
11,,201702,5404
12,DMA,201608,17
13,NZL,201608,113
14,MDV,201608,21
15,MKD,201801,6
16,BEL,201706,70
17,,201803,6305
18,DEU,201803,147
19,IRN,201803,5
20,BGR,201612,11
21,MNG,201709,10
22,NLD,201610,23
23,CZE,201805,915
24,NOR,201706,10
25,SVK,201710,239
26,DEU,201710,149
27,POL,201509,511
28,ITA,201504,63
29,GRC,201602,180
30,MMR,201701,3
31,GRC,201604,41
32,HUN,201810,79
33,ISR,201508,36
34,IRQ,201504,42
35,BRA,201608,4
36,IND,201804,9
37,CAN,201607,17
38,PHL,201801,2
39,PRT,201807,3
40,FIN,201909,1
41,AFR,201609,5
42,LBY,201712,39
43,GHA,201712,5
44,EUR,201806,284
45,ESP,201511,36
46,CAN,201712,9
47,KOR,202001,2
48,BWA,201908,3
49,MDA,201602,20
50,CUB,201610,4
51,BLR,201508,7
52,CYP,201602,4
53,BEL,201812,34
54,ISR,201509,20
55,FIN,201510,7
56,NZL,201603,3
57,AFG,201508,21
58,SLV,201901,1
59,MLT,201610,2
60,ISR,201603,13
61,GRC,202011,10
62,DEU,202011,51
63,CUB,201811,3
64,PHL,201612,3
65,DNK,201609,4
66,SOM,201910,2
67,GTM,201703,2
68,TUN,201908,4
69,MDV,201807,6
70,PER,201811,2
71,EST,201804,7
72,NMR,201807,2
73,JAM,201505,4
74,TUR,201902,9
75,ARE,201802,2
76,AFG,201909,4
77,JOR,201507,3
78,NZL,201907,4
79,YEM,201708,4
80,KWT,201901,1
81,LBN,201905,2
82,AFG,201908,9
83,MCO,201802,1
84,MNG,201701,1
85,THA,202003,10
86,WSM,201601,1
87,MCO,201605,1
88,USA,202005,182
89,DEU,202007,85
90,PRK,201908,4
91,ARM,202009,2
92,,201704,4694
