,Actor2CountryCode,MonthYear,Count
0,BLR,202003,62
1,HTI,202004,5
2,JPN,202005,217
3,EGY,202005,70
4,NAM,202005,24
5,KAZ,202005,37
6,ZAF,202005,15
7,LKA,202005,9
8,GBR,202007,1281
9,BGR,202007,111
10,CUB,202007,5
11,MRT,202005,7
12,LVA,202006,12
13,NAM,202006,51
14,BGD,202006,9
15,CMR,202007,22
16,VNM,202008,34
17,IDN,202008,30
18,MKD,202008,6
19,AND,202008,11
20,FIN,202002,152
21,SWE,202002,153
22,USA,201707,6728
23,POL,201707,1921
24,BLR,201704,79
25,TUN,201704,184
26,ECU,201704,8
27,PAN,201704,21
28,COD,201608,8
29,PAK,201608,179
30,,201611,48442
31,PHL,201611,203
32,CRI,201611,13
33,SAU,201710,91
34,MAR,201710,68
35,FIN,201802,88
36,BRN,201802,4
37,BGR,201805,428
38,ESP,201609,537
39,AUS,201803,226
40,BRN,201803,1
41,AZE,201701,16
42,CRI,201701,5
43,HRV,201708,47
44,SDN,201709,21
45,PAK,201801,141
46,LCA,201803,1
47,ZWE,201803,97
48,JOR,201711,83
49,IRN,201609,565
50,NMR,201706,23
51,STP,201712,6
52,SAU,201806,37
53,CHL,201806,28
54,WST,201806,213
55,MUS,201712,8
56,ALB,201508,175
57,EGY,201605,627
58,AFR,201601,407
59,IRQ,201604,332
60,VAT,201511,64
61,BGR,201508,71
62,CAN,201512,354
63,IRL,201607,358
64,KWT,201608,34
65,CYP,201610,37
66,TCD,201610,153
67,ISL,201805,8
68,KGZ,201503,47
69,BRA,201602,117
70,AFG,201602,611
71,PSE,201502,19
72,URY,201511,32
73,SDN,201508,19
74,MKD,201505,100
75,LVA,201504,212
76,NMR,201504,21
77,KOR,201506,69
78,ARG,201508,51
79,PRK,201502,8
80,AIA,201603,37
81,MEA,201602,13
82,BEL,201804,667
83,AFG,201912,140
84,TUN,201705,77
85,DJI,202003,3
86,NIC,201512,8
87,SRB,201808,284
88,THA,201808,36
89,PAN,201808,17
90,ZWE,201808,76
91,POL,201811,758
92,CHN,202001,1751
93,SAU,201901,153
94,MLI,201908,6
95,YEM,201901,84
96,AFR,201903,179
97,CAN,201810,338
98,WAF,201810,8
99,DOM,201809,11
100,MMR,201809,10
101,MEA,201604,19
102,NZL,201601,47
103,KWT,201907,26
104,MLT,201603,23
105,LVA,201812,20
106,ISL,201505,14
107,DJI,201512,15
108,PER,201602,41
109,EGY,201902,435
110,GEO,202002,2
111,COG,201508,5
112,PAN,201605,57
113,KHM,201702,14
114,MLT,201906,14
115,GIN,201512,8
116,DZA,201905,9
117,MKD,201905,99
118,THA,201908,39
119,AND,201808,2
120,VNM,202011,55
121,PAN,201908,4
122,MWI,201603,8
123,CYP,201901,25
124,UKR,201910,988
125,BEN,201509,2
126,MMR,201910,15
127,LUX,201710,108
128,VEN,201909,11
129,LAO,201504,2
130,BMU,201811,9
131,KHM,201809,30
132,BTN,201904,1
133,BLZ,201904,3
134,QAT,201911,25
135,KWT,201910,14
136,BRB,201512,1
137,NER,201809,9
138,MLI,201502,4
139,WSM,201802,1
140,LIE,201809,3
141,COG,201612,19
142,OMN,201912,9
143,ASA,201504,3
144,KGZ,202001,22
145,TJK,201611,2
146,KGZ,201812,16
147,MUS,201812,1
148,HRV,202010,15
149,CIV,202010,2
150,TTO,201608,2
151,ZMB,201606,15
152,SWZ,201607,2
153,TKM,201607,13
154,GAB,201709,3
155,ETH,201708,1
156,STP,202003,1
157,LBR,201906,7
158,BRN,201811,1
159,SAF,201604,1
160,GIN,202003,2
161,DOM,201912,6
162,LBR,201806,9
163,DEU,201904,6316
164,CHE,202006,312
165,UKR,201906,1175
166,KHM,202005,6
167,HUN,202007,79
168,NAM,202007,13
169,GTM,202005,6
170,MLT,202006,33
171,FJI,202006,6
172,EUR,201906,1720
173,HUN,202008,67
174,COL,202008,18
175,USA,202002,3313
176,MYS,202003,20
177,,201708,35433
178,EST,201704,43
179,TUR,201703,15751
180,MYS,201702,77
181,KHM,201704,7
182,BHS,201608,20
183,ISR,201611,448
184,THA,201611,83
185,VNM,201703,130
186,TUN,201603,244
187,KOR,201709,385
188,IND,201709,76
189,VAT,201710,49
190,UKR,201802,1385
191,NGA,201803,188
192,EGY,201711,389
193,NIC,201711,11
194,BGD,201612,11
195,NPL,201701,17
196,KOR,201701,140
197,LTU,201708,85
198,NZL,201708,14
199,GHA,201708,5
200,PER,201803,44
201,CAN,201609,474
202,CHN,201706,1453
203,VNM,201706,80
204,UKR,201606,1395
205,NMR,201806,37
206,FRA,201807,2120
207,IRL,201807,276
208,PER,201711,81
209,CHN,201503,1531
210,EGY,201505,753
211,MDG,201512,4
212,UKR,201507,1131
213,RUS,201503,3823
214,NMR,201510,50
215,MAR,201605,81
216,MCO,201801,17
217,PRT,201802,46
218,IRN,201512,548
219,EGY,201610,386
220,MDV,201610,89
221,RWA,201509,124
222,IND,201603,110
223,HUN,201504,160
224,JOR,201509,143
225,TJK,201907,19
226,KEN,201606,79
227,SRB,201606,175
228,SOM,201607,83
229,MYS,201510,35
230,ALB,201605,180
231,MEX,201804,287
232,AFG,201804,113
233,CYP,201804,9
234,FIN,201904,90
235,UZB,201904,37
236,SGP,201912,121
237,YEM,201705,248
238,ETH,201705,21
239,UZB,201705,12
240,BRA,202003,86
241,CUB,201808,49
242,CYP,201808,15
243,VNM,202012,62
244,ALB,201811,58
245,LKA,201811,29
246,LBN,201901,34
247,AIA,201908,13
248,PSE,201908,153
249,COL,201903,33
250,GMB,201903,29
251,MAR,201810,210
252,PRT,201809,169
253,SOM,201809,34
254,WST,201809,168
255,DOM,201706,4
256,VCT,201711,1
257,ZAF,201505,18
258,ETH,201601,12
259,ZAF,201508,20
260,MDA,201507,19
261,BGD,201801,22
262,GHA,201507,24
263,AFR,202001,297
264,SLV,202001,4
265,AIA,201609,8
266,LAO,201908,3
267,MWI,201812,4
268,NLD,202011,174
269,BFA,201504,6
270,CMR,201508,8
271,PHL,201806,21
272,SEA,201512,18
273,CYM,201609,3
274,BDI,201910,3
275,AGO,201907,17
276,LIE,201802,3
277,TCD,201806,2
278,LIE,201904,3
279,SAS,201604,1
280,GTM,201710,13
281,KHM,201905,1
282,LBR,201509,8
283,LIE,201901,1
284,VCT,201601,1
285,BEN,201705,2
286,GRD,201804,4
287,ISL,201603,4
288,GUY,201509,2
289,CYM,201604,2
290,EAF,201611,3
291,CHE,202010,134
292,PHL,202010,12
293,LIE,201811,1
294,BLZ,201508,1
295,MOZ,201910,2
296,ZMB,201710,2
297,CAF,201604,1
298,BRN,201605,4
299,ISL,201912,10
300,BEN,201907,1
301,BHS,202010,4
302,SYC,201905,2
303,KHM,202003,30
304,VNM,202003,120
305,NER,202004,8
306,PAK,202004,36
307,ARG,202007,37
308,MDA,202007,48
309,HND,202006,1
310,GBR,201907,2502
311,FRA,202008,2021
312,TJK,202008,23
313,CHN,202008,548
314,TUN,202008,20
315,MYS,202008,9
316,ARE,202009,30
317,KAZ,202009,18
318,MMR,202002,11
319,CPV,201707,2
320,BGR,201608,195
321,TKM,201608,166
322,DZA,201608,61
323,USA,201611,7165
324,,201603,41054
325,MDV,201703,111
326,CHN,201709,940
327,BEL,201710,463
328,TUR,201802,2783
329,LUX,201802,61
330,DZA,201709,32
331,CHL,201711,51
332,NOR,201711,182
333,NMR,201612,12
334,BLZ,201612,3
335,SUR,201612,4
336,CMR,201803,16
337,NIC,201706,15
338,LTU,201712,57
339,BGR,201806,154
340,GRC,201807,628
341,FRA,201505,3240
342,GBR,201503,2615
343,UKR,201503,2820
344,ERI,201509,76
345,NLD,201506,590
346,TUR,201507,1251
347,BGD,201502,13
348,CIV,201612,2
349,BWA,201504,8
350,ZAF,201604,35
351,TCD,201710,10
352,PRT,201507,66
353,USA,202012,2672
354,HRV,201607,109
355,NGA,201607,163
356,LKA,201505,70
357,TZA,201507,12
358,GRD,201512,9
359,THA,201904,58
360,SDN,201701,31
361,CUB,201705,33
362,PSE,201705,207
363,NZL,201503,59
364,VAT,201503,21
365,JAM,201808,4
366,UZB,201804,10
367,SVK,201804,63
368,WST,201908,101
369,OMN,201801,20
370,ARE,201903,32
371,CAN,201809,370
372,IDN,201809,60
373,MDV,201510,72
374,NGA,201507,69
375,TGO,201604,26
376,CAN,201905,343
377,CUB,201905,43
378,USA,201501,37
379,KGZ,201711,7
380,MDV,201812,80
381,IRQ,201812,288
382,CIV,201603,30
383,SYC,201603,8
384,MCO,202002,11
385,MLT,202001,24
386,IRN,201902,1042
387,URY,201706,4
388,SLE,201903,4
389,CRI,201702,4
390,SEA,201509,15
391,AZE,201906,36
392,CHE,201906,260
393,CMR,201906,15
394,BOL,201608,15
395,SAF,201608,1
396,PAN,201812,35
397,ARM,201812,46
398,SEA,202011,11
399,BFA,201810,7
400,ERI,201902,3
401,GRC,201911,270
402,IRL,201911,127
403,SGP,201911,26
404,MDA,201903,4
405,BRN,201609,5
406,DOM,201502,5
407,UGA,201609,4
408,IND,202001,31
409,EAF,201902,5
410,URY,201602,7
411,MHL,201909,7
412,KWT,201904,4
413,PAN,201906,4
414,ECU,201907,17
415,GNQ,201703,8
416,MRT,201512,7
417,SEA,201804,9
418,MDG,201511,6
419,MNG,201612,6
420,SAF,201812,1
421,LTU,202010,94
422,MDA,202010,7
423,WST,202010,72
424,FIN,202010,33
425,OMN,202010,1
426,DJI,201612,3
427,ERI,201606,10
428,ARE,201607,42
429,MNG,202001,1
430,SMR,201505,1
431,MOZ,202011,3
432,DMA,201806,3
433,COK,202003,3
434,MLI,202012,4
435,BLZ,201806,2
436,WAF,201606,1
437,VAT,202003,39
438,AUS,202004,189
439,BRA,202004,122
440,COL,202004,13
441,COL,202005,28
442,CAN,202005,242
443,ITA,202006,956
444,EGY,202006,119
445,CZE,201906,100
446,ESP,201908,473
447,MOZ,202008,6
448,CHN,201908,774
449,MAR,202008,18
450,ERI,202008,20
451,,201909,29972
452,DEU,201909,6508
453,EGY,202009,112
454,GAB,202009,2
455,AUT,202002,446
456,EUR,201707,2742
457,NLD,201707,420
458,GAB,201704,13
459,EGY,201704,486
460,CAN,201704,481
461,UKR,201608,1527
462,NGA,201608,125
463,CIV,201608,10
464,MEX,201611,263
465,IND,201611,78
466,SDN,201703,16
467,ESP,201709,566
468,DOM,201710,18
469,GAB,201711,25
470,AFG,201512,611
471,JOR,201512,87
472,LBR,201703,3
473,MOZ,201703,11
474,BLZ,201708,2
475,SEA,201708,14
476,CHN,201801,544
477,SYR,201609,2374
478,ISR,201706,499
479,BLR,201706,177
480,ESP,201706,534
481,GHA,201706,46
482,RUS,201712,1173
483,KEN,201708,20
484,CAN,201806,1280
485,VCT,201806,2
486,BEN,201805,18
487,WST,201711,26
488,BEL,201601,535
489,EST,201504,127
490,FRA,201503,5932
491,TUR,201512,1542
492,SAU,201510,269
493,ARE,201506,38
494,KGZ,201602,28
495,NAM,201801,50
496,KAZ,201608,10
497,TWN,201610,38
498,COL,201610,75
499,BOL,201610,18
500,MDA,201610,62
501,CMR,201610,21
502,BGR,201509,102
503,IRL,201602,110
504,ARE,201710,60
505,SDN,201603,152
506,GHA,201907,35
507,MDA,201907,65
508,TWN,201606,16
509,ZAF,201606,39
510,PER,201606,57
511,CUB,201503,25
512,KAZ,201504,76
513,TJK,201508,15
514,MDV,201605,128
515,KWT,201601,17
516,ETH,201904,21
517,HND,201610,8
518,PAN,201603,44
519,BEN,202003,16
520,SOM,201503,34
521,SWE,201808,203
522,NLD,201808,282
523,NPL,201808,8
524,PSE,202012,61
525,THA,202012,28
526,LBN,202011,48
527,SGP,201811,48
528,THA,201811,54
529,MOZ,201807,3
530,AUT,201901,310
531,EUR,201812,1525
532,GNB,201903,2
533,LBY,201810,29
