,Actor2CountryCode,MonthYear,Count
0,ITA,202006,1009
1,EGY,202006,259
2,AUS,202004,281
3,BRA,202004,98
4,COL,202004,14
5,VAT,202003,22
6,CAN,202005,345
7,COL,202005,28
8,CZE,201906,72
9,MAR,202008,68
10,ESP,201908,1167
11,ERI,202008,3
12,MOZ,202008,12
13,,201909,36984
14,EGY,202009,194
15,MAR,201909,132
16,DMA,202009,3
17,GAB,202009,17
18,AUT,202002,101
19,CHN,201908,1357
20,DEU,201909,2941
21,IRL,201602,314
22,MEX,201611,279
23,IND,201611,116
24,COL,201610,122
25,NLD,201707,375
26,EUR,201707,1918
27,GAB,201704,11
28,CAN,201704,1585
29,SDN,201703,148
30,EGY,201704,473
31,UKR,201608,1377
32,GIN,201608,58
33,NGA,201608,100
34,CIV,201608,38
35,KAZ,201608,60
36,TWN,201610,77
37,CMR,201610,99
38,BOL,201610,15
39,HND,201610,3
40,AND,201703,18
41,AGO,201701,39
42,KEN,201708,25
43,SEA,201708,15
44,COD,201708,36
45,LBR,201703,5
46,IDN,201603,108
47,ESP,201706,1153
48,BLR,201706,125
49,GHA,201706,51
50,ISR,201706,424
51,SYR,201609,2328
52,COG,201706,41
53,TGO,201612,14
54,MLI,201607,291
55,BLZ,201708,3
56,MDA,201610,14
57,SAU,201510,1159
58,BEL,201601,1330
59,MOZ,201703,14
60,BRB,201705,10
61,TUR,201512,1374
62,JOR,201512,271
63,TMP,201610,2
64,PER,201606,58
65,AND,201706,1
66,BDI,201701,2
67,ESP,201709,1000
68,MDV,201605,92
69,MHL,201606,6
70,FJI,201606,22
71,CHN,201801,2802
72,RUS,201712,1153
73,GAB,201711,20
74,LBR,201712,4
75,WST,201711,25
76,DZA,201710,318
77,URY,201712,86
78,ARE,201710,101
79,DOM,201710,34
80,BEN,201805,8
81,FRA,201503,9956
82,SDN,201603,51
83,AFG,201512,151
84,ARE,201506,83
85,CUB,201503,400
86,GNB,201508,5
87,CPV,201512,3
88,DZA,201502,111
89,BGR,201509,109
90,MNG,201602,6
91,VAT,201602,29
92,KWT,201507,49
93,SOM,201503,19
94,SEA,201601,20
95,GHA,201907,75
96,GMB,201907,14
97,GIN,201907,80
98,MDA,201907,13
99,CRI,201605,8
100,DZA,201906,116
101,MDG,201906,33
