,Actor2CountryCode,MonthYear,Count
0,GBR,202003,15565
1,ARG,202004,141
2,URY,202004,24
3,LCA,202004,12
4,ARG,202003,189
5,ETH,202003,25
6,ZAF,202003,212
7,ITA,202005,640
8,SAU,202005,200
9,LUX,202005,18
10,AGO,202005,8
11,TCD,202005,3
12,MEX,202006,74
13,,201906,93240
14,NLD,201907,444
15,DMA,202006,21
16,SYR,201908,1231
17,AUS,201908,1538
18,QAT,202008,95
19,KAZ,202008,16
20,GNB,202008,1
21,MAR,202009,33
22,CRI,202009,2
23,IRN,201709,1109
24,NZL,201803,403
25,BHR,201803,126
26,,201701,122142
27,GRC,201805,650
28,TTO,201711,33
29,GNQ,201802,15
30,AND,201612,2
31,BEL,201612,1023
32,ARE,201612,310
33,NZL,201612,183
34,ZWE,201612,160
35,GMB,201612,86
36,FIN,201610,228
37,GIN,201611,76
38,SSD,201611,66
39,USA,201511,9615
40,MCO,201702,190
41,MMR,201702,114
42,EST,201703,694
43,TUR,201702,723
44,FIN,201708,394
45,DNK,201708,149
46,TON,201711,9
47,EUR,201704,5686
48,MCO,201704,114
49,SAU,201604,1067
50,TCD,201702,7
51,MLI,201702,20
52,KOR,201602,179
53,ISR,201609,992
54,DJI,201611,15
55,GRC,201706,496
56,LBY,201706,830
57,TTO,201706,25
58,MLI,201610,39
59,SLV,201611,3
60,CYP,201606,285
61,UGA,201712,51
62,COD,201701,29
63,TWN,201701,59
64,AUS,201601,1853
65,GRD,201609,35
66,AFR,201804,773
67,COD,201703,8
68,CAF,201708,1
69,GNQ,201701,9
70,BGD,201604,320
71,MKD,201705,85
72,NGA,201705,1554
73,ETH,201707,71
74,LVA,201707,54
75,MDV,201509,338
76,AIA,201701,12
77,PRK,201605,226
78,PAK,201605,1407
79,ZAF,201605,238
80,GTM,201805,13
81,TUR,201604,831
82,MEA,201611,1
83,LAO,201703,5
84,MDV,201512,170
85,BHR,201607,122
86,ARG,201511,211
87,TUR,201806,327
88,IRQ,201806,278
89,BWA,201604,10
90,AUT,201606,218
91,OMN,201606,77
92,HUN,201509,245
93,NGA,201508,554
