,Actor2CountryCode,MonthYear,Count
0,TKM,202005,11
1,SOM,202005,4
2,HND,202005,6
3,THA,202007,158
4,FRA,202007,242
5,GMB,202007,10
6,BEL,202006,22
7,PRY,202007,4
8,USA,201907,4253
9,NOR,202007,9
10,ZAF,202008,16
11,SLB,202008,14
12,SYR,202008,16
13,ARE,202009,14
14,NLD,201909,40
15,CHL,202009,14
16,BHR,202009,2
17,CHN,201511,3499
18,PHL,201511,665
19,JPN,201607,5135
20,WST,201608,14
21,SAU,201607,252
22,YEM,201608,11
23,HUN,201707,13
24,BEL,201707,245
25,USA,201706,3947
26,BGR,201704,5
27,NZL,201702,64
28,DZA,201702,4
29,CZE,201708,26
30,RUS,201609,2085
31,GIN,201612,8
32,GIN,201707,6
33,LTU,201707,6
34,JOR,201607,28
35,AFR,201801,82
36,PER,201803,165
37,AUS,201711,1022
38,SEA,201711,233
39,BEL,201801,32
40,BRA,201508,139
41,LKA,201510,397
42,DEU,201508,396
43,ASA,201802,5
44,KGZ,201802,15
45,IRL,201812,51
46,NPL,201812,78
47,LAO,201812,20
48,ISL,201712,45
49,UZB,201507,36
50,VNM,201508,353
51,SGP,201601,243
52,NIC,201907,6
53,PAN,201504,17
54,GHA,201503,55
55,MMR,201603,75
56,PNG,201712,14
57,SEA,201911,273
58,SAU,201811,147
59,TJK,201505,8
60,PAK,201811,53
61,KWT,201806,3
62,PSE,201510,53
63,MHL,201512,5
64,LVA,201803,7
65,CAN,201901,232
66,TWN,201901,175
67,SEA,201812,70
68,KEN,201901,35
69,KGZ,201812,18
70,CHE,201605,61
71,BOL,201510,2
72,PRK,201910,758
73,HND,201712,3
74,CZE,201507,28
75,QAT,201810,183
76,BLR,201507,23
77,VEN,201911,6
78,MRT,201802,2
79,LBY,201702,4
80,ASA,201506,22
81,ISL,201901,21
82,SOM,201812,7
83,UZB,201604,19
84,LAO,201508,16
85,NER,201505,2
86,THA,201808,102
87,IRQ,201606,68
88,NPL,201606,30
89,IRL,201512,13
90,MLI,201712,1
91,MUS,201712,4
92,MNG,201508,32
93,HTI,201508,8
94,SHN,201710,4
95,LKA,201710,41
96,LUX,201604,1
97,BFA,201506,5
98,NZL,201906,76
99,MCO,201906,5
100,BEL,201910,32
101,NPL,201910,45
102,MKD,201909,4
103,HUN,201904,13
104,SRB,202002,8
105,IRQ,201901,15
106,ARM,201710,4
107,ARG,201809,40
108,BGR,201808,30
109,DOM,201509,2
110,MDV,201905,59
111,KAZ,201809,10
112,ATG,201903,5
113,LUX,201901,5
114,GIN,201807,2
115,RWA,201607,17
116,EST,201611,3
117,MOZ,201909,1
118,KIR,201912,13
119,TTO,201812,1
120,MNG,201912,4
121,CAN,202012,114
122,MNG,202012,13
123,UKR,202010,44
124,SYC,201806,2
125,EST,201608,5
126,URY,201901,1
127,BRN,202001,3
128,GTM,201811,4
129,BDI,202001,2
130,ALB,201607,1
131,WSM,202010,2
132,GTM,202010,4
133,BFA,201912,1
134,SLV,202001,2
135,BGD,202004,37
136,IRQ,202004,19
137,ARG,202005,29
138,VEN,202005,3
139,SEN,202005,2
140,PHL,201906,432
141,AUS,202007,506
142,DEU,202007,204
143,TZA,202007,5
144,SYR,202006,1
145,BRN,201907,26
146,RWA,202008,3
147,FRA,202008,173
148,GUY,202008,1
149,CAN,202009,126
150,KOR,202002,981
151,MMR,202002,37
152,IRL,201702,62
153,EGY,201611,117
154,SWE,201611,60
155,CHN,201610,2725
156,LBN,201611,12
157,CUB,201611,101
158,IDN,201608,357
159,BGD,201608,121
160,ZWE,201608,32
161,JPN,201707,4517
162,JPN,201704,5608
163,DEU,201704,292
164,MDV,201702,53
165,IRL,201701,62
