,Actor2CountryCode,MonthYear,Count
0,DMA,202004,2
1,UKR,202004,280
2,FRA,202003,138
3,SVK,202003,66
4,FIN,202006,14
5,ITA,201907,118
6,POL,202002,1295
7,AFG,202009,1
8,BEL,201704,121
9,BGR,201704,40
10,GBR,201703,1314
11,SVK,201707,251
12,EST,201707,48
13,DNK,201611,37
14,BEL,201703,540
15,MLT,201703,41
16,SYR,201701,58
17,NGA,201702,15
18,BLR,201708,164
19,CHN,201708,46
20,TZA,201708,2
21,BHR,201704,7
22,NMR,201704,5
23,EST,201706,123
24,BGR,201709,116
25,EUR,201510,643
26,VNM,201510,16
27,UKR,201803,1356
28,ALB,201803,12
29,KAZ,201709,142
30,AUT,201711,39
31,SEN,201708,2
32,POL,201804,2056
33,IDN,201804,28
34,PRT,201712,14
35,PER,201704,6
36,ISR,201505,71
37,AUT,201705,108
38,SAU,201705,12
39,AUT,201712,71
40,SSD,201707,1
41,LVA,201510,48
42,CZE,201502,47
43,PRK,201509,7
44,GRC,201510,41
45,IRN,201802,21
46,PAK,201509,18
47,ZAF,201512,5
48,BRA,201509,44
49,PSE,201603,8
50,ZAF,201610,17
51,BDI,201601,2
52,MLT,201510,2
53,LVA,201810,28
54,KOR,201512,10
55,IRN,201502,8
56,BRA,201811,27
57,SEN,201811,12
58,IRQ,201603,20
59,DNK,201904,23
60,KAZ,201503,9
61,TUN,201601,13
62,ZWE,201811,1
63,LTU,201501,2
64,QAT,201904,6
65,PSE,201601,11
66,BGR,201907,63
67,NOR,201907,23
68,PRT,201808,16
69,ZAF,201509,2
70,ETH,201608,2
71,ZWE,201805,4
72,ITA,201902,116
73,IND,201903,6
74,TUN,201604,4
75,ARG,201901,15
76,MDV,201907,13
77,CMR,201512,4
78,COL,201806,84
79,ECU,201605,1
80,GBR,201911,297
81,URY,201803,3
82,IRN,201905,16
83,CUB,201912,3
84,LBY,201602,5
85,TZA,201606,5
86,CHE,201606,151
87,CHL,201807,7
88,HRV,201912,8
89,THA,202010,6
90,BHS,201909,13
91,SRB,201806,14
92,LBY,202001,7
93,ZAF,201808,9
94,SLE,201808,1
95,LBR,201911,2
96,BEN,201510,2
97,ZAF,201804,2
98,NMR,201804,2
99,EST,202011,4
100,SEN,201912,3
101,VNM,201807,7
102,HND,201903,2
103,ALB,201905,13
104,TJK,201902,1
105,JAM,202003,6
106,VNM,202003,12
107,GBR,201907,228
108,WST,201908,54
109,FRA,202008,120
110,MDA,202007,1
111,CHN,202008,85
112,ARG,202007,3
113,TUN,202008,6
114,KAZ,202009,7
115,ARE,202009,5
116,CRI,201702,1
117,USA,201611,1275
118,DZA,201608,17
119,BOL,201608,6
120,,201603,13448
121,MDV,201703,25
122,CHN,201709,88
123,BEL,201710,181
124,NMR,201612,3
125,LUX,201802,34
126,TUR,201802,66
127,SVK,201804,111
128,LTU,201712,109
129,BGR,201608,45
130,CHL,201711,22
131,GBR,201503,240
132,UKR,201503,1041
133,CUB,201705,4
134,PSE,201705,14
135,DZA,201709,1
136,FRA,201505,210
137,TUR,201507,53
138,ARE,201903,9
139,DJI,201612,1
140,GRC,201807,193
141,NLD,201506,57
142,PRT,201507,10
143,MDG,201511,3
144,ZAF,201604,7
145,NOR,201711,35
146,USA,201501,17
147,MDG,201810,4
148,MDV,201510,10
149,NZL,201503,10
150,OMN,201801,2
151,IRQ,201812,20
152,PAN,201812,9
153,SLE,201812,2
154,MDV,201812,10
155,CHE,201906,29
156,ARM,201812,17
157,CAN,201809,74
158,IDN,201809,48
159,IRN,201902,1143
160,HRV,201607,20
161,NGA,201507,8
162,SEA,201509,5
163,BGR,201806,56
164,SSD,201806,3
165,SGP,201911,17
166,GRC,201911,25
167,CAN,201905,67
168,MRT,201512,1
169,VAT,201503,7
170,BEN,201504,2
171,ERI,201509,9
172,USA,202012,532
173,AZE,201906,81
174,SMR,201505,2
175,DMA,201806,5
176,KWT,201904,13
177,IRL,201911,25
178,THA,201904,5
179,UZB,201804,1
180,LTU,202010,229
181,WST,202010,17
182,FIN,202010,23
183,MDA,202010,1
184,CMR,201906,1
185,NGA,201607,11
186,IND,202001,3
187,MLI,202012,3
188,VUT,201910,5
189,MOZ,202011,1
190,BHR,201912,3
191,MMR,202002,1
192,MDA,201903,2
193,MNG,202001,1
194,MLT,202001,2
195,PAN,201906,2
196,URY,201602,1
197,ARE,201607,4
198,CUB,201905,2
199,LKA,201505,4
200,TUR,202004,20
201,JAM,202005,2
202,VAT,202005,80
203,NLD,202005,45
204,ITA,202007,81
205,LVA,202007,20
206,TUR,202007,145
207,TUN,202007,1
208,ISR,201908,58
209,SOM,202008,1
210,FRA,202002,596
211,HUN,201702,115
212,CHE,201704,79
213,BEL,201707,409
214,UKR,201707,901
215,ESP,201611,90
216,JAM,201611,8
217,NLD,201611,49
218,PER,201611,19
219,IRN,201701,30
220,SVK,201611,59
221,POL,201606,2908
222,,201709,13813
223,AUS,201710,42
224,DEU,201612,1182
225,CHL,201612,27
226,BGR,201711,23
227,SVK,201709,86
228,NZL,201801,14
229,THA,201805,4
230,NOR,201805,46
231,PSE,201708,2
232,JAM,201708,2
233,SDN,201708,2
234,PNG,201802,1
235,SGP,201805,29
236,VCT,201706,1
237,CZE,201804,135
238,MWI,201709,3
239,UKR,201712,1456
240,VAT,201711,19
241,USA,201508,925
242,NOR,201504,68
243,UKR,201505,1109
244,LTU,201601,141
245,NOR,201603,27
246,ISR,201601,83
247,HRV,201604,8
248,MDA,201802,16
249,IRQ,201509,59
250,USA,201903,946
251,EST,201807,107
252,SEN,201807,2
253,NPL,201710,1
254,TUR,201908,36
255,BEL,201908,100
256,AFR,201908,12
257,NOR,201601,50
258,,201806,12457
259,SYC,201512,3
260,NZL,201812,71
261,NOR,201507,23
262,MNG,201811,5
263,IND,201604,1
264,SEN,201507,2
265,TUN,201907,3
266,SYR,201808,35
267,SEN,201701,10
268,FRA,201902,313
269,VAT,201802,5
270,IRQ,201910,5
271,NLD,201901,55
272,NOR,201901,41
273,CYP,201508,4
274,ARE,202002,7
275,VEN,201505,1
276,URY,201508,4
277,ARE,201808,3
278,MMR,201710,5
279,NGA,201710,6
280,GTM,201503,5
281,KAZ,201906,9
282,QAT,201810,20
283,JPN,202001,100
284,LBN,201912,7
285,BEL,202012,153
286,SRB,201505,1
287,ITA,202010,113
288,DNK,202011,25
289,ZWE,201710,2
290,DOM,201606,13
291,NGA,201908,4
292,DJI,201806,1
293,KEN,201904,4
294,HTI,201506,1
295,PER,201907,2
296,DMA,201902,1
297,GRC,201909,53
298,BEL,201909,68
299,RUS,202001,2031
300,CHE,202001,23
301,WST,202001,22
302,PER,201810,6
303,SRB,201909,11
304,BTN,201507,3
305,AUS,202011,9
306,PAN,201904,4
307,VEN,201607,15
308,MAR,202001,7
309,TGO,201810,2
310,SAU,201808,7
311,PHL,202002,3
312,AFG,201905,3
313,SDN,201606,2
314,SDN,201910,9
315,HRV,202004,9
316,LBY,202005,3
317,EST,202005,32
318,USA,201907,913
319,VNM,202006,3
320,AZE,202006,15
321,SGP,202009,1
322,JOR,202009,3
323,ITA,202002,136
324,USA,201704,1147
325,SVK,201704,56
326,FRA,201704,228
327,HRV,201707,291
328,AGO,201611,12
329,HUN,201607,280
330,SYR,201703,67
331,,201610,16764
332,SGP,201611,1
333,ARM,201610,19
334,SWE,201706,69
335,BLR,201709,173
336,AFR,201710,30
337,MUS,201612,3
338,AFR,201612,16
339,MEX,201803,14
340,BEL,201609,94
341,GRC,201803,54
342,ITA,201711,165
343,IRL,201711,65
344,IDN,201711,37
345,AFR,201801,39
346,MNG,201702,5
347,URY,201702,1
348,AUT,201804,30
349,BHR,201801,5
350,FRA,201504,409
351,GBR,201506,353
352,USA,201505,772
353,DEU,201502,154
354,USA,201601,669
355,KEN,201706,1
356,DMA,201705,5
357,MYS,201504,11
358,IRL,201504,81
359,DNK,201503,58
360,DNK,201601,35
361,CZE,201506,162
362,FRA,201606,400
363,LUX,201504,26
364,SEN,201504,16
365,IRL,201903,94
366,PSE,201903,24
367,CHN,201807,114
368,CHE,201807,23
369,FIN,201503,34
370,FIN,201601,31
371,UZB,201504,12
372,VNM,201605,11
373,CHE,201503,44
374,KGZ,201601,2
375,IRN,201506,18
376,KGZ,201507,23
377,SAU,201503,4
378,UZB,201612,1
379,VAT,201512,16
380,SEA,201712,1
381,LUX,201510,5
382,SWE,201605,65
383,SWE,201510,20
384,UGA,201605,3
385,ARM,201604,45
386,PAN,201507,7
387,MAR,201608,9
388,AND,201812,2
389,KAZ,201506,7
390,BDI,201602,6
391,ITA,201808,87
392,TZA,201705,7
393,HRV,201907,41
394,SYR,201502,7
395,EGY,201810,5
396,PAN,201902,8
397,TZA,201701,6
398,NOR,201502,5
399,PHL,201910,1
400,CUB,201901,6
401,MLT,201901,52
402,MCO,201712,1
403,VAT,201809,9
404,ESP,202002,69
405,PSE,202002,5
406,LVA,201911,23
407,LBY,201802,4
408,IND,201509,7
409,JOR,201905,8
410,TZA,201908,5
411,PHL,201510,6
412,HND,201510,3
413,CAN,201912,36
414,EST,201912,65
415,ISR,202012,62
416,GEO,201904,4
417,GTM,201809,11
418,KGZ,201504,2
419,MUS,201902,2
420,HND,201707,2
421,NZL,201910,31
422,KEN,201801,1
423,BFA,201505,1
424,BGR,201905,18
425,LKA,201905,10
426,GHA,201906,2
427,IDN,201607,15
428,JAM,201507,2
429,BDI,201804,1
430,KOR,201909,26
431,LBY,202002,5
432,SYR,201909,7
433,BGR,201808,26
434,ARM,201912,2
435,ALB,201509,1
436,ARM,202004,4
437,DOM,201905,2
438,EGY,202005,27
439,JPN,202005,11
440,ZAF,202005,8
441,GBR,202007,141
442,LVA,202006,29
443,BGD,202006,1
444,BGR,202007,13
445,CUB,202007,1
446,IDN,202008,8
447,MKD,202008,2
448,VNM,202008,5
449,BLR,201704,163
450,ECU,201704,2
451,POL,201707,4348
452,USA,201707,2646
453,,201611,14010
454,PAK,201608,25
455,AZE,201701,4
456,PHL,201611,17
457,HRV,201708,29
458,NMR,201706,2
459,LUX,201710,36
460,ESP,201609,107
461,AUS,201803,44
462,ZWE,201803,29
463,PAK,201801,98
464,BGR,201805,105
465,IRN,201609,39
466,ETH,201708,6
467,BEL,201804,205
468,CRI,201611,2
469,JOR,201711,3
470,TUN,201704,2
471,CAN,201512,42
472,TUN,201705,21
473,COG,201612,5
474,ISL,201505,9
475,BGR,201508,157
476,FIN,201802,30
477,KHM,201702,1
478,MLT,201603,4
479,LVA,201504,39
480,TCD,201610,2
481,CYP,201610,6
482,PER,201602,14
483,BRA,201602,8
484,AFR,201601,23
485,IRQ,201604,7
486,MAR,201710,10
487,THA,201908,7
488,MLI,201908,2
489,PRK,201502,1
490,CAN,201810,44
491,LIE,201610,2
492,POL,201811,2036
493,PSE,201502,11
494,VAT,201511,43
495,BRB,201512,6
496,PAN,201605,3
497,EGY,201605,18
498,LVA,201812,13
499,COG,201508,3
500,ALB,201508,3
501,KOR,201506,14
502,NZL,201601,11
503,MUS,201812,6
504,AFG,201602,7
505,EGY,201902,54
506,ISL,201805,3
507,UKR,201910,606
508,NMR,201504,1
509,SAU,201901,13
510,SWE,202002,40
511,WST,201806,133
512,CHL,201806,13
513,QAT,201911,19
514,GEO,201905,3
515,SDN,201508,2
516,THA,201808,4
517,SAU,201710,6
518,PAN,201908,1
519,MLT,201906,18
520,MKD,201505,3
521,AFR,201903,15
522,AFG,201912,17
523,CHN,202001,128
524,GEO,202002,1
525,FIN,202002,18
526,CIV,202010,2
527,HRV,202010,8
528,YEM,201901,7
529,VNM,202011,14
530,IRL,201607,65
531,TKM,201607,7
532,DOM,201809,2
533,PAN,201704,18
534,NIC,201512,1
535,PAN,201808,8
536,DOM,201912,1
537,BLR,202003,80
538,SAU,201806,3
