,Actor2CountryCode,MonthYear,Count
0,KHM,202004,14
1,SDN,202003,19
2,SYR,201905,3088
3,ISR,202007,269
4,ZWE,202006,56
5,AZE,202008,399
6,ITA,201908,311
7,ARM,201908,493
8,FJI,202009,1
9,PRK,202002,189
10,UZB,201711,296
11,BLR,201801,615
12,,201712,75826
13,PRK,201609,753
14,KAZ,201802,488
15,MDA,201702,659
16,WST,201803,601
17,EUR,201803,2961
18,EGY,201803,933
19,DNK,201803,174
20,GBR,201710,2051
21,SDN,201711,785
22,IDN,201706,70
23,IDN,201601,134
24,ZWE,201601,10
25,MRT,201701,2
26,LBY,201703,1369
27,LAO,201709,14
28,SAF,201805,1
29,SYR,201608,17669
30,SAU,201607,312
31,IRL,201704,69
32,SEN,201704,75
33,UGA,201703,3
34,BEL,201712,236
35,IDN,201712,130
36,FRA,201610,7439
37,LBY,201510,169
38,NPL,201610,24
39,RWA,201708,4
40,MEA,201708,9
41,GTM,201611,13
42,VAT,201704,12
43,CHE,201705,247
44,COG,201708,6
45,BMU,201708,1
46,COG,201705,2
47,SLB,201611,1
48,VNM,201511,183
49,BTN,201609,9
50,PGS,201609,5
51,LUX,201609,56
52,URY,201612,11
53,TTO,201804,9
54,ZWE,201508,13
55,ABW,201805,2
56,BMU,201711,16
57,FJI,201804,5
58,COD,201804,4
59,KWT,201607,21
60,ARG,201509,69
61,URY,201607,17
62,GUY,201607,10
63,IND,201508,89
64,LUX,201606,217
65,HRV,201606,35
66,MRT,201711,10
67,EUR,201505,2433
68,ARE,201508,171
69,YEM,201503,564
70,MYS,201503,157
71,POL,201508,721
72,MDA,201512,188
73,MNG,201512,137
74,PRT,201502,26
75,LUX,201601,21
76,VNM,201501,18
77,URY,201604,19
78,GHA,201503,13
79,OMN,201510,63
80,MEA,201607,13
81,NPL,201510,4
82,SAS,201601,25
83,ARG,201601,34
84,KOR,201502,78
85,QAT,201502,18
86,BHR,201510,25
87,AGO,201601,29
88,SEN,201511,3
89,ASA,201606,1
90,USA,201808,16715
91,ALB,201808,79
92,BRA,201810,166
93,SRB,201810,602
94,WST,201810,720
95,PAN,201810,6
96,CHE,201812,378
97,SUR,201907,58
98,SRB,201901,1544
99,MMR,201901,24
100,IND,201811,118
101,FIN,201811,834
102,NOR,201811,342
103,CHE,201811,410
104,NGA,201811,96
105,CAF,201811,66
106,RUS,201806,15604
107,NLD,201807,193
108,,201902,68797
109,PNG,201503,2
110,SUR,201908,6
111,ARM,201909,634
112,IDN,201909,106
113,TKM,201909,72
114,CHL,201909,28
115,IRQ,201909,240
116,CAS,201809,17
117,PHL,201905,33
118,ZAF,201906,47
119,PGS,201809,9
120,CYP,201904,45
121,BGR,201904,91
122,YEM,201904,54
123,DMA,201807,1
124,ARG,202002,41
125,JOR,202002,172
126,NZL,202002,41
127,GEO,201603,2
128,NMR,201812,22
129,ARE,202011,25
130,BFA,201808,11
131,NLD,201911,151
132,LBY,201911,346
133,TWN,202012,31
134,PRK,202012,71
135,SYR,201912,3880
136,HUN,201912,93
137,BDI,201807,6
138,CUB,201910,1157
139,BHR,201905,21
140,MYS,201905,18
141,TUV,201906,3
142,DMA,202002,1
143,GUY,201910,6
144,PGS,202001,20
145,NAM,201912,2
146,GTM,201903,5
147,BLZ,201812,9
148,BDI,201809,13
149,SMR,201810,4
150,PAK,202004,52
151,KHM,202003,25
152,VNM,202003,135
153,MUS,202005,6
154,MDA,202007,181
155,GBR,201907,2292
156,HND,202006,1
157,CHE,201906,183
158,ARG,202007,25
159,CHN,202008,2314
160,FRA,202008,870
161,TJK,202008,55
162,MYS,202008,34
163,CAF,202008,10
164,DJI,202008,10
165,TUN,202008,9
166,KAZ,202009,194
167,ARE,202009,126
168,CAF,202009,13
169,DZA,201709,165
170,CHN,201709,5684
171,USA,201611,14990
172,KGZ,201711,252
173,NOR,201711,163
174,TUR,201802,3085
175,LUX,201802,26
176,OMN,201801,104
177,SDN,201701,44
178,CHL,201711,38
179,NIC,201706,30
180,TCD,201710,18
181,UZB,201804,148
182,SVK,201804,108
183,,201603,87376
184,MDV,201703,87
185,SEA,201804,14
186,MNG,201612,151
187,BEL,201710,118
188,LTU,201712,133
189,BRN,201609,198
190,NGA,201607,62
191,DZA,201608,117
192,BGR,201608,455
193,BOL,201608,78
194,TKM,201608,72
195,PSE,201705,446
196,CUB,201705,293
197,URY,201706,19
198,UGA,201609,34
199,SYC,201710,3
200,NMR,201612,4
201,CIV,201612,2
202,SEA,201509,19
203,SAF,201608,3
204,GRD,201702,2
205,BLZ,201804,6
206,HRV,201607,44
207,TUR,201507,1605
208,ARE,201607,24
209,DJI,201612,3
210,NLD,201506,208
211,UKR,201503,18675
212,GBR,201503,2416
213,FRA,201505,1885
214,NGA,201507,61
215,GRD,201512,2
216,USA,201501,45
217,ERI,201606,6
218,NZL,201503,12
219,ZAF,201604,68
220,URY,201602,57
221,LKA,201505,20
222,PRT,201507,20
223,MDG,201511,6
224,LBY,201501,6
225,MDV,201510,68
226,SYC,201603,5
227,TGO,201604,4
228,VAT,201503,8
229,NRU,201504,2
230,MEA,201505,5
231,GNB,201510,2
232,GEO,201606,2
233,GRC,201807,1779
234,DOM,201502,2
235,SMR,201509,2
236,BFA,201810,1
237,MDG,201810,20
238,BWA,201504,2
239,ARM,201812,1233
240,IRQ,201812,285
241,MDV,201812,100
242,ECU,201907,47
243,IRN,201902,2473
244,BGR,201806,353
245,MDA,201903,166
246,ARE,201903,149
247,KNA,201902,11
248,BLZ,201806,8
249,WST,201908,266
250,BGD,201502,1
251,CAN,201809,163
252,IDN,201809,141
253,AZE,201906,467
254,ATG,201906,5
255,THA,201904,40
256,USA,202012,5465
257,MCO,202002,9
258,CMR,201906,6
259,PAN,201906,5
260,PNG,201506,1
261,GRC,201911,239
262,CIV,201603,1
263,IRL,201911,49
264,KWT,201904,54
265,MMR,202002,9
266,CAN,201905,260
267,CUB,201905,667
268,IND,202001,103
269,MNG,202001,117
270,MLT,202001,6
271,SGP,201911,18
272,SSD,201806,7
273,WST,202010,345
274,FIN,202010,194
275,LTU,202010,117
276,MDA,202010,168
277,SAF,201812,2
278,PAN,201812,12
279,BHR,201912,11
280,GNQ,201910,25
281,SLE,201903,2
282,SLE,201812,3
283,SEA,202011,1
284,MOZ,202011,3
285,MLI,202012,3
286,OMN,202010,5
287,ERI,201902,1
288,BLR,201904,1787
289,URY,202004,1
290,ARG,202004,8
291,GBR,202003,710
292,ARG,202003,34
293,ZAF,202003,36
294,ITA,202005,633
295,SAU,202005,339
296,AGO,202005,17
297,LUX,202005,8
298,MEX,202006,72
299,,201906,69242
300,TCD,202005,8
301,DMA,202006,1
302,MAC,202007,2
303,KAZ,202008,219
304,QAT,202008,12
305,AUS,201908,155
306,SYR,201908,3414
307,MAR,202009,20
308,IRN,201709,2741
309,GRC,201805,243
310,,201701,91292
311,NZL,201803,132
312,BHR,201803,34
313,GRC,201706,146
314,LBY,201706,129
315,TTO,201706,5
316,TUR,201702,5884
317,AFR,201804,142
318,EUR,201704,2092
319,GTM,201805,67
320,ARE,201612,82
321,TWN,201701,84
322,EST,201703,261
323,COD,201703,17
324,LVA,201707,143
325,SAU,201604,1138
326,MCO,201704,7
327,UKR,201604,10251
328,TUR,201604,4012
329,NZL,201612,71
330,BEL,201612,464
331,ZWE,201612,25
332,COD,201701,5
333,MCO,201702,23
334,KOR,201602,511
335,MLI,201702,9
336,UGA,201712,16
337,ISR,201609,2019
338,MLI,201610,194
339,FIN,201610,783
340,MMR,201702,12
341,FIN,201708,278
342,DNK,201708,66
343,SSD,201611,41
344,USA,201511,11054
345,MEA,201611,4
346,DJI,201611,5
347,MKD,201705,352
348,NGA,201705,146
349,ETH,201707,26
350,PAK,201605,283
351,PRK,201605,781
352,LAO,201703,8
353,TCD,201702,7
354,AUS,201601,208
355,LBY,201511,91
356,ARG,201511,83
357,BHR,201607,18
358,GMB,201612,12
359,GNQ,201701,2
360,CAF,201708,7
361,CRI,201711,3
362,KAZ,201510,728
363,SLV,201611,5
364,KAZ,201507,475
365,OMN,201606,44
366,AUT,201606,246
367,CYP,201606,123
368,ZAF,201605,49
369,IDN,201506,89
370,NIC,201502,40
371,MDV,201509,59
372,HUN,201509,149
373,BGD,201604,31
374,CAN,201505,310
375,AFR,201502,68
376,IND,201504,61
377,MDV,201512,102
378,NGA,201508,86
379,WSM,201508,4
380,ALB,201602,28
381,FJI,201503,4
382,MUS,201605,9
383,MMR,201512,12
384,BWA,201604,2
385,TGO,201512,2
386,LBR,201603,12
387,KGZ,201501,2
388,GNQ,201510,4
389,RWA,201512,4
390,NZL,201808,36
391,,201811,76462
392,TJK,201812,62
393,SYR,201812,5707
394,COG,201907,13
395,NLD,201907,206
396,MNG,201901,33
397,BRA,201807,270
398,VEN,201807,86
399,UZB,201807,93
400,GRC,201902,277
401,BRA,201902,121
402,TUR,201806,1352
403,IRQ,201806,208
404,PRY,201806,23
405,BLR,201903,1211
406,KHM,201903,26
407,HUN,201903,117
408,LUX,201902,20
409,MKD,201908,17
410,ATG,201901,2
411,TGO,201901,4
412,GEO,201907,2
413,HND,201807,3
414,PHL,201909,136
415,CHE,201809,742
416,HRV,201809,36
417,TKM,201809,69
418,PHL,201906,74
419,TGO,201907,2
420,PRK,201904,4007
421,UGA,201807,3
422,FIN,202001,147
423,ARM,202011,3649
424,PRT,202011,13
425,HTI,201808,1
426,EST,202012,65
427,SYR,202012,1004
428,RUS,201912,14990
429,SAU,201912,273
430,DNK,201912,52
431,ETH,202003,15
432,COG,201905,107
433,CYP,202001,51
434,AGO,201909,8
435,ESP,202010,126
436,SAS,201910,10
437,JAM,201910,8
438,UGA,201910,44
439,HKG,201907,7
440,MEA,201812,17
441,KHM,202001,11
442,MDG,201910,13
443,BRN,201909,4
444,GRD,202002,1
445,NER,202012,1
446,MRT,202003,5
447,WAF,202010,3
448,TZA,201909,3
449,BRA,202003,17
450,KHM,202005,6
451,MLT,202006,27
452,UKR,201906,10385
453,CHE,202006,72
454,GTM,202005,3
455,HUN,202007,48
456,CAS,202007,22
457,EUR,201906,2009
458,FJI,202006,2
459,NAM,202007,9
460,BEN,202007,4
461,COL,202008,15
462,HUN,202008,62
463,USA,202002,7010
464,,201708,63681
465,KOR,201709,2025
466,EGY,201711,1159
467,LCA,201805,3
468,UKR,201802,5539
469,NGA,201803,132
470,TUR,201703,6568
471,PER,201803,74
472,PER,201711,132
473,VNM,201706,442
474,CHN,201706,2599
475,UKR,201606,8911
476,IND,201709,93
477,AFG,201804,369
478,MEX,201804,152
479,CYP,201804,95
480,VNM,201703,174
481,PRT,201802,55
482,KOR,201701,196
483,EST,201704,417
484,SRB,201606,250
485,KHM,201704,18
486,CAN,201609,239
487,BGD,201612,98
488,IRN,201512,4010
489,GTM,201710,13
490,MYS,201702,98
491,GRD,201804,3
492,EGY,201610,2236
493,MDV,201610,54
494,BGD,201801,40
495,LTU,201708,281
496,THA,201611,120
497,ISR,201611,1938
498,ZAF,201508,54
499,NIC,201711,10
500,IND,201603,147
501,UZB,201705,165
