,Actor2CountryCode,MonthYear,Count
0,BLR,202003,504
1,KAZ,202005,45
2,EGY,202005,46
3,ZAF,202005,4
4,JPN,202005,36
5,LKA,202005,17
6,GBR,202007,106
7,LVA,202006,7
8,BGR,202007,94
9,BGD,202006,3
10,CUB,202007,3
11,CMR,202007,2
12,VNM,202008,10
13,IDN,202008,10
14,MKD,202008,1
15,AUS,201803,107
16,SDN,201709,7
17,IRN,201609,59
18,,201611,44290
19,BGR,201805,235
20,POL,201707,759
21,USA,201707,3231
22,LUX,201710,6
23,BLR,201704,1070
24,KWT,201608,23
25,FIN,201802,118
26,CAS,201804,22
27,ZWE,201803,15
28,CYP,201610,19
29,COG,201612,1
30,TJK,201611,4
31,KHM,201702,8
32,ESP,201609,52
33,AZE,201701,178
34,PHL,201611,11
35,BEL,201804,61
36,JOR,201711,7
37,COD,201608,1
38,PAK,201801,11
39,TKM,201607,37
40,IRL,201607,46
41,HRV,201708,16
42,ETH,201708,5
43,SAU,201710,44
44,LVA,201504,74
45,AFG,201602,69
46,NMR,201504,18
47,CAN,201512,102
48,BGR,201508,35
49,MKD,201505,16
50,PAK,201608,5
51,VAT,201511,62
52,DJI,201512,7
53,PSE,201502,6
54,WST,201806,289
55,ZMB,201606,3
56,KGZ,201503,43
57,NMR,201706,10
58,ALB,201508,8
59,IRQ,201604,18
60,EGY,201605,43
61,PAN,201704,1
62,AFR,201601,18
63,SAF,201704,1
64,COG,201508,3
65,KOR,201506,20
66,HTI,201708,3
67,PAN,201605,7
68,SDN,201508,6
69,POL,201811,717
70,PER,201602,6
71,BRA,201602,9
72,SAU,201806,12
73,CYP,201901,30
74,CAN,201810,106
75,GEO,201905,38
76,DZA,201905,12
77,THA,201808,10
78,SRB,201808,23
79,AFR,201903,9
80,AFG,201912,23
81,ZWE,201808,9
82,PAN,201808,3
83,CHN,202001,575
84,MLT,201603,2
85,NZL,201601,2
86,LVA,201812,24
87,UKR,201910,12151
88,QAT,201911,22
89,VEN,201909,62
90,SWE,202002,40
91,FIN,202002,17
92,EGY,201902,35
93,SAU,201901,11
94,PAN,201908,9
95,THA,201908,3
96,CHL,201806,3
97,TUV,201605,1
98,OMN,201912,1
99,DOM,201809,1
100,LBR,201907,5
101,BRN,201811,1
102,KGZ,201812,5
103,VNM,202011,7
104,HRV,202010,17
105,DOM,201912,3
106,CAS,201912,1
107,PRK,201502,1
108,MLT,201906,1
109,MKD,201905,2
110,MMR,201910,2
111,KGZ,202001,2
112,VAT,202004,13
113,CHN,201905,169
114,PNG,202006,3
115,NGA,202006,5
116,IRQ,202008,16
117,SWE,202003,44
118,THA,201705,14
119,ITA,201706,118
120,PGS,201711,6
121,IRN,201805,73
122,IDN,201703,8
123,TUN,201703,18
124,IRN,201707,64
125,LBN,201710,5
126,CUB,201708,16
127,CHN,201712,351
128,AZE,201804,119
129,OMN,201610,261
130,CHN,201612,186
131,IND,201703,12
132,NOR,201803,30
133,LTU,201702,219
134,GEO,201611,56
135,ARG,201609,28
136,COL,201804,32
137,LUX,201610,33
138,SYR,201710,81
139,SRB,201701,20
140,PER,201805,5
141,COG,201704,1
142,MYS,201607,172
143,MEX,201702,28
144,COG,201702,13
145,HRV,201802,32
146,LBY,201705,9
147,ARE,201504,8
148,USA,201504,2024
149,ZAF,201712,23
150,CHE,201602,61
151,LKA,201804,3
152,NIC,201511,9
153,ALB,201805,16
154,PSE,201510,77
155,NLD,201504,146
156,DNK,201602,21
157,JOR,201611,5
158,PSE,201505,33
159,SVK,201602,78
160,SSD,201706,2
161,LUX,201512,10
162,MEX,201610,10
163,TJK,201804,2
164,CAS,201608,2
165,PHL,201805,2
166,ETH,201702,2
167,BEL,201606,277
168,CUB,201803,3
169,VEN,201702,3
170,TJK,201511,12
171,THA,201704,2
172,NGA,201802,7
173,VNM,201504,8
174,VNM,201603,27
175,GEO,201511,21
176,BRA,201504,26
177,KGZ,201512,27
178,DEU,201807,483
179,COG,201506,3
180,SSD,201508,4
181,SOM,201507,4
182,MMR,201503,4
183,PSE,201810,64
184,JPN,201810,124
185,TKM,201905,45
186,ISR,201808,226
187,LTU,201808,132
188,CHE,201808,80
189,AUT,201906,60
190,MDA,201906,395
191,KOR,201901,23
192,KOR,201912,33
193,PAK,201912,8
194,CYP,201807,15
195,ARG,201903,10
196,TUR,202012,616
197,NGA,201911,10
198,EUR,201910,1231
199,LKA,201909,36
200,HTI,202002,1
201,COG,201812,3
202,LBY,201809,4
203,PAK,201901,14
204,DJI,201605,2
205,NPL,201807,1
206,ARM,201910,16
207,IRQ,201907,5
208,COL,201909,42
209,VEN,201812,3
210,TGO,201811,2
211,ISL,201909,3
212,PAN,201910,16
213,PER,202001,11
214,AUS,202010,42
215,SRB,201910,11
216,SGP,201910,2
217,KEN,202001,1
218,ECU,201901,2
219,CHL,201910,1
220,PRT,201912,19
221,ECU,202001,5
222,VCT,202011,3
223,PSE,202003,38
224,QAT,202003,18
225,KOR,202004,56
226,SWE,202004,31
227,PRT,202005,11
228,TUR,201905,258
229,,202006,22038
230,PER,202005,1
231,SGP,202007,6
232,AFR,202007,10
233,KGZ,202007,2
234,PRK,202007,2
235,AUT,202009,277
236,DEU,202009,393
237,MYS,202009,28
238,GRC,202009,11
239,USA,201909,9792
240,MLT,202009,2
241,POL,201709,1026
242,AZE,201709,132
243,UKR,201801,7632
244,DEU,201801,622
245,LVA,201801,52
246,LVA,201705,45
247,ARM,201705,47
248,THA,201709,10
249,MKD,201706,17
250,WST,201805,182
251,LTU,201703,111
252,ZWE,201711,6
253,RUS,201710,6526
254,COK,201710,1
255,FIN,201710,21
256,UZB,201608,16
257,ALB,201704,19
258,ISR,201605,151
259,PSE,201702,233
260,TKM,201702,74
261,LVA,201609,204
262,KAZ,201701,31
263,KGZ,201708,9
264,CPV,201804,3
265,EGY,201611,21
266,THA,201608,38
267,AUT,201607,77
268,TJK,201702,14
269,MDV,201710,3
270,DEU,201503,1935
271,ESP,201503,159
272,DEU,201504,1888
273,LVA,201507,74
274,NOR,201712,5
275,COL,201612,1
276,GRC,201511,64
277,JAM,201705,1
278,EGY,201510,65
279,BRA,201511,11
280,EST,201605,53
281,AFR,201806,18
282,SGP,201608,6
283,SRB,201511,15
284,VAT,201606,98
285,ATG,201712,8
286,MNG,201708,4
287,KNA,201702,5
288,KNA,201504,2
289,PER,201710,2
290,COG,201710,8
291,CZE,201603,69
292,CUB,201603,15
293,KGZ,201606,9
294,MNG,201601,2
295,GHA,201506,5
296,MMR,201606,3
297,LTU,201806,85
298,IRN,201807,63
299,ARM,201901,66
300,FRA,201901,197
301,BGR,201810,210
302,GBR,201905,170
303,GTM,201610,2
304,TWN,201510,4
305,UZB,201810,15
306,VEN,201508,2
307,AUS,201903,49
308,NLD,201903,71
309,NZL,201912,3
310,FIN,201808,61
311,IDN,201507,4
312,DOM,201808,1
313,NLD,201909,168
314,MAR,201903,3
315,TKM,202002,29
316,KAZ,202002,47
317,NLD,201912,83
318,MKD,201806,19
319,VNM,201811,13
320,UZB,201901,7
321,YEM,201809,2
322,MKD,201807,4
323,NOR,202001,6
324,UZB,202012,11
325,NMR,201907,8
326,MLI,201903,2
327,PAK,202011,16
328,IDN,202001,8
329,SWE,201910,30
330,TGO,201812,2
331,AND,201810,1
332,NPL,201904,8
333,MRT,201502,1
334,PAN,201809,2
335,MLI,201909,1
336,MKD,202010,1
337,COL,201905,1
338,TWN,201809,1
339,GBR,202003,127
340,BLR,201904,764
341,ITA,202005,195
342,SAU,202005,14
343,,201906,31093
344,MEX,202006,2
345,KAZ,202008,31
346,QAT,202008,5
347,MAR,202009,7
348,IRN,201709,85
349,,201701,39679
350,LBY,201706,53
351,GRC,201706,54
352,EST,201703,39
353,LVA,201707,35
354,ISR,201609,538
355,GRC,201805,225
356,MKD,201705,10
357,EUR,201704,1436
358,FIN,201610,33
359,BEL,201612,428
360,NZL,201612,24
361,TUR,201702,445
362,MMR,201702,32
363,USA,201511,1320
364,NZL,201803,6
365,TWN,201701,4
366,DNK,201708,6
367,AFR,201804,21
368,MCO,201704,8
369,FIN,201708,104
370,UKR,201604,11591
371,HUN,201509,61
372,CAN,201505,234
373,ARE,201612,19
374,DOM,201504,22
375,KAZ,201507,133
376,KAZ,201510,550
377,NGA,201705,9
378,ARG,201511,17
379,TUR,201604,330
380,AUS,201601,123
381,ZAF,201605,9
382,MDV,201509,15
383,SSD,201611,8
384,TTO,201706,5
385,TUR,201806,415
386,RWA,201512,2
387,PAK,201605,28
388,OMN,201606,52
389,AUT,201606,44
390,CYP,201606,12
391,UGA,201712,3
392,GTM,201805,1
393,IND,201504,30
394,PRK,201605,13
395,MDV,201512,7
396,ALB,201602,1
397,LBR,201603,15
398,COD,201703,1
399,SAU,201604,10
400,AFR,201502,3
401,KOR,201602,7
402,,201811,44186
403,NGA,201508,15
404,COG,201907,5
405,NLD,201907,127
406,UZB,201807,7
407,LBY,201511,13
408,COG,201905,2
409,LIE,201506,2
410,BGD,201604,2
411,BLR,201903,451
412,HUN,201903,156
413,KHM,201903,1
414,RUS,201912,13759
415,IRQ,201806,15
416,CHE,201809,73
417,TKM,201809,38
418,MMR,201512,2
419,AUS,201908,44
420,MKD,201908,3
421,SYR,201908,70
422,SYR,201812,60
423,PRY,201806,2
424,FIN,202001,49
425,DNK,201912,15
426,BRA,201807,36
427,SYR,202012,6
428,EST,202012,13
429,ZAF,202003,4
430,GRC,201902,112
431,HRV,201809,11
432,NZL,201808,1
433,CYP,202001,8
434,BRA,201902,6
435,UGA,201807,3
436,ARG,202003,3
437,PRK,201904,7
438,VEN,201807,1
439,UGA,201910,3
440,GRD,202002,15
441,TZA,201909,1
442,TZA,201812,2
443,ARM,202011,60
444,KHM,202001,2
445,LUX,201902,2
446,ARG,202004,5
447,ESP,202010,44
448,SAU,201912,15
449,PHL,201906,5
450,PHL,201909,11
451,AGO,201909,1
452,AZE,202003,32
453,UZB,202004,2
454,AZE,202004,32
455,GRC,202004,13
456,IRN,201904,12
457,MDA,202005,110
458,GBR,202005,116
459,ARM,202005,43
460,MDV,202005,8
461,SVK,202009,175
