,Actor2CountryCode,MonthYear,Count
0,PSE,202004,431
1,CHL,202003,550
2,ZWE,202004,148
3,GRC,202003,952
4,ECU,202003,268
5,LUX,202004,36
6,MEX,201904,10027
7,SSD,202004,53
8,NMR,202007,756
9,SGP,202007,334
10,PER,202006,249
11,SWE,202006,258
12,GRC,202005,646
13,MLT,202005,56
14,VAT,202005,104
15,MAR,202005,105
16,MWI,202005,19
17,KEN,201904,340
18,COL,201905,848
19,TCD,202008,418
20,LBN,202008,2099
21,QAT,202008,211
22,ZWE,201906,174
23,NGA,201907,798
24,JOR,201906,1011
25,MYS,202009,181
26,BDI,201909,27
27,SWE,201908,965
28,PAN,201909,323
29,NLD,201805,977
30,BHS,201805,399
31,MDV,201804,1188
32,KWT,201709,848
33,GUY,201709,367
34,IRL,201705,1349
35,ARM,201804,673
36,RUS,201811,15029
37,SEN,201811,40
38,DMA,201803,45
39,FJI,201802,51
40,PAN,201803,595
41,GIN,201709,84
42,WSM,201707,72
43,BRA,201707,1001
44,ESP,201707,2384
45,MMR,201708,224
46,PHL,201708,1566
47,ZAF,201607,471
48,IRL,201611,1973
49,CHN,201710,7742
50,CMR,201711,16
51,KGZ,201711,34
52,AFR,201810,3062
53,MYS,201703,722
54,DOM,201907,438
55,ETH,201809,171
56,ARE,201809,442
57,CRB,201809,36
58,FIN,202001,141
59,GBR,201608,9644
60,BRN,201608,177
61,MOZ,201608,44
62,WSM,201608,86
63,CAN,201701,9508
64,STP,201802,6
65,RWA,201908,47
66,,201806,689531
67,NOR,201910,465
68,MUS,201911,34
69,UZB,201911,39
70,ARM,202012,112
71,MYS,201702,761
72,BOL,201804,308
73,LIE,201804,11
74,FIN,201806,638
75,RWA,201806,130
76,TWN,201706,663
77,ATG,201804,31
78,SVK,202011,16
79,BRB,202001,64
80,TTO,202001,61
81,THA,202001,197
82,COK,201908,10
83,LTU,201908,75
84,ISL,202002,49
85,KGZ,202002,80
86,KAZ,201702,151
87,UGA,201702,288
88,LCA,201701,85
89,COK,201810,4
90,NOR,201901,333
91,BRA,201812,1134
92,KAZ,201812,142
93,MCO,201903,305
94,BRN,201903,184
95,MOZ,201903,107
96,EUR,201511,4306
97,AFG,201504,2523
98,MMR,201509,268
99,AUT,201503,265
100,BGD,201505,602
101,ITA,201507,2567
102,DEU,201504,4067
103,VNM,201506,1918
104,SEA,201602,2488
105,TKM,201604,15
106,NGA,201603,839
107,VEN,201503,5253
108,NIC,201601,202
109,PAK,201502,780
110,AZE,201601,416
111,PSE,201509,1116
112,FIN,201508,282
113,HRV,201510,199
114,PGS,201504,271
115,ISL,201703,170
116,BTN,202012,9
117,NIC,201904,289
