,MonthYear,Count
0,201601,205
1,201904,48
2,201703,175
3,201908,33
4,201905,41
5,201708,160
6,201608,151
7,202003,73
8,201502,103
9,201812,36
10,201901,37
11,201606,167
12,201705,248
13,201512,227
14,201605,174
15,201802,76
16,201902,38
17,201810,219
18,201811,162
19,201707,150
20,201610,190
21,201508,270
22,201910,36
23,202007,32
24,201603,158
25,201801,75
26,201909,43
27,201706,215
28,201611,154
29,201709,101
30,202002,45
31,201704,157
32,201903,66
33,202006,40
34,201804,65
35,202011,28
36,201711,60
37,201504,329
38,201503,255
39,201911,39
40,201507,293
41,202010,30
42,202005,51
43,201607,210
44,201807,85
45,201509,333
46,202012,17
47,201501,3
48,201702,154
49,201510,295
50,201506,344
51,201906,48
52,202009,37
53,201712,48
54,202001,64
55,202004,67
56,201809,204
57,201808,117
58,201609,158
59,201511,345
60,201805,60
61,201806,81
62,201907,34
63,201602,225
64,201604,159
65,202008,38
66,201912,23
67,201612,140
68,201710,70
69,201701,140
70,201803,90
71,201505,415
