,MonthYear,Count
0,201805,13
1,201609,33
2,201605,23
3,202004,3
4,201712,20
5,201512,24
6,201504,15
7,201608,24
8,201510,16
9,201809,9
10,201711,10
11,201812,3
12,201607,26
13,201802,16
14,201702,9
15,201507,15
16,201701,17
17,201811,15
18,201508,17
19,201810,12
20,201903,4
21,201806,8
22,201803,18
23,202001,2
24,202012,6
25,201708,8
26,201505,16
27,201901,5
28,201707,8
29,201902,5
30,201912,7
31,202006,2
32,201907,4
33,201612,13
34,201704,18
35,201604,29
36,202009,2
37,201511,23
38,202010,3
39,201709,7
40,201506,16
41,201909,6
42,201808,5
43,201904,2
44,201911,6
45,201601,22
46,201910,5
47,202003,6
48,201705,34
49,201804,10
50,201603,18
51,201905,8
52,201611,34
53,201706,20
54,201602,41
55,201703,15
56,201807,4
57,201509,22
58,201502,6
59,202005,2
60,201710,23
61,202008,4
62,201801,16
63,201503,7
64,201606,21
65,202007,2
66,201610,21
67,202002,5
68,201908,1
69,201906,11
