,MonthYear,Count
0,202004,43
1,201611,127
2,201706,217
3,201602,106
4,201805,107
5,201712,119
6,201711,142
7,201812,111
8,201612,175
9,202006,78
10,201907,67
11,201802,101
12,201609,156
13,201803,169
14,201601,157
15,201910,71
16,201604,124
17,202011,30
18,201709,141
19,201506,230
20,201909,76
21,202005,30
22,201710,140
23,201507,137
24,201702,154
25,201607,219
26,202001,60
27,202012,67
28,201911,84
29,201810,111
30,201908,94
31,202002,58
32,201912,64
33,202009,30
34,201511,238
35,202010,51
36,201703,209
37,201708,104
38,201505,168
39,201901,76
40,201608,130
41,201510,112
42,201809,89
43,201807,96
44,201806,98
45,201906,103
46,201501,3
47,202007,62
48,201610,180
49,201508,108
50,201502,32
51,201704,269
52,201705,255
53,201804,182
54,201509,83
55,201504,107
56,201512,153
57,201707,173
58,201903,94
59,201701,162
60,201811,173
61,201603,133
62,201905,107
63,201605,152
64,201902,83
65,201503,95
66,201606,172
67,202008,70
68,201801,185
69,202003,51
70,201808,112
71,201904,119
