,MonthYear,Count
0,202004,391
1,201602,191
2,201706,590
3,201611,271
4,201604,234
5,202011,285
6,201803,535
7,201908,395
8,202002,516
9,201703,551
10,201806,391
11,201605,327
12,201802,453
13,201704,334
14,201805,363
15,202009,374
16,201511,185
17,202010,300
18,201701,346
19,201811,643
20,202008,303
21,201801,394
22,201609,314
23,201906,615
24,201501,3
25,201702,299
26,201509,225
27,201909,495
28,201709,448
29,201506,271
30,201507,268
31,201612,262
32,201503,159
33,201606,437
34,201705,470
35,201804,440
36,201608,279
37,201510,214
38,201809,489
39,201911,388
40,201903,687
41,201711,325
42,201812,453
43,201502,40
44,201905,515
45,201603,145
46,201904,584
47,201808,360
48,201708,205
49,201505,330
50,201901,353
51,201807,457
52,201607,343
53,202012,448
54,202001,424
55,202003,518
56,201912,353
57,202005,271
58,201710,392
59,201902,508
60,202006,338
61,201907,562
62,201601,164
63,201910,492
64,201512,169
65,201504,220
66,201508,176
67,201707,273
68,201712,294
69,202007,352
70,201610,336
71,201810,583
