,MonthYear,Count
0,201812,32
1,201901,37
2,201502,12
3,201705,66
4,201802,54
5,201605,104
6,201902,28
7,202003,29
8,201811,51
9,201512,40
10,202007,11
11,201801,69
12,201603,61
13,201909,27
14,201707,104
15,201610,46
16,201506,87
17,201510,45
18,201508,45
19,201910,33
20,201608,74
21,201507,82
22,202010,12
23,201808,52
24,201908,61
25,201703,106
26,201905,52
27,202001,28
28,202006,13
29,201804,53
30,202011,12
31,201601,39
32,201904,51
33,201708,83
34,202005,17
35,201607,68
36,201611,67
37,201803,56
38,201505,85
39,201712,57
40,201604,74
41,201709,85
42,201701,68
43,201704,97
44,201903,18
45,201806,49
46,201907,50
47,201602,46
48,201810,71
49,201706,55
50,202008,34
51,202009,38
52,201906,66
53,201609,73
54,202004,16
55,201809,40
56,202002,54
57,201612,100
58,201807,44
59,201509,40
60,202012,14
61,201511,31
62,201606,70
63,201710,38
64,201711,81
65,201504,86
66,201503,53
67,201911,27
68,201805,43
69,201702,53
70,201912,42
