,MonthYear,Count
0,201601,35
1,201910,33
2,201605,56
3,201612,53
4,201602,48
5,201611,59
6,201706,53
7,201805,68
8,201803,93
9,202006,15
10,201907,19
11,201703,107
12,201802,77
13,201604,61
14,202011,15
15,201711,68
16,201812,53
17,201912,22
18,201808,38
19,201904,26
20,201607,96
21,201608,24
22,201510,26
23,201809,52
24,202004,10
25,201507,50
26,201908,26
27,202002,15
28,201705,53
29,201804,45
30,202007,17
31,201610,70
32,201712,70
33,201502,15
34,201906,20
35,201501,1
36,201709,86
37,201506,55
38,201909,36
39,201609,52
40,201606,73
41,201503,25
42,201508,17
43,201512,20
44,201504,40
45,201702,68
46,201509,45
47,202005,7
48,201710,55
49,201806,36
50,201708,42
51,201505,43
52,201901,36
53,202008,29
54,201801,71
55,201807,48
56,201603,49
57,201905,19
58,201701,51
59,201811,51
60,202009,15
61,201511,50
62,202010,13
63,201704,53
64,201810,29
65,201903,21
66,201902,33
67,202003,14
68,202012,17
69,202001,34
70,201911,22
71,201707,94
