,MonthYear,Count
0,201706,405
1,201611,248
2,201602,190
3,201703,435
4,202011,43
5,201604,178
6,201601,87
7,201910,190
8,201609,299
9,201612,494
10,201606,222
11,201503,120
12,201605,237
13,201805,251
14,201903,146
15,202001,107
16,202012,56
17,201711,320
18,201812,176
19,201509,176
20,201902,137
21,202009,86
22,201511,183
23,202010,67
24,201912,183
25,202002,77
26,201908,162
27,201806,177
28,201502,63
29,202006,62
30,201907,197
31,201707,405
32,202007,76
33,201610,365
34,201810,262
35,202004,80
36,201906,210
37,201501,2
38,201904,165
39,201808,311
40,201507,172
41,201704,581
42,201701,313
43,201811,238
44,202003,61
45,202008,68
46,201801,223
47,201712,306
48,201608,298
49,201510,236
50,201809,280
51,202005,45
52,201710,348
53,201512,151
54,201504,133
55,201708,251
56,201505,160
57,201901,137
58,201802,277
59,201603,171
60,201905,180
61,201909,172
62,201709,348
63,201506,150
64,201807,280
65,201607,221
66,201705,379
67,201804,407
68,201508,100
69,201702,320
70,201803,471
71,201911,138
