,MonthYear,Count
0,201802,67
1,202001,75
2,202012,15
3,201509,60
4,201611,62
5,201706,83
6,201602,57
7,201612,63
8,201912,56
9,201606,61
10,201503,71
11,202007,24
12,201610,53
13,201803,85
14,201608,89
15,201809,56
16,201510,30
17,202003,32
18,201502,67
19,201701,77
20,201811,117
21,202008,16
22,201801,50
23,202005,25
24,201710,92
25,201903,50
26,201603,48
27,201905,56
28,201810,46
29,201805,86
30,201703,111
31,201906,40
32,201908,42
33,202002,26
34,202009,30
35,201511,28
36,202010,15
37,201702,99
38,201705,84
39,201804,43
40,201508,63
41,202006,15
42,201907,54
43,201609,103
44,201808,89
45,201904,66
46,201712,87
47,201807,68
48,201704,115
49,201806,54
50,202004,19
51,201601,22
52,201910,67
53,201507,88
54,201512,35
55,201504,46
56,201604,77
57,202011,13
58,201707,108
59,201709,120
60,201506,97
61,201909,82
62,201911,95
63,201607,61
64,201708,94
65,201505,60
66,201901,52
67,201605,69
68,201711,89
69,201812,64
70,201902,40
