,MonthYear,Count
0,201606,1997
1,201502,498
2,201901,1011
3,201812,962
4,202003,716
5,201802,1503
6,201605,1896
7,201902,999
8,202007,606
9,201909,849
10,201603,1428
11,201801,1504
12,202002,632
13,201506,3028
14,201904,1235
15,201601,1169
16,201705,2206
17,201608,1670
18,201907,962
19,201806,1441
20,201807,1801
21,202001,651
22,201808,2064
23,201906,1192
24,202009,607
25,201610,1692
26,201707,2054
27,201508,1407
28,201910,945
29,201604,1535
30,201704,1914
31,201903,1170
32,201811,1355
33,201510,1512
34,201711,1449
35,201503,1394
36,201504,1872
37,201911,817
38,201512,1173
39,201701,1978
40,202005,548
41,201607,2215
42,201602,1294
43,201712,1319
44,201709,1628
45,201609,1944
46,202006,740
47,202011,410
48,201804,1584
49,201706,1908
50,201612,1599
51,201509,1265
52,202012,437
53,201803,1674
54,201505,3187
55,201702,1704
56,201708,1686
57,201501,18
58,202004,548
59,201809,1555
60,201810,1745
61,201611,1906
62,201507,2255
63,202010,465
64,201805,1632
65,201905,1369
66,201908,1003
67,201703,2276
68,201511,1324
69,201912,609
70,201710,1733
71,202008,581
