,MonthYear,Count,Actor2CountryCode
0,202005,31,UKR
1,201907,146,USA
2,202007,1,PHL
3,202007,1,LBN
4,202009,2,JAM
5,201704,113,RUS
6,201608,120,POL
7,201608,41,UKR
8,201611,12,VNM
9,201707,11,AUT
10,201704,2,BGR
11,201611,2,ISL
12,201706,41,ITA
13,201708,3,LTU
14,201604,76,POL
15,201609,56,ARM
16,201803,14,NLD
17,201801,60,ISR
18,201801,155,TUR
19,201609,10,CZE
20,201805,5,CHE
21,201701,3,HRV
22,201710,24,AUS
23,201710,2,BRA
24,201507,9,CHN
25,201511,69,EUR
26,201901,60,FRA
27,201507,9,HRV
28,201506,3,BGR
29,201604,13,AFR
30,201911,141,USA
31,201911,5,FIN
32,201605,17,GRC
33,201509,3,COG
34,201801,2,MKD
35,201905,24,IRL
36,201905,23,ESP
37,201905,104,GBR
38,201908,2,PSE
39,201705,2,LBN
40,201511,6,SRB
41,201707,2,TCD
42,201910,21,SAU
43,201508,9,BGD
44,201805,11,PSE
45,202010,1,WST
46,202011,35,GBR
47,201906,3,KHM
48,201902,22,CHN
49,201506,6,PRK
50,201603,1,ZWE
51,201812,2,BGD
52,201610,1,JAM
53,201902,2,SVK
54,202012,1,BOL
55,201601,2,LTU
56,201612,2,CHL
57,201807,6,ECU
58,201607,6,SWE
59,201607,31,UKR
60,201910,3,NER
61,201905,4,ALB
62,201904,4,PAK
63,201608,3,NZL
64,201606,3,TZA
65,201606,13,NAM
66,201508,2,COL
67,201612,7,ALB
68,201607,83,ALB
69,201908,1,BLR
70,201808,5,JOR
71,201601,1,CUB
72,201505,2,VNM
73,201812,1,SDN
74,201606,3,MKD
75,202004,75,FRA
76,202004,13,CHN
77,202007,157,RUS
78,202008,64,POL
79,202009,4,KEN
80,201701,495,DEU
81,201707,14,MLI
82,201704,3,OMN
83,201704,8,ARG
84,201801,390,DEU
85,201709,30,ITA
86,201808,34,AUS
87,201609,5,ERI
88,201806,116,FRA
89,201709,12,CHN
90,201811,334,FRA
91,201805,36,UKR
92,201712,26,EUR
93,201709,25,BEL
94,201509,23,JPN
95,201508,54,POL
96,201611,1,JOR
97,201511,4,IND
98,201508,8,IRN
99,201601,4,FIN
100,201904,103,FRA
101,201805,10,LTU
102,201810,22,IRN
103,201702,4,TWN
104,201702,1,ZAF
105,201605,4,NZL
106,202002,1,KEN
107,201505,22,PRT
108,201908,2,LVA
109,201612,14,IRL
110,201612,10,YEM
111,201701,14,ARG
112,201504,14,DNK
113,201507,6,PRT
114,201808,13,MDV
115,201808,2,MLT
116,201712,5,KOR
117,201505,2,THA
118,201711,1,ALB
119,201709,2,VEN
120,201911,4,NZL
121,201512,3,KWT
122,201911,2,KOR
123,201911,1,CHL
124,202004,9,AUS
125,202010,5,FIN
126,201801,8,SAU
127,202010,11,NLD
128,201905,5,ARM
129,201504,3,PAK
130,201907,2,LVA
131,201507,6,SAU
132,201703,2,FIN
133,201506,7,AFG
134,201901,36,BEL
135,201608,28,AFG
136,201904,2,BLR
137,201706,2,NAM
138,201805,2,JOR
139,201901,2,JAM
140,201910,4,CZE
141,201607,5,VEN
142,201904,4,KEN
143,202011,2,PRK
144,201607,8,MKD
145,202004,39,EUR
146,202004,2,COL
147,202005,2,HUN
148,202006,4,IRL
149,202006,1,LBN
150,201702,221,USA
151,201703,13,AUS
152,201604,108,GBR
153,201707,23,CAN
154,201612,35,CZE
155,201611,1,VAT
156,201803,63,SYR
157,201801,52,EUR
158,201804,6,IND
159,201710,40,EUR
160,201506,283,DEU
161,201907,9,AFG
162,201509,18,AFR
163,201508,258,USA
164,201509,52,EUR
165,201506,35,TUR
166,201505,10,FIN
167,201903,113,USA
168,201604,43,ESP
169,201509,23,GRC
