,MonthYear,Count,Actor2CountryCode
0,202004,5,EUR
1,202006,2,IRL
2,202005,3,HUN
3,201702,50,USA
4,201703,18,WST
5,201703,4,AUS
6,201506,27,DEU
7,201508,105,USA
8,201509,15,EUR
9,201801,25,EUR
10,201508,4,AUT
11,201511,2,EGY
12,201604,11,GBR
13,201710,13,EUR
14,201804,3,IND
15,202010,70,POL
16,201908,107,POL
17,201911,1,LBN
18,201803,2,SYR
19,201508,3,ISR
20,201612,7,CZE
21,201504,5,CZE
22,201711,2,TCD
23,201505,3,EST
24,201707,4,CAN
25,201810,2,MKD
26,201604,2,ESP
27,201903,32,USA
28,201903,32,UKR
29,201509,2,GRC
30,201911,1,BRA
31,201805,2,MKD
32,201607,3,CZE
33,201705,2,BGR
34,201504,1,CIV
35,201806,1,LBY
36,201611,1,TWN
37,202002,6,BLR
38,201607,4,EST
39,201510,1,THA
40,201805,2,BMU
41,201812,1,JAM
42,202003,1,VAT
43,202004,1,CZE
44,202009,2,MLT
45,201712,5,FRA
46,201805,52,RUS
47,201510,37,UKR
48,201802,1016,
49,201503,41,TUN
50,201509,15,SVK
51,201901,1,ESP
52,201504,125,RUS
53,201611,52,DEU
54,201503,10,IRL
55,201512,7,ITA
56,201803,34,BEL
57,201907,4,ITA
58,201507,2,TUR
59,201807,7,LTU
60,201807,4,LVA
61,201604,3,IRL
62,201510,7,BLR
63,201909,1,MYS
64,201612,45,USA
65,201612,8,NLD
66,202001,5,AUS
67,202012,3,WST
68,202011,1,CZE
69,201607,9,ITA
70,201903,2,CAN
71,201906,1,NGA
72,201807,2,SRB
73,201610,2,PHL
74,201906,1,VNM
75,201710,4,LTU
76,201504,2,AFG
77,201704,1,IRL
78,202004,59,RUS
79,202008,1,CZE
80,202009,21,UKR
81,201709,93,DEU
82,201512,37,WST
83,201602,45,POL
84,201803,4,IRL
85,201503,1,AIA
86,201712,2,LVA
87,201910,8,AUS
88,201906,2,LKA
89,201506,5,EUR
90,201610,2,CHL
91,201807,62,RUS
92,201510,2,GRC
93,201802,5,GBR
94,201901,2,KEN
95,201610,12,DEU
96,201503,2,EGY
97,201504,2,AUT
98,201808,5,FIN
99,201806,8,TUR
100,202003,8,BRA
101,202001,20,GBR
102,202001,2,BRA
103,201608,60,USA
104,201601,2,DNK
105,201604,1,NZL
106,201609,4,FRA
107,201810,1,VEN
108,201512,2,LVA
109,201510,5,ITA
110,201807,1,ARG
111,201903,1,ALB
112,201507,1,AFR
113,201607,1,PAK
114,201703,8,BLR
115,201605,4,LVA
116,201908,1,NZL
117,201706,1,NZL
118,201609,4,CAN
119,201703,4,HUN
120,201903,1,JPN
121,201710,3,IRL
122,201601,1,TTO
123,201903,1,NGA
124,201808,1,MMR
125,201705,1,TCD
126,201704,3,AFG
127,201801,1,LVA
128,201904,2,AZE
129,201711,1,HRV
130,201611,1,SLV
131,201708,2,LVA
132,202007,1,ISR
133,201709,91,POL
134,201712,3,ITA
135,201604,7,FRA
136,201509,3,PSE
137,201901,31,EUR
138,201510,1,BRA
139,201907,67,POL
140,201710,18,GBR
141,201610,16,EUR
142,201703,10,CZE
143,201604,1,JAM
144,201609,118,GBR
145,201507,2,SRB
146,202003,1,WST
147,201609,2,ITA
148,201707,113,RUS
149,201907,4,IRL
150,201810,4,CZE
151,202003,5,NOR
152,201807,3,JPN
153,201504,1,VAT
154,201509,1,JOR
155,201705,1,EST
156,201803,4,SAU
157,201704,2,HTI
158,201804,2,LBN
159,201805,1,TUR
160,201910,1,SVK
161,201811,1,IND
162,201606,17,PRT
163,201807,1,BLR
164,202006,11,SVK
165,202008,26,USA
166,202005,3,CHE
167,202007,4,CAN
168,201703,4,TUN
169,201701,13,HUN
170,201504,19,TUN
171,201503,3,THA
172,202010,7,GBR
173,201505,2,KOR
174,201601,2,ARM
175,202001,62,DEU
176,202001,36,EUR
177,201809,1,FJI
178,201511,4,BEL
179,201812,2,AUS
180,202001,6,FRA
181,201908,1,TUR
182,201901,1,SYR
183,201707,6,WST
184,201607,4,BLR
185,201904,11,BEL
186,201810,2,IRL
187,201608,14,FRA
188,201912,10,LVA
189,201603,3,TUR
190,201606,28,EUR
191,201707,1,DOM
192,201612,1,AGO
193,201808,1,NPL
194,202010,2,BLR
195,202004,1,CHN
196,202006,3,MOZ
197,202007,22,RUS
198,202008,72,POL
199,201805,69,UKR
200,201712,32,EUR
201,201701,150,DEU
202,201709,12,ITA
203,201901,16,BEL
204,201811,4,FRA
205,201801,99,DEU
206,201508,61,POL
207,201910,1,CZE
208,201808,3,AUS
209,201810,3,IRN
210,201806,11,FRA
211,201709,8,BEL
212,201506,2,AFG
213,201509,4,JPN
214,201707,2,BRA
215,201609,2,KGZ
216,201805,12,LTU
217,202004,3,FRA
218,201908,3,LVA
219,201612,3,IRL
220,201711,1,ALB
221,201808,1,MDV
222,201611,1,JOR
223,201608,2,AFG
224,201701,1,ECU
225,201904,5,BLR
226,201904,9,FRA
227,201805,4,JOR
228,201605,1,RWA
229,202008,2,PER
230,201703,19,FRA
231,201605,622,
232,201505,48,USA
233,201509,25,FRA
234,201804,30,USA
235,201706,529,
236,201911,2,BGR
237,201911,2,AUT
238,201902,64,DEU
239,201511,7,PER
240,201511,3,ISR
241,202011,6,SVK
242,202001,16,IRN
243,201801,9,AFR
244,202002,2,HUN
245,201904,1,COM
246,201808,2,NZL
247,201607,17,EUR
248,201508,2,THA
249,201705,18,LVA
250,201806,2,NOR
251,201806,2,GRC
252,201611,3,AUS
253,202001,2,HUN
254,201712,2,HRV
255,201904,1,NLD
256,201512,1,SAU
257,201506,1,SDN
258,201802,3,HUN
259,201910,9,BEL
260,201605,4,AUS
261,201806,1,SWE
262,202007,1,ZWE
263,202009,24,HUN
264,201709,14,LTU
265,201504,2,ESP
266,201505,3,AUS
267,201611,7,SVK
268,201603,1,THA
269,201610,3,AUS
270,201802,122,UKR
271,201503,8,CZE
272,201612,14,GBR
273,201812,22,ISR
274,202011,18,BEL
275,201510,3,AFG
276,201511,2,IRN
277,201806,1,TKM
278,201603,2,ISR
279,201504,2,CHL
280,201510,2,EGY
281,201704,6,GBR
282,201802,1,IRN
283,201902,2,ESP
284,201809,1,CHL
285,201703,1,JPN
286,201612,1,MAR
287,201605,5,IRQ
288,201611,3,HRV
289,201901,1,GRC
290,201708,3,MDA
291,201704,2,BEL
292,201904,1,IRN
293,201706,1,MCO
294,202006,4,DNK
295,202008,7,HUN
296,202009,6,SVK
297,201712,30,RUS
298,201703,33,RUS
299,201604,5,LTU
300,201502,21,EUR
301,201910,480,
302,201509,5,ISR
303,201710,667,
304,202002,1,BGD
305,201605,15,ITA
306,201808,53,USA
307,201908,19,SVK
308,201605,6,FRA
309,202002,1,AFR
310,201909,1,CZE
311,201509,2,PAN
312,201612,2,NZL
313,201612,1,MDV
314,201907,2,NLD
315,201705,5,TUR
316,201508,2,EST
317,201910,3,BGR
318,201910,1,SYR
319,201710,1,TWN
320,201706,3,LVA
321,201704,3,LTU
322,201609,6,IND
323,201903,3,MKD
324,201802,5,CZE
325,201711,1,NOR
326,201811,2,IDN
327,201710,2,SWE
328,201701,2,MAR
329,202004,1,PER
330,202006,2,WST
331,201803,115,POL
332,201809,69,DEU
333,201506,11,LVA
334,201603,3,AUT
335,201508,11,CZE
336,201812,33,UKR
337,201904,6,HUN
338,201810,13,BEL
339,201801,1,WST
340,201505,6,BLR
341,201612,44,UKR
342,201812,1,IRL
343,201808,11,EUR
344,201612,5,IRN
345,201906,2,WST
346,201602,3,IRN
347,201512,2,MEX
348,201701,8,ISR
349,201702,4,IRN
350,201702,4,IRQ
351,201809,1,ESP
352,202010,6,IND
353,201912,1,VNM
354,201702,2,TUR
355,201912,2,CAN
356,201710,1,HRV
357,201810,1,BGR
358,201712,1,ESP
359,201511,1,BHR
360,201710,3,NLD
361,202007,406,
362,202008,492,
363,202009,3,ISR
364,201803,89,DEU
365,201709,63,UKR
366,201506,6,FRA
367,201508,48,RUS
368,201502,7,LTU
369,201803,4,BLR
370,201807,8,WST
371,201710,37,CZE
372,201604,25,UKR
373,201808,15,CZE
374,201902,28,EUR
375,201902,14,FRA
376,201508,3,BGR
377,201907,3,EGY
378,201810,1,SVK
379,201510,1,HRV
380,201603,8,CHL
381,201507,4,AFG
