,MonthYear,Count,Actor2CountryCode
0,202005,104,FRA
1,202005,3,DZA
2,202006,10,PAK
3,202007,4,PAK
4,202008,213,UKR
5,202008,3,DZA
6,202008,2,SEA
7,201611,76,KAZ
8,201702,19,EST
9,201608,14,AUS
10,201708,53,SRB
11,201610,23,ESP
12,201708,2,NER
13,201612,56,BEL
14,201512,1626,RUS
15,201702,5,CZE
16,201709,18,HRV
17,201805,651,FRA
18,201801,819,USA
19,201805,23,KGZ
20,201705,89,ARM
21,201802,13,QAT
22,201712,9,NOR
23,201705,35,AUT
24,201604,121,WST
25,201604,59,BEL
26,201503,280,EUR
27,201601,483,UKR
28,201601,143,BLR
29,201505,27,BRA
30,201503,21,ESP
31,201508,19,PRK
32,201602,58,BRA
33,201507,9,UGA
34,201505,12,NIC
35,201805,17,CAN
36,201904,61,AGO
37,201505,10,IND
38,201808,155,ISR
39,201810,139,UZB
40,201711,22,IRQ
41,201807,25,ESP
42,201912,33,SWE
43,201912,3,ZAF
44,201906,300,IRN
45,201906,39,ARM
46,201504,6,BGD
47,201904,4,LAO
48,201904,22,CUB
49,201811,78,AUT
50,201810,15,VNM
51,201605,4,IND
52,201911,3,ARG
53,201908,3,NGA
54,201809,6,IRL
55,201712,9,AUS
56,201604,9,LKA
57,201512,5,ESP
58,202011,22,KGZ
59,201905,974,USA
60,201903,126,PRK
61,201905,20,SAU
62,201905,14,LVA
63,201612,5,BGD
64,201511,4,MNG
65,201810,2,LTU
66,202001,1,MDV
67,201812,33,WST
68,201602,1,CYP
69,201901,6,AUS
70,201601,5,KHM
71,201903,5,TJK
72,201910,7,TJK
73,201806,3,CHE
74,201710,2,LBN
75,201806,2,MYS
76,201906,4,DZA
77,202003,1,CHE
78,201703,4,BTN
79,201905,1,PGS
80,202012,4,CHE
81,201908,3,LBN
82,201608,5,MKD
83,201904,1,LUX
84,201910,3,ESP
85,201804,2,PGS
86,202004,763,RUS
87,202003,3,BRA
88,202005,12,TWN
89,202006,53,AUS
90,202007,38,AZE
91,202007,5,NGA
92,202007,12,ETH
93,202007,4,GTM
94,202008,53,PHL
95,202008,88,IRN
96,202008,3,CZE
97,202009,277,CHN
98,202009,134,UKR
99,202009,12,AUT
100,202009,4,NLD
101,201704,205,AFG
102,201608,1012,USA
103,201508,3,ZAF
104,201703,219,BLR
105,201703,38,HUN
106,201701,24,IRQ
107,201708,28,LVA
108,201708,343,CHN
109,201706,1,NZL
110,201610,417,DEU
111,201609,231,FRA
112,201609,9,CAN
113,201512,23,KGZ
114,201610,4,CHL
115,201601,603,SYR
116,201709,164,DEU
117,201802,156,GBR
118,201711,3,PAN
119,201803,3,NMR
120,201803,3,LUX
121,201709,2,TZA
122,201705,2,SGP
123,201705,10,SWE
124,201802,26,AFG
125,201701,1,MMR
126,201802,8,PRT
127,201602,121,POL
128,201503,172,EGY
129,201512,54,WST
130,201710,77,KAZ
131,201506,217,EUR
132,201507,99,AFR
133,201505,9,MAR
134,201508,53,ARM
135,201510,18,ITA
136,201510,75,JPN
137,201602,5,SOM
138,201601,1,DNK
139,201909,5,PSE
140,201601,7,MAR
141,201502,2,VEN
142,201510,21,GRC
143,201504,20,AUT
144,201611,13,MLT
145,201904,59,AZE
146,201808,110,FIN
147,201810,182,EGY
148,201803,4,IRL
149,201904,13,BRA
150,201807,2405,RUS
151,201807,25,MKD
152,201504,22,NIC
153,202002,3,CHL
154,201503,6,SAU
155,201512,3,MAR
156,201512,3,LVA
157,201806,203,TUR
158,201808,13,HUN
159,201810,9,VEN
160,201912,1,PHL
161,201508,1,MCO
162,202012,54,SRB
163,201609,1,CMR
164,201809,70,VNM
165,201607,3,UGA
166,202001,405,LBY
167,202001,80,GBR
168,201603,2,BWA
169,201601,3,TWN
170,201507,3,PER
171,201910,11,AUS
172,201903,12,NGA
173,201810,56,AUT
174,201808,3,MMR
175,201812,116,ARM
176,201805,1,VAT
177,201903,41,JPN
178,201604,2,NZL
179,201605,6,LVA
180,201808,5,VNM
181,201906,41,AFR
182,201909,3,MAR
183,201807,29,ARG
184,201502,2,AUS
185,201903,3,AGO
186,201806,1,CRI
187,201607,15,PAK
188,201607,9,VNM
189,201701,2,COL
190,201712,10,LVA
191,201712,1,QAT
192,201601,1,BRN
193,201710,1,IRL
194,201602,3,MUS
195,201502,1,VNM
196,201801,8,ZWE
197,201801,1,LVA
198,202001,2,EST
199,201901,2,KEN
200,201906,1,LKA
201,201905,1,JOR
202,201908,2,NZL
203,202002,6,CHE
204,202004,6,AZE
205,202004,4,SYC
206,201904,4820,
207,202005,182,CHN
208,202005,3,ZMB
209,202006,13,MEX
210,202007,8,BGR
211,202008,23,ARE
212,202009,16,MNG
213,201704,148,EUR
214,201702,28,LTU
215,201702,67,VEN
216,201702,324,BLR
217,201702,9,DZA
218,201608,10,CZE
219,201508,16,AFR
220,201703,3,CAS
221,201706,38,ISR
222,201705,237,SAU
223,201708,2,GEO
224,201609,23,PER
225,201706,6,BGD
226,201701,7,IRL
227,201805,282,ISR
228,201711,97,EUR
229,201711,13,DJI
230,201705,63,AFG
231,201701,11,GRC
232,201605,223,IRN
233,201510,187,GBR
234,201508,527,SYR
235,201604,736,ARM
236,201507,46,KGZ
237,201509,141,IRQ
238,201801,2,AGO
239,201505,72,KAZ
240,201502,13,ITA
241,201604,11,IDN
242,201505,22,ISR
243,201604,11,CUB
244,201503,2,GAB
245,201602,29,BHR
246,201601,2,MYS
247,201610,1,ISL
248,201702,6,ISL
249,201702,10,THA
250,201804,78,BLR
251,201712,3,MUS
252,201804,10,FIN
253,201711,5,NZL
254,201612,2,SYC
255,201901,129,BLR
256,201607,49,JPN
257,201912,56,JPN
258,202002,14,OMN
259,202002,17,NLD
260,202002,20,ITA
261,201911,18,GRC
262,201912,6,BEL
263,201604,16,SEA
264,201908,72,AUT
265,201605,9,EST
266,201511,16,GRC
267,201611,2,SOM
268,202012,7,MOZ
269,201606,62,EGY
270,201606,265,IRN
271,201810,5,QAT
272,202011,197,USA
273,202011,2,POL
274,201809,16,ITA
275,201906,208,SAU
276,201912,4,CYP
277,202012,1,SOM
278,201905,3,LTU
279,201506,3,IRL
280,202001,8,VNM
281,201805,7,ALB
282,201809,33,HUN
283,201510,12,ARG
284,201901,2,LAO
285,201606,9,TJK
286,201607,4,KEN
287,202010,5,EGY
288,201805,1,SEN
289,201908,4,CAN
290,201812,50,CAN
291,202003,2,KOR
