,MonthYear,Count,Actor2CountryCode
0,201904,1435,
1,202004,1,HUN
2,202005,31,CHN
3,202006,8,MEX
4,202007,2,BGR
5,202008,8,ARE
6,202008,2,LUX
7,201702,15,BLR
8,201702,28,LTU
9,201608,40,CZE
10,201702,52,DZA
11,201704,131,EUR
12,201701,57,GRC
13,201801,3,AGO
14,201805,42,ALB
15,201711,139,EUR
16,201711,2,AIA
17,201805,40,ISR
18,201510,113,GBR
19,201509,14,IRQ
20,201804,5,BLR
21,201505,55,ISR
22,201705,12,AFG
23,201701,5,IRL
24,201511,31,GRC
25,201702,2,ISL
26,201605,46,IRN
27,201604,18,ARM
28,201512,17,MLI
29,201604,22,IDN
30,201706,23,ISR
31,201705,23,SAU
32,201508,41,SYR
33,201502,16,ITA
34,201508,4,AFR
35,201602,4,BHR
36,201702,2,THA
37,201804,2,FIN
38,201604,3,LBR
39,201510,3,ARG
40,201604,5,CUB
41,201610,1,ISL
42,201507,2,ETH
43,201506,6,IRL
44,201508,5,SSD
45,201707,3,SSD
46,201712,7,ALB
47,201605,4,EST
48,201603,2,NAM
49,201503,4,GAB
50,201611,1,ETH
51,201809,75,ITA
52,201809,7,HUN
53,201609,8,PER
54,201701,4,FJI
55,201505,2,KAZ
56,201607,8,JPN
57,201606,32,IRN
58,201606,5,EGY
59,201901,4,BLR
60,201908,29,AUT
61,202002,22,ITA
62,202002,5,NLD
63,202002,3,ALB
64,201908,21,CAN
65,202011,69,USA
66,201912,19,BEL
67,201912,5,CYP
68,201911,16,GRC
69,201505,1,TUN
70,201807,1,MLI
71,201912,8,JPN
72,201810,1,QAT
73,201906,13,SAU
74,202003,2,KOR
75,201812,5,QAT
76,201909,1,AIA
77,201607,1,KEN
78,202011,12,POL
79,202011,3,PRT
80,202002,4,OMN
81,202012,1,SOM
82,202010,2,EGY
83,201905,5,PRT
84,201812,7,CAN
85,202011,2,BOL
86,201903,2,ERI
87,202003,8,NOR
88,202004,1,ZAF
89,202007,8,LUX
90,202007,2,ISR
91,202007,1,PSE
92,202008,2,CHL
93,202008,1,ERI
94,202009,1,CYP
95,202002,44,TUR
96,202004,1,BEN
97,201707,1,DZA
98,201707,292,RUS
99,201703,8,CZE
100,201610,129,EUR
101,201611,6,CUB
102,201604,158,FRA
103,201709,26,POL
104,201709,37,QAT
105,201803,5,SAU
106,201712,10,ITA
107,201610,39,AFR
108,201509,179,SYR
109,201805,37,TUR
110,201503,10,KOR
111,201509,6,JOR
112,201709,6,SYR
113,201609,64,ITA
114,201609,176,GBR
115,201507,25,SRB
116,201705,1,EST
117,201503,7,LBN
118,201710,143,GBR
119,201504,4,ARG
120,201712,6,ARG
121,201503,2,IND
122,201504,5,MEX
123,201506,4,CMR
124,201804,3,LBN
125,201803,1,VEN
126,201804,2,LVA
127,201510,6,BRA
128,201601,12,ARE
129,201504,3,JOR
130,201502,2,MLT
131,201710,10,IRQ
132,201907,21,QAT
133,201907,13,POL
134,201601,2,LKA
135,201511,2,COL
136,201703,2,LBN
137,201907,9,IRL
138,201806,3,HRV
139,201901,153,EUR
140,201602,2,SEA
141,201810,5,FIN
142,201810,13,CZE
143,201604,1,NPL
144,201606,6,PRT
145,201807,5,BLR
146,201811,7,IND
147,201910,3,BGD
148,202001,1,VAT
149,201901,3,MLT
150,201912,2,CHL
151,201808,1,BRA
152,201807,12,JPN
153,202003,2,WST
154,201904,7,JOR
155,201509,1,PSE
156,202002,3,LUX
157,202012,6,CAN
158,202010,1,MEX
159,202010,4,KOR
160,201905,3,TUN
161,201606,1,GAB
162,202001,2,CRI
163,202004,4,AFR
164,202005,137,EUR
165,202005,2,SDN
166,202007,6,EGY
167,202007,1,MDG
168,202008,1,IND
169,202005,2,NGA
170,201702,217,EUR
171,201608,120,RUS
172,201707,4,SRB
173,201707,130,GBR
174,201703,20,SYR
175,201702,4,NAM
176,201510,208,FRA
177,201706,1,JAM
178,201706,19,ESP
179,201709,7,BRA
180,201712,227,DEU
181,201803,45,CHN
182,201711,17,BLR
183,201608,10,SVK
184,201509,26,ITA
185,201612,5,VNM
186,201502,52,IRN
187,201508,2,LBY
188,201601,122,IRN
189,201603,30,ITA
190,201805,14,PRT
191,201709,1,NIC
192,201706,19,MUS
193,201507,14,AUS
194,201709,8,BGR
195,201703,5,AZE
196,201505,2,SWE
197,201707,7,NGA
198,201505,2,NZL
199,201607,257,GBR
200,201512,22,AUT
201,201609,6,FIN
202,201605,3,MOZ
203,201711,7,SWE
204,201711,2,SEN
205,201610,4,AZE
206,201610,3,MRT
207,201605,31,CAN
208,201611,1,KWT
209,201605,17,BLR
210,201804,2,ARE
211,201609,5,ZAF
212,201601,1,CYM
213,201707,3,PAK
214,201610,1,ZWE
215,201504,6,FIN
216,201907,5,VEN
217,201812,24,GRC
218,201906,34,CHN
219,202001,1520,
220,201507,2,LBY
221,201907,7,FIN
222,201807,12,AFR
223,201902,2,KOR
224,201901,35,CHN
225,201902,20,POL
226,201604,1,ZAF
227,201505,1,BEN
228,201908,7,ISR
229,201612,1,LTU
230,201903,16,POL
231,201806,3,ARG
232,201911,1332,
233,201807,3,ZAF
234,201811,2,GHA
235,201807,1,HTI
236,201806,11,BLR
237,202009,2,SAU
238,202002,18,ESP
239,201908,1,JAM
240,201812,1,NGA
241,201903,8,MAR
242,202012,8,AFR
243,202002,1,TTO
244,201808,1,VCT
245,201609,1,TKM
246,201905,22,BFA
247,202003,10,CHE
248,202005,162,FRA
249,202005,12,MLT
250,202006,7,PAK
251,202005,1,DZA
252,202007,2,PAK
253,202008,35,UKR
254,202008,1,DZA
255,202009,1,GHA
256,201702,2,EST
257,201608,11,AUS
258,201612,65,BEL
259,201708,4,NER
260,201702,10,CZE
261,201610,27,ESP
262,201801,87,USA
263,201709,3,HRV
264,201805,410,FRA
265,201805,20,CAN
266,201711,20,IRQ
267,201512,64,RUS
268,201503,109,EUR
269,201503,104,ESP
270,201604,32,BEL
271,201512,14,ESP
272,201705,20,AUT
273,201601,43,UKR
274,201601,18,BLR
275,201703,1,TZA
276,201707,8,CRI
277,201604,14,WST
278,201605,8,IND
279,201602,2,CYP
280,201604,1,LKA
281,201712,7,AUS
282,201705,1,ARM
283,201504,2,NZL
284,201802,1,QAT
285,201505,5,IND
286,201512,1,FJI
287,201505,1,NIC
288,201712,1,NOR
289,201808,27,ISR
290,201804,1,PGS
291,201507,1,UGA
292,201505,6,BRA
293,201806,11,CHE
294,201503,1,BHR
295,201906,130,IRN
296,201901,4,AUS
297,201809,11,IRL
298,201507,2,MKD
299,201807,33,ESP
300,201908,1,TUN
301,201807,2,CMR
302,201908,5,NGA
303,201908,3,LBN
304,201904,5,LUX
305,201910,17,ESP
306,201810,4,LTU
307,201903,5,PRK
308,201905,160,USA
309,201905,2,SAU
310,201910,1,TJK
311,201811,4,AUT
312,201911,7,ARG
313,201906,3,DZA
314,201807,1,CYP
315,201812,1,ZMB
316,201812,1,WST
317,201903,2,NPL
318,201904,1,UGA
319,201808,4,NER
320,201912,3,SWE
321,201905,1,LVA
322,202012,4,CHE
323,202001,3,MDV
324,201612,2,BGD
325,201806,2,MYS
326,202011,2,KGZ
327,201904,2,GHA
328,201902,2,NZL
329,202004,12,LUX
330,202005,1,GUY
331,202006,21,TUR
332,202008,1,SYR
333,201607,37,ITA
334,201611,366,DEU
335,201704,18,IRL
336,201803,19,BEL
337,201709,3,AZE
338,201805,307,RUS
339,201802,1999,
340,201805,8,SGP
341,201712,121,FRA
342,201510,133,UKR
343,201509,2,SVK
344,201504,327,RUS
345,201612,3,KHM
346,201612,167,USA
347,201612,24,NLD
348,201604,8,BRA
349,201603,6,LKA
350,201507,21,TUR
351,201711,2,YEM
352,201507,4,URY
353,201604,6,KOR
354,201602,12,MEX
355,201510,15,BLR
356,201703,2,SVK
357,201511,12,SWE
358,201512,23,ITA
359,201504,3,ZMB
360,201503,20,NLD
361,201608,2,LBY
362,201502,2,OMN
363,201705,17,JOR
364,201705,3,GHA
365,201503,1,IRL
366,201511,7,IDN
367,201711,1,KOR
368,201703,1,RWA
369,201804,2,PER
370,201609,4,KEN
371,201601,1,IDN
372,201604,3,IRL
373,201709,4,DZA
374,201907,25,ITA
375,201907,7,AFR
376,201907,4,MLT
377,201503,4,TUN
378,201703,1,PAK
379,201710,2,ISL
380,201712,1,BGD
381,201808,31,NGA
382,201808,18,MAR
383,201710,4,LTU
384,201806,19,LUX
385,201603,1,ECU
386,201807,2,LTU
387,201807,2,NGA
388,201502,1,PAK
389,201504,2,AFG
390,201908,4,SGP
391,201802,4,AIA
392,201903,7,CAN
393,202001,12,AUS
394,201910,1,NIC
395,201711,2,LBY
396,201610,1,PHL
397,201901,18,ESP
398,201604,1,HND
399,201502,2,HUN
400,201911,11,ALB
401,201911,5,CIV
402,201810,4,DNK
403,201909,10,MYS
