,MonthYear,Count,Actor2CountryCode
0,201512,4,POL
1,201601,4,WST
2,201704,1,BEL
3,202010,1,DEU
4,201509,1,ESP
5,201810,2,CHN
6,201707,1,DNK
7,202001,1,EUR
8,201711,1,BEL
9,201906,1,SVK
10,202006,1,DEU
11,201709,51,
12,201504,1,DEU
13,202012,1,IRQ
14,201604,2,POL
15,201509,1,GBR
16,201509,1,TUR
17,201611,6,POL
18,201605,2,GRC
19,201609,1,ESP
20,201802,2,NLD
21,201507,5,CZE
22,201906,2,POL
23,201903,4,RUS
24,201602,4,MKD
25,201704,68,
26,201704,1,HRV
27,201704,1,CHN
28,202010,1,FRA
29,201905,1,HUN
30,201810,1,BRA
31,201606,2,USA
32,201610,1,WST
33,201810,27,
34,201512,9,UKR
35,201809,1,BLR
36,201902,23,
37,202012,1,RUS
38,201801,1,HUN
39,201905,1,SVK
40,201705,1,UKR
41,202009,1,BLR
42,201908,1,POL
43,201807,2,DEU
44,201604,3,UKR
45,201904,3,GBR
46,201606,5,CHN
47,202003,1,GBR
48,201603,1,HUN
49,201710,1,TUR
50,201603,1,NZL
51,201912,1,HUN
52,201711,1,RUS
53,201804,36,
54,201908,1,FRA
55,201505,1,BEL
56,201506,2,POL
57,201610,1,LTU
58,202011,1,EUR
59,201512,1,EST
60,202007,1,USA
61,201706,3,WST
62,201809,1,HUN
63,201709,1,ARG
64,201707,7,DEU
65,201610,2,FRA
66,201607,1,BLR
67,201906,28,
68,201705,38,
69,201803,2,USA
70,201508,5,USA
71,201610,1,UKR
72,201608,1,FRA
73,201712,4,GBR
74,201802,1,CHE
75,201602,2,WST
76,201512,5,EUR
77,201803,2,POL
78,201710,3,POL
79,201712,1,RUS
80,201812,22,
81,201601,1,SWE
82,201505,1,DEU
83,201910,3,GBR
84,201707,3,LUX
85,201507,1,EUR
86,201905,1,CZE
87,201510,2,LTU
88,201912,2,USA
89,201707,1,GBR
90,201903,1,USA
91,201606,1,VAT
92,201904,1,MKD
93,201608,1,CZE
94,201901,1,LBN
95,202009,1,EUR
96,201610,1,USA
97,201909,3,UKR
98,201505,6,EUR
99,201705,1,IDN
100,201501,1,UKR
101,201603,1,DEU
102,201607,3,WST
103,201804,3,NLD
104,201906,1,FIN
105,202003,17,
106,201711,3,FRA
107,201702,1,WST
108,201704,7,BGR
109,201708,1,BLR
110,201509,2,POL
111,201511,1,UKR
112,201602,4,EUR
113,201602,2,USA
114,201507,1,CAN
115,201712,4,HUN
116,201805,4,UKR
117,201512,31,
118,201711,6,UKR
119,201505,7,POL
120,201701,1,DEU
121,201801,5,POL
122,201705,1,CZE
123,201505,1,NLD
124,201710,1,LUX
125,201608,2,USA
126,201803,44,
127,201701,37,
128,202008,1,BLR
129,201502,3,UKR
130,201603,3,USA
131,201811,1,CHE
132,201811,2,ISR
133,201606,3,RUS
134,201704,1,CUB
135,202002,1,FRA
136,201609,52,
137,201801,44,
138,201808,30,
139,201706,1,KEN
140,201612,1,HUN
141,201703,3,HUN
142,201506,1,LVA
143,201810,1,DEU
144,201507,1,GBR
145,202005,11,
146,201806,43,
147,201608,31,
148,201810,1,MDA
149,201711,8,EUR
150,201712,1,ITA
151,201712,4,UKR
152,201910,2,USA
153,201810,2,UKR
154,201509,1,CZE
155,201507,1,BEL
156,202006,35,
157,201711,3,GBR
158,201609,1,DEU
159,201804,3,GBR
160,201906,1,CZE
161,201902,2,USA
162,201710,3,EUR
163,201805,1,CPV
164,201711,2,DEU
165,201904,1,FRA
166,201508,1,CAN
167,202011,3,POL
168,201911,1,LTU
169,202007,1,SVK
170,201603,1,BGR
171,201908,1,EUR
172,201509,2,SYR
173,201504,1,BLR
174,201704,1,ITA
175,201812,1,DEU
176,201909,1,MKD
177,201602,3,AZE
178,201807,1,FRA
179,201607,1,ALB
180,201704,1,BLR
181,201909,27,
182,201502,9,
183,201903,3,IRL
184,202009,1,UKR
185,201901,2,EUR
186,201810,3,POL
187,201810,1,USA
188,201606,1,SRB
189,201905,3,POL
190,201905,2,ITA
191,201702,2,EUR
192,201802,2,UKR
193,201904,1,USA
194,201601,2,DEU
195,201512,2,MAR
196,201507,1,LTU
197,201606,1,DNK
198,202001,2,CHL
199,201801,2,GBR
200,201807,4,UKR
201,201511,4,EUR
202,201601,5,GBR
203,201603,1,EUR
204,201510,1,IRN
205,201603,1,CHN
206,201609,2,UKR
207,201706,49,
208,201507,1,KGZ
209,201512,1,HUN
210,201511,1,TUR
211,201508,1,CHN
212,201710,7,UKR
213,201804,4,POL
214,201712,2,CZE
215,201512,2,BGR
216,201607,7,USA
217,201510,1,RUS
218,201607,3,UKR
219,201712,1,WST
220,201805,1,RUS
221,201508,2,UKR
222,201603,1,BLR
223,201504,1,EST
224,201607,95,
225,201710,2,FRA
226,201704,2,MDA
227,201708,2,BEL
228,201806,1,DEU
229,201809,1,LTU
230,201603,1,AFR
231,201705,1,GRC
232,201604,47,
233,201811,4,HUN
234,201711,4,USA
235,201607,7,DEU
236,201508,2,WST
237,201803,1,LTU
238,201808,1,DEU
239,201803,1,PRT
240,201703,11,GBR
241,201703,4,UKR
242,201811,6,USA
243,201708,10,POL
244,201707,1,UGA
245,201504,3,UKR
246,201510,1,WST
247,201808,4,USA
248,201512,1,FRA
249,202007,3,EUR
250,201809,29,
251,201611,5,GBR
252,201611,1,EUR
253,201909,4,EUR
254,202001,24,
255,201701,4,POL
256,201503,2,UKR
257,201809,1,GBR
258,201603,1,UKR
259,201512,1,SVK
260,201603,1,TUR
261,201503,1,BGR
262,201701,1,EGY
263,201812,4,EUR
264,201706,1,PAK
265,201804,1,UKR
266,201507,4,ECU
267,202012,1,ESP
268,201906,4,UKR
269,201807,1,LUX
270,201910,1,TUR
271,201612,1,DEU
272,201906,2,EUR
273,201812,1,RUS
274,201907,2,USA
275,202004,22,
276,201707,65,
277,201811,30,
278,201705,7,EUR
279,201610,4,EUR
280,201702,1,SVK
281,201812,1,BEL
282,201902,1,BLR
283,201511,1,BEL
284,201511,1,DEU
285,201606,1,SWE
286,201606,1,POL
287,201711,1,ARG
288,201806,2,UKR
289,201508,2,EST
290,201612,1,EUR
291,201704,1,POL
292,201712,8,EUR
293,201910,1,WST
294,201709,1,LTU
295,201912,2,ESP
296,201806,3,EUR
297,201905,19,
298,201504,21,
299,201512,3,USA
300,201811,1,BGR
301,201904,2,EUR
302,201507,1,AZE
303,201907,3,EUR
304,201605,1,USA
305,201808,1,IRL
306,201606,1,GBR
307,201803,4,DEU
308,201908,23,
309,201601,45,
310,201511,2,POL
311,201510,1,POL
312,201709,1,THA
313,201510,4,EUR
314,201707,1,WST
315,201909,1,RUS
316,201805,1,CZE
317,201612,4,CZE
318,201802,1,KOR
319,202007,1,SYR
320,201802,1,GBR
321,201912,1,CHN
322,201709,1,FIN
323,201509,2,USA
324,201811,2,AUT
325,201703,5,POL
326,201807,25,
327,201612,1,BLR
328,201707,1,RWA
329,201501,1,LTU
330,201504,1,LUX
331,201807,1,USA
332,201607,1,AFG
333,201712,4,POL
334,201802,42,
335,201812,3,UKR
336,201709,1,EUR
337,201802,3,EUR
338,201908,5,UKR
339,201904,1,JPN
340,201811,1,UKR
341,201610,1,LVA
342,201610,1,SEN
343,202006,1,SVK
344,201802,1,NOR
345,201507,47,
346,201705,1,TUR
347,201803,1,EUR
348,201609,1,AUS
349,201502,2,RUS
350,201603,1,LBN
351,201712,1,BLR
352,201611,49,
353,201806,1,POL
354,201901,1,UKR
355,201812,3,FRA
356,201607,1,ITA
357,201506,2,EST
358,201511,2,EST
359,201812,2,IRN
360,201902,1,ESP
361,202008,20,
362,201705,1,FIN
363,201901,4,POL
364,201803,2,RUS
365,201803,1,BGR
366,201812,2,GBR
367,202012,2,POL
368,201604,1,HUN
369,201910,3,EUR
370,201602,1,SVK
371,201803,1,ISR
372,201805,4,POL
373,201610,4,RUS
374,201712,1,IDN
375,201707,4,USA
376,201506,4,EUR
377,201710,2,AZE
378,201504,2,USA
379,201702,1,USA
380,201902,1,UKR
381,201609,4,GBR
382,201911,1,EUR
383,201509,1,NLD
384,201706,5,DEU
385,201511,57,
386,201506,44,
387,201709,1,USA
388,201505,1,CZE
389,201603,1,PER
390,201905,1,TJK
391,201607,1,TKM
392,201809,1,THA
393,201612,1,ITA
394,202011,1,RUS
395,202008,1,AUT
396,201804,2,EUR
397,202002,1,RUS
398,201504,3,NLD
399,201607,11,POL
400,202011,2,HUN
401,201903,1,TZA
402,202003,1,UKR
403,202008,1,EUR
404,201911,2,RUS
405,201601,5,HUN
406,201909,1,BEL
407,201704,4,GBR
408,201807,1,WST
409,201806,1,AFR
410,201605,2,VAT
411,201701,1,GBR
412,201610,41,
413,201606,78,
414,201908,2,USA
415,201505,1,WST
416,201606,6,EUR
417,201901,1,USA
418,201812,1,FIN
419,201603,1,RUS
420,201704,1,MAR
421,201804,2,PAN
422,201805,1,HUN
423,201608,1,ESP
424,201908,1,RUS
425,201712,1,CHN
426,201805,1,GRC
427,201805,1,BGR
428,201803,1,JPN
429,201611,1,SRB
430,201705,4,POL
431,201604,2,USA
432,201902,5,POL
433,201507,2,WST
434,201712,30,
435,201802,1,LBN
436,201510,39,
437,201601,2,EUR
438,201601,4,LVA
439,201607,3,EUR
440,202003,1,HUN
441,201606,1,HUN
442,201804,2,LUX
443,202006,1,POL
444,201609,5,SVK
445,201802,1,HUN
446,202009,11,
447,201801,1,DEU
448,201801,1,UKR
449,201506,5,USA
450,201903,4,POL
451,201509,2,UKR
452,201507,1,RUS
453,201601,1,USA
454,201808,4,UKR
455,201511,2,SRB
456,201507,1,SVK
457,201708,1,WST
458,201901,1,RUS
459,201801,3,EUR
460,201707,7,EUR
461,201708,4,UKR
462,201512,3,LTU
463,201801,1,BEL
464,201504,2,CZE
465,201509,2,IDN
466,201910,1,NOR
467,201606,2,UKR
468,202004,1,USA
469,201503,37,
470,201603,1,CYP
471,201802,1,PAN
472,201509,1,AUS
473,201604,7,WST
474,201802,1,DEU
475,201705,2,RUS
476,201609,1,IND
477,201705,1,MEX
478,201605,1,RUS
479,201805,1,IRN
480,201902,1,IRL
481,201906,1,HUN
482,201702,45,
483,201705,2,DEU
484,201510,1,CHN
485,201911,1,DEU
486,201804,5,FRA
487,202001,1,UKR
488,201609,1,CHN
489,201512,1,WST
490,202006,1,LTU
491,201703,5,MKD
492,201705,2,WST
493,201809,2,EUR
494,201904,16,
495,201709,1,KAZ
496,201605,4,WST
497,201810,1,ARE
498,201807,1,EUR
499,201701,1,FRA
500,201804,1,RUS
501,201703,5,USA
502,201912,1,BLR
503,201812,1,SVK
504,202006,1,BLR
505,201802,8,ISR
506,201605,1,ESP
507,201612,4,POL
508,201512,2,GBR
509,201508,2,CZE
510,201603,1,GBR
511,201906,1,KOR
512,201912,20,
513,202012,1,ISR
514,201802,1,MKD
515,201807,2,RUS
516,202011,8,
517,201704,4,RUS
518,201506,1,CZE
519,201901,1,BEL
520,201510,1,CAN
521,201708,1,GBR
522,201602,1,FRA
523,201507,1,GUY
524,201703,5,BGR
525,201910,23,
526,201705,4,FRA
527,201610,5,POL
528,202012,2,GBR
529,201608,2,UKR
530,201710,51,
531,201612,6,UKR
532,201707,1,BGR
533,201503,1,RUS
534,201506,2,LUX
535,201503,1,DEU
536,201606,7,MKD
537,201505,1,RUS
538,202006,5,USA
539,201809,13,USA
540,201709,1,GBR
541,201609,1,MDA
542,201907,1,CHN
543,201602,1,MEX
544,201506,1,UKR
545,201601,1,VAT
546,201706,6,POL
547,201509,12,EUR
548,201612,1,ALB
549,201605,6,EUR
550,202012,4,DEU
551,201906,4,USA
552,201510,2,USA
553,201510,1,BEL
554,202008,4,USA
555,201810,2,EUR
556,201806,1,USA
557,201602,2,HUN
558,201602,1,TUR
559,201809,1,IRN
560,201610,1,EST
561,201810,1,TUN
562,201508,1,DEU
563,201504,1,BHR
564,201703,51,
565,201704,1,WST
566,201911,1,BRA
567,201707,8,POL
568,201708,21,
569,201603,1,CZE
570,201607,1,BEL
571,201509,1,CHN
572,202012,8,HUN
573,201901,1,DEU
574,201903,2,ESP
575,201806,1,ISR
576,201607,2,GBR
577,201902,3,RUS
578,201707,1,ITA
579,201910,1,CHL
580,201711,53,
581,201805,42,
582,201703,4,DEU
583,201610,1,ITA
584,201610,1,ESP
585,201912,2,RUS
586,201711,4,POL
587,201704,2,USA
588,201704,1,EUR
589,202001,1,RUS
590,201607,2,ESP
591,201804,3,USA
592,201603,1,BEL
593,201505,1,ISL
594,201603,1,IRN
595,201901,1,MEX
596,202007,1,LTU
597,201702,1,DNK
598,201604,2,EUR
599,201511,1,GBR
600,201612,1,NZL
601,201511,1,AFR
602,201910,1,AFR
603,201603,1,JPN
604,201502,1,EUR
605,201703,1,QAT
606,201806,1,NLD
607,202009,1,BEL
608,202008,1,ESP
609,201509,1,BRA
