,MonthYear,Count,Actor2CountryCode
0,202009,1,EUR
1,202009,2,KAZ
2,201704,3,TUR
3,201707,9,FRA
4,201707,2,GBR
5,201609,1,CUB
6,201801,6,IRN
7,201804,39,EGY
8,201512,2,CHE
9,201505,6,DEU
10,201611,2,NOR
11,201507,7,EUR
12,201812,221,
13,201704,1,PHL
14,201803,1,KOR
15,201605,13,UKR
16,201707,1,IDN
17,201510,5,JOR
18,201901,1,SAU
19,201505,1,LKA
20,201903,12,USA
21,201811,3,DEU
22,201810,3,CUB
23,201802,3,CHN
24,201911,1,KAZ
25,201808,4,CHE
26,201508,2,EUR
27,201910,17,SYR
28,201604,1,SRB
29,201511,1,LBN
30,201510,1,QAT
31,201801,1,SRB
32,201608,1,CZE
33,201906,1,PAK
34,201510,1,ARM
35,201912,6,USA
36,201910,1,GBR
37,201611,14,UKR
38,201608,11,USA
39,201701,20,USA
40,201610,38,SYR
41,201706,13,TUR
42,201512,148,
43,201611,1,DOM
44,201701,1,DEU
45,201701,1,LBY
46,201805,5,UKR
47,201710,6,CYP
48,201601,2,EGY
49,201712,1,HUN
50,201711,7,UKR
51,201611,1,LBY
52,201506,4,ITA
53,201705,3,ARM
54,201604,6,BOL
55,201701,2,CAN
56,201605,1,IRQ
57,201508,2,ECU
58,201902,3,DEU
59,201902,1,AUS
60,202002,9,UKR
61,201607,2,AZE
62,201502,2,CHN
63,202011,5,TUR
64,201809,2,VNM
65,202001,2,EGY
66,201804,1,ALB
67,202002,1,CUB
68,202010,7,ARM
69,202012,2,SDN
70,201907,1,TKM
71,202003,2,CHN
72,201503,1,BRA
73,202002,1,ISL
74,202006,1,AUT
75,202008,1,SAU
76,201704,223,
77,201704,5,CHN
78,201704,1,UZB
79,201609,30,RUS
80,201709,22,RUS
81,201606,5,USA
82,201601,12,SAU
83,201605,5,IRN
84,201812,1,SRB
85,201604,2,QAT
86,202012,2,USA
87,201806,9,PRK
88,201803,3,ZWE
89,201811,1,ARE
90,201603,1,SDN
91,201903,1,MLI
92,201706,2,JOR
93,201905,1,HUN
94,201607,4,FIN
95,201905,1,UZB
96,201802,1,SAU
97,201702,6,AFG
98,201703,1,UZB
99,201705,8,PHL
100,201711,1,CYP
101,201803,1,ETH
102,201604,146,
103,201507,27,IRN
104,201710,10,USA
105,201711,20,USA
106,201611,1,AFR
107,201801,1,PRK
108,201707,3,IRQ
109,201710,2,PRK
110,201702,4,DEU
111,201603,1,MEX
112,201504,1,SYR
113,201607,1,KOR
114,201805,2,TUR
115,201902,2,GBR
116,201907,4,AFG
117,201808,12,DEU
118,201811,1,FIN
119,201810,2,PRK
120,201606,2,AZE
121,201803,1,LTU
122,201909,6,MDA
123,201607,4,DEU
124,201808,4,CHN
125,201907,1,MLI
126,202002,1,JPN
127,201602,2,GBR
128,201910,1,NLD
