,MonthYear,Count,SumGoldsteinScale,Actor2CountryCode
0,202004,123,519.0,USA
1,202005,46,184.0,BEL
2,202003,111,471.30000000000007,GBR
3,202004,18,72.0,ISL
4,202007,99,422.40000000000003,GBR
5,202006,5,26.0,ARM
6,202006,1,4.0,VEN
7,202006,2,8.0,BDI
8,202006,2,8.0,SRB
9,202008,12,48.0,KOR
10,202008,239,1039.1999999999998,RUS
11,202008,6,25.2,AFR
12,202008,18,73.2,CAN
13,201709,9,38.4,TUN
14,201801,37,152.2,GRC
15,201604,153,657.8000000000001,SYR
16,201710,419,1725.3,FRA
17,201510,477,1999.1000000000013,USA
18,201506,17,74.0,MEX
19,201503,4,16.0,NAM
20,201505,9,40.8,IRQ
21,201505,89,364.3,EGY
22,201801,13,52.0,ARE
23,201510,16,64.0,AZE
24,201804,4,17.2,LBY
25,201504,67,276.8,CHE
26,201801,2,8.0,NOR
27,201506,36,144.0,NGA
28,201503,5,20.0,PRK
29,201709,8,32.0,PHL
30,201805,7,28.0,SWE
31,201701,8,32.0,NGA
32,201602,4,16.0,NMR
33,201509,10,43.6,ARG
34,201712,23,93.0,AUT
35,201704,5,20.0,NGA
36,201704,20,89.0,MCO
37,201712,2,8.0,VAT
38,201704,4,16.0,ISL
39,201505,7,30.4,IRL
40,201504,14,57.2,IRQ
41,201702,18,75.6,HUN
42,201605,6,26.4,QAT
43,201708,1,4.0,SSD
44,201611,2,8.0,ECU
45,201611,2,11.0,IND
46,201710,18,82.8,AFR
47,201602,1,4.0,LCA
48,201709,2,8.0,ZWE
49,201711,4,16.0,MDV
50,201601,5,20.0,ZAF
51,201608,24,96.0,KOR
52,201610,4,18.9,CMR
53,201504,3,12.0,LKA
54,201609,8,32.5,ALB
55,201602,10,40.0,DZA
56,201605,1,4.0,SAS
57,201503,3,12.0,JAM
58,201505,6,24.0,NGA
59,201607,8,35.599999999999994,MEX
60,201612,3,12.0,ZWE
61,201610,5,26.0,TKM
62,201706,2,9.0,CRI
63,201704,1,4.0,LIE
64,201606,2,8.0,KWT
65,201606,1,4.0,NER
66,201701,1,4.0,MDV
67,201704,3,12.0,JOR
68,201808,89,371.0,IRN
69,201811,262,1085.6,RUS
70,201512,2,9.2,VEN
71,201509,1,4.0,PRK
72,201808,2,8.0,BFA
73,201806,99,404.4,AUT
74,201809,8,32.0,ALB
75,201902,37,155.8,ARE
76,201906,541,2285.7999999999997,DEU
77,201906,4,18.4,MEX
78,201906,21,90.8,EGY
79,201806,13,53.2,DNK
80,201812,1,4.0,GIN
81,201908,92,368.0,PRT
82,201906,5,20.0,PSE
83,201903,2,8.0,JOR
84,202002,21,87.2,ARG
85,202012,27,110.4,UKR
86,202002,14,57.2,SRB
87,202002,5,20.0,LVA
88,202002,2,8.0,MNG
89,202010,15,60.0,SGP
90,201905,2,10.4,EST
91,202004,51,208.10000000000002,RUS
92,202006,6,28.799999999999997,AUS
93,202007,3,12.0,NGA
94,202008,10,40.0,CZE
95,202008,54,232.0,IRN
96,202009,21,96.0,UKR
97,202009,55,234.4,CHN
98,202009,14,57.2,NLD
99,202009,13,54.4,AUT
100,201709,700,2985.8999999999996,DEU
101,201805,24,108.0,VAT
102,201802,240,1001.0,GBR
103,201802,3,12.0,ECU
104,201802,8,44.4,AFG
105,201608,266,1146.2,USA
106,201803,7,28.0,IRL
107,201503,67,278.4,SAU
108,201604,12,48.0,NZL
109,201506,258,1047.7,EUR
110,201602,105,431.8999996185303,POL
111,201510,148,621.2,GRC
112,201510,59,255.2,ITA
113,201507,4,17.0,PER
114,201502,15,61.5,AUS
115,201504,36,147.4,AUT
116,201601,34,139.60000000000002,DNK
117,201610,927,3877.399999999999,DEU
118,201609,572,2354.6,FRA
119,201703,32,136.8,BLR
120,201503,64,277.5999999999999,EGY
121,201601,95,427.1999999999999,SYR
122,201602,5,20.0,MUS
123,201803,5,20.0,NMR
124,201803,14,56.0,LUX
125,201609,62,268.4,CAN
126,201705,10,44.8,SWE
127,201701,6,24.0,IRQ
128,201512,18,78.0,WST
129,201510,22,94.00000000000001,JPN
130,201705,9,39.6,BGD
131,201705,5,20.0,SGP
132,201801,6,24.0,ZWE
133,201708,104,419.2,CHN
134,201601,28,112.0,MAR
135,201508,7,28.0,MCO
136,201701,41,176.0,COL
137,201704,17,70.0,AFG
138,201609,2,8.0,CMR
139,201703,6,24.0,HUN
140,201603,5,22.4,TWN
141,201802,4,16.0,PRT
142,201508,6,24.0,ARM
143,201706,3,13.2,NZL
144,201505,2,8.0,MAR
145,201507,11,45.2,AFR
146,201602,3,13.5,SOM
147,201712,2,8.0,LVA
148,201608,2,8.0,LUX
149,201708,13,52.0,LVA
150,201801,1,4.0,ISL
151,201610,4,16.0,CHL
152,201710,10,42.4,IRL
153,201701,2,10.4,MMR
