,MonthYear,Count,SumGoldsteinScale,Actor2CountryCode
0,202004,27,109.2,RUS
1,202007,3,12.0,NGA
2,202006,3,12.0,AUS
3,202007,1,4.0,AZE
4,202008,33,132.0,CZE
5,202009,27,109.2,UKR
6,202009,3,12.0,NLD
7,201608,42,181.19999999999996,USA
8,201803,11,52.4,IRL
9,201803,26,104.0,LUX
10,201609,29,116.5,FRA
11,201709,75,306.4,DEU
12,201610,27,109.0,DEU
13,201802,29,118.4,GBR
14,201602,111,453.1999998092651,POL
15,201510,10,40.0,ITA
16,201708,10,43.4,CHN
17,201710,2,8.0,IRL
18,201608,1,4.0,LUX
19,201711,2,8.0,PAN
20,201703,59,250.89999999999998,HUN
21,201510,5,22.4,JPN
22,201506,65,271.4,EUR
23,201512,3,12.0,MAR
24,201512,28,112.0,LVA
25,201512,14,56.0,WST
26,201510,2,8.0,GRC
27,201508,2,8.0,MCO
28,201807,41,176.0,RUS
29,201703,8,34.4,BLR
30,201708,2,10.4,LVA
31,201810,2,8.0,AGO
32,201810,1,4.0,VEN
33,201508,6,28.8,ARM
34,201504,2,8.0,ETH
35,201705,22,88.0,SGP
36,201809,1,4.0,VAT
37,201504,3,12.0,AUT
38,201607,2,8.0,PAK
39,201810,12,48.0,TZA
40,201812,2,8.0,ARM
41,201611,1,4.0,MLT
42,201808,8,32.0,HUN
43,201807,2,8.0,ARG
44,201609,9,36.0,CAN
45,201803,1,4.0,NMR
46,201906,3,12.0,AFR
47,201810,1,4.0,AUT
48,202001,17,100.2,GBR
49,201903,7,32.8,JPN
50,201807,3,12.0,MKD
51,201601,1,4.0,SYR
52,201710,1,5.2,KAZ
53,201701,1,4.0,COL
54,202001,3,12.0,EST
55,201507,3,12.0,PER
56,202009,3,12.0,AUT
57,201809,2,8.0,SSD
58,201905,1,4.0,JOR
59,202001,1,4.0,LBY
60,201605,4,16.0,LVA
61,201507,1,4.0,AFR
62,201809,4,20.8,VNM
63,201909,1,7.0,MAR
64,201503,1,4.0,SAU
65,201503,1,4.0,OMN
66,201711,2,8.0,HRV
67,201904,2,8.0,AZE
68,201607,1,4.0,VNM
69,201910,2,8.0,AUS
70,201903,2,8.0,ALB
71,202002,2,9.0,CHE
72,202008,13,52.0,HUN
73,202009,8,36.0,SVK
74,201704,6,25.0,LTU
75,201703,41,167.6,RUS
76,201612,6,24.0,NZL
77,201712,39,159.0,RUS
78,201801,4,16.0,MDA
79,201711,1,4.0,NOR
80,201802,10,42.4,CZE
81,201802,2,8.0,DOM
82,201710,963,4090.3999999999996,
83,201608,2,8.0,LKA
84,201508,39,156.0,EST
85,201705,19,76.0,TUR
86,201804,1,4.0,JPN
87,201605,14,56.0,FRA
88,201509,10,40.0,ISR
89,201609,17,68.0,BGR
90,201609,3,12.0,IND
91,201707,4,16.0,DNK
92,201707,56,235.99999999999994,HRV
93,201909,5,23.2,CZE
94,201502,10,42.4,EUR
95,201812,34,136.0,DNK
96,201906,2,10.4,BHR
97,201907,1,4.0,AUT
98,201808,105,429.59999999999997,USA
99,201606,4,16.0,PHL
100,202012,1,4.0,MDA
101,201910,707,3034.999999999999,
102,201712,2,8.0,PHL
103,201908,6,24.0,TWN
104,201605,5,20.0,ITA
105,202003,2,8.0,HRV
106,202003,3,12.0,COL
107,201910,1,4.0,BGR
108,202002,2,8.0,BGD
109,201908,3,12.0,OMN
110,201908,4,21.4,SVK
111,201901,2,10.4,MDA
112,201902,1,4.0,UGA
113,201811,14,56.0,IDN
114,201907,2,8.0,NLD
115,201801,4,16.0,MWI
116,201710,3,13.5,TWN
117,202002,2,8.0,MKD
118,201710,3,14.4,SWE
119,202003,5,20.0,KOR
120,202004,9,36.0,HUN
121,202005,3,15.600000000000001,CHN
122,202007,2,8.0,BGR
123,201704,61,265.59999999999997,EUR
124,201702,15,63.0,BLR
125,201608,20,83.6,CZE
126,201702,1,4.0,VEN
127,201711,76,316.09999999999997,EUR
128,201706,11,44.0,ISR
129,201510,17,70.4,GBR
130,201510,1,4.0,ARG
131,201605,22,94.0,EST
132,201711,5,20.0,NZL
133,201712,5,20.0,ALB
134,201702,1,4.0,DZA
135,201507,13,56.8,KGZ
136,201506,1,4.0,IRL
137,201508,7,28.0,SYR
138,201702,6,24.0,ISL
139,201702,5,22.4,LTU
140,201604,3,12.0,IDN
141,201809,10,40.0,ITA
142,201904,675,2890.199999999999,
143,201511,5,20.0,GRC
144,201605,51,207.6,IRN
145,201701,4,16.0,IRL
146,201604,3,12.0,ARM
147,201801,1,4.0,AGO
148,201505,2,8.0,TUN
149,201912,5,20.0,BEL
150,201505,6,24.0,ISR
151,201805,16,64.0,ISR
152,201609,1,4.0,PER
153,201901,5,20.0,BLR
154,201905,13,52.0,LTU
155,201912,4,16.0,JPN
156,201805,4,16.0,ALB
157,201810,3,12.0,PAN
158,201804,1,5.2,FIN
159,202011,38,168.2,POL
160,202011,28,112.0,USA
161,201604,6,24.0,CUB
162,201809,51,212.5,HUN
163,201912,2,8.0,CYP
164,201606,8,32.0,IRN
165,202002,3,12.0,NLD
166,201911,1,4.0,GRC
167,201607,1,4.0,JPN
168,201607,6,24.0,KEN
169,201812,1,4.0,CAN
170,201908,1,4.0,CAN
171,201606,1,4.0,EGY
172,201902,3,12.0,SLE
173,201906,4,16.0,SAU
174,202004,2,8.0,BEL
175,202007,79,324.8,USA
176,202006,64,298.5,DEU
177,202007,1,4.0,SYR
178,202006,1,4.0,ARG
179,202008,2,8.0,WST
180,201707,4,16.0,ESP
181,201706,13,57.599999999999994,SWE
182,201801,42,193.0,BEL
183,201612,5,23.6,LVA
184,201711,5,24.8,CHL
185,201711,11,44.0,BEL
186,201703,15,61.2,ESP
187,201705,6,27.6,CAN
188,201502,27,120.80000000000001,POL
189,201701,2,8.0,NOR
190,201706,12,48.0,MKD
191,201810,2,8.0,LKA
192,201904,3,12.0,CHE
193,201904,95,406.9,POL
194,201710,1,4.0,JOR
195,201812,17,68.0,NLD
196,201610,11,46.4,TUR
197,201610,8,32.0,LVA
198,201810,6,24.0,LUX
199,201811,2,8.0,BGD
200,201601,5,21.0,CHN
201,201909,120,508.79999999999995,POL
202,201909,3,15.600000000000001,EST
203,201601,15,60.0,CZE
204,201812,1,4.0,IND
205,201907,31,128.8,DEU
206,201911,4,16.0,BEL
207,201606,74,297.2,USA
208,201606,22,88.0,BEL
209,201901,11,44.0,BRA
210,201612,3,12.0,PER
211,201908,11,46.4,HUN
212,202010,2,8.0,IDN
213,201810,2,9.2,BRA
214,202012,7,28.0,RUS
215,201512,2,8.0,MLT
216,201608,1,4.0,BEL
217,201806,6,24.0,PAN
218,201707,2,8.0,AFG
219,201806,7,34.0,NLD
220,201907,3,12.0,BLR
221,201910,1,5.2,TGO
222,201808,7,28.0,FRA
223,201808,5,20.0,EST
224,201710,2,8.0,PSE
225,202012,1,4.0,EGY
226,201801,1,4.0,MEX
227,202012,1,4.0,ALB
228,201904,4,25.0,ESP
229,202010,2,8.0,PAK
230,201903,3,12.0,CHE
231,201912,2,10.4,BHS
232,201909,2,8.0,GRC
233,202005,18,77.4,UKR
234,201907,94,410.2,USA
235,202007,3,12.0,ALB
236,201704,63,265.79999999999995,RUS
237,201704,13,54.5,BGR
238,201608,136,582.4000000000001,POL
239,201608,119,480.1,UKR
240,201706,16,70.6,ITA
241,201803,3,12.0,NLD
242,201511,110,453.4,EUR
243,201604,127,531.0999999999999,POL
244,201506,47,188.0,BGR
245,201605,40,160.0,GRC
246,201511,6,24.0,SRB
247,201609,56,224.0,CZE
248,201708,14,60.8,LTU
249,201707,2,8.0,AUT
250,201604,8,50.0,AFR
251,201612,27,108.0,ALB
252,201707,5,20.0,LBY
253,201902,33,132.0,SVK
254,201601,8,32.0,LTU
255,201710,4,16.0,AUS
256,201607,211,938.5999999999999,UKR
257,201607,1,4.0,ISL
258,201607,7,28.0,SWE
259,201905,13,52.0,GBR
260,201801,78,312.0,ISR
261,201606,30,120.0,MKD
262,201507,2,8.0,CHN
263,201901,32,128.0,FRA
264,201508,1,4.0,BLZ
265,201505,1,4.0,CUB
266,201906,2,8.0,SWE
267,201509,2,8.0,MNG
268,201911,110,468.20000000000005,USA
269,201505,2,8.0,NPL
270,201612,1,4.0,CHL
271,201510,1,4.0,DOM
272,201904,4,16.0,PAK
273,201908,7,28.0,BLR
274,201905,4,17.2,IRL
275,201905,1,4.0,ESP
276,201608,7,28.0,PAN
277,201902,21,109.2,CHN
278,201502,1,4.0,LBN
279,201508,1,4.0,COL
280,201701,1,4.0,HRV
281,201607,3,12.0,ALB
282,201707,1,4.0,MDA
283,201907,2,8.0,BHR
284,202011,1,4.0,GBR
285,202006,6,25.2,BLR
286,202007,3,12.0,FRA
287,201611,3,12.0,IRL
288,201803,111,484.0,UKR
289,201604,10,41.2,HUN
290,201508,169,679.2,UKR
291,201512,84,338.2,GBR
292,201802,1,4.0,NPL
293,201703,313,1275.8,GBR
294,201610,2,8.0,IRQ
295,201705,1,4.0,BRA
296,201602,42,168.0,SVK
297,201505,28,118.0,FRA
298,201509,1,4.0,LBY
299,201609,7,28.0,SEN
300,201609,100,412.0,UKR
301,201608,13,53.2,TUR
302,201512,4,16.0,NLD
303,201902,4,16.0,LKA
304,201503,3,12.0,BGR
305,201612,1,4.0,LUX
306,201512,5,20.0,TUR
307,201702,1,4.0,GIN
308,201909,4,16.0,NZL
309,201709,1,4.0,THA
310,201903,3,12.0,ISL
311,201607,5,20.0,IDN
312,201705,4,20.8,AFR
313,201705,8,32.0,KAZ
314,201611,3,12.0,URY
315,201806,43,175.9,UKR
316,201803,2,9.0,AFG
317,202010,4,16.0,GRC
318,201811,2,8.0,RWA
319,201902,5,20.0,OMN
320,201707,2,8.0,RWA
321,201706,2,8.0,UGA
322,201910,5,20.0,LVA
323,201908,1,4.0,CUB
324,202003,1,4.0,VEN
325,201811,2,8.0,SVK
326,201606,2,9.2,HRV
327,201504,2,10.4,SGP
328,201902,1,4.0,SYR
329,202003,1,4.0,COD
330,201708,1,4.0,AZE
331,202003,53,234.70000000000002,POL
332,202004,454,1965.1999999999998,
333,201906,52,239.20000000000005,RUS
334,202009,3,12.0,CAN
335,201702,1,4.0,AUS
336,201608,991,4201.299999999999,
337,201608,13,52.0,WST
338,201805,7,30.0,LVA
339,201709,4,17.2,ESP
340,201612,20,82.4,RUS
341,201610,44,179.4,UKR
342,201712,937,3986.6999999999994,
343,201602,25,100.0,BLR
344,201708,43,181.0,DEU
345,201710,122,506.4,UKR
346,201711,17,68.0,HUN
347,201610,3,12.0,IRL
348,201604,5,22.4,ISR
349,201801,3,15.600000000000001,PRT
350,201504,22,88.0,NLD
351,201703,23,106.39999999999999,EGY
352,201509,6,24.0,ETH
353,201801,7,28.0,CAN
354,201601,4,16.0,BRA
355,201810,14,56.0,MDA
356,201707,12,48.0,LUX
357,201707,3,12.0,TUR
358,201902,25,100.0,BLR
359,201509,16,64.0,TUR
360,201811,28,113.2,DNK
361,201509,2,8.0,DNK
362,201705,1,4.0,MKD
363,201909,4,16.0,PAK
364,201508,8,32.0,WST
365,201705,7,28.0,TUN
366,201812,3,15.0,CHN
367,201711,1,4.0,CMR
368,201907,12,48.0,MDA
369,201901,11,44.0,AFR
370,201905,29,120.80000000000001,RUS
371,202010,2,8.0,ESP
372,201802,2,8.0,VNM
373,201903,1,4.5,CIV
374,201911,4,16.0,FRA
375,201906,5,20.0,PRT
376,201809,2,8.0,ECU
377,201809,4,16.0,TJK
378,201702,3,12.0,SWE
379,201708,3,15.600000000000001,MEX
380,201512,1,4.0,AUS
381,201511,1,4.0,LBN
382,201904,3,12.0,SAU
383,201809,6,24.0,CAN
384,201809,5,20.0,BLR
385,201906,2,8.0,COL
386,201605,1,4.0,ARG
387,201809,1,4.0,SGP
388,201607,2,8.0,DOM
389,202002,1,4.0,GRC
390,201506,2,10.4,PSE
391,201505,2,8.0,MUS
392,201912,4,16.0,IND
393,201703,3,12.0,KOR
394,202006,22,95.0,SVK
395,202007,4,16.0,CAN
396,202008,126,523.8,USA
397,201608,48,192.5,FRA
398,201608,1,4.0,PAK
399,201707,2,8.0,PAN
400,201801,12,48.0,LUX
401,201603,99,404.2,TUR
402,201511,14,56.0,BEL
403,201504,1,4.0,TUN
404,201706,8,35.599999999999994,AZE
405,201707,2,8.0,CHE
406,201702,2,10.4,AZE
407,201812,8,32.0,AUS
408,201512,4,20.8,AFG
409,201503,2,8.0,ECU
410,201908,4,16.0,CHE
411,201908,3,12.0,TUR
412,201707,14,56.5,WST
413,201607,13,52.0,BLR
414,201606,138,559.2,EUR
415,201711,1,4.0,SEA
416,201912,3,12.0,LVA
417,202001,28,114.4,EUR
418,201811,2,8.0,NMR
419,201909,1,4.0,BTN
420,202010,6,24.0,GBR
421,202010,14,56.0,BLR
422,201810,9,36.0,IRL
423,201609,4,16.0,PRT
424,202001,56,235.4,DEU
425,202001,23,97.4,FRA
426,201808,13,61.6,CHN
427,201505,1,4.0,KOR
428,201605,4,18.4,CHE
429,201612,1,4.0,AGO
430,201510,1,4.0,VAT
431,201503,2,8.0,KAZ
432,201911,9,36.0,ISR
433,201901,11,44.0,SYR
434,201812,16,64.0,IRN
435,201907,11,44.0,ARM
436,201607,2,8.0,CUB
437,201901,1,4.0,KWT
438,201801,2,9.2,KGZ
439,201606,2,8.0,MLT
440,201504,1,4.0,DZA
441,201905,1,4.0,MHL
442,201904,10,40.0,BEL
443,202012,2,8.0,TUR
444,201701,9,43.2,HUN
445,201903,2,10.4,ARG
446,202004,17,68.0,UKR
447,202007,4,16.0,WST
448,202008,11,44.0,BEL
449,201711,6,27.6,EGY
450,201704,8,32.0,AUS
