,MonthYear,Count,SumGoldsteinScale,Actor2CountryCode
0,202005,182,741.6999999999999,CHN
1,202005,3,12.0,ZMB
2,202006,13,53.2,MEX
3,201904,4820,20999.8,
4,202004,6,25.2,AZE
5,202004,4,16.0,SYC
6,202007,8,44.0,BGR
7,202008,23,92.0,ARE
8,202009,16,64.0,MNG
9,201704,148,644.2,EUR
10,201702,9,40.8,DZA
11,201702,324,1399.1000000000001,BLR
12,201702,28,118.0,LTU
13,201702,67,272.8,VEN
14,201608,10,41.2,CZE
15,201508,16,73.4,AFR
16,201706,38,157.5,ISR
17,201705,237,956.8,SAU
18,201708,2,8.0,GEO
19,201703,3,12.0,CAS
20,201609,23,92.0,PER
21,201701,7,30.4,IRL
22,201706,6,31.2,BGD
23,201705,63,299.8,AFG
24,201612,2,8.0,SYC
25,201604,11,44.0,CUB
26,201701,11,45.2,GRC
27,201805,282,1181.1999999999998,ISR
28,201711,5,20.0,NZL
29,201711,97,418.79999999999995,EUR
30,201711,13,60.4,DJI
31,201702,6,24.0,ISL
32,201801,2,8.0,AGO
33,201508,527,2214.500000000001,SYR
34,201712,3,12.0,MUS
35,201804,78,329.29999999999995,BLR
36,201607,49,207.7,JPN
37,201804,10,41.2,FIN
38,201604,736,3202.9999999999995,ARM
39,201605,223,957.3000000000002,IRN
40,201510,187,774.0000000000001,GBR
41,201509,141,614.4,IRQ
42,201505,72,302.4,KAZ
43,201702,10,42.0,THA
44,201605,9,37.2,EST
45,201507,46,203.79999999999998,KGZ
46,201805,1,4.0,SEN
47,201611,2,8.0,SOM
48,201601,2,8.0,MYS
49,201511,16,76.0,GRC
50,201510,12,49.2,ARG
51,201602,29,119.60000000000001,BHR
52,201805,7,46.0,ALB
53,201505,22,103.00000000000001,ISR
54,201502,13,53.2,ITA
55,201604,11,47.599999999999994,IDN
56,201610,1,4.0,ISL
57,201604,16,64.0,SEA
58,201606,265,1108.1999999999998,IRN
59,201606,62,254.0,EGY
60,201503,2,8.0,GAB
61,201809,16,70.0,ITA
62,201901,129,524.3999999999999,BLR
63,201607,4,16.0,KEN
64,201809,33,132.0,HUN
65,201506,3,12.0,IRL
66,201506,1,5.2,MMR
67,201905,3,12.0,LTU
68,201908,72,289.2,AUT
69,201908,4,16.0,CAN
70,201906,208,847.5,SAU
71,201810,5,26.0,QAT
72,202003,2,8.0,KOR
73,202002,14,56.0,OMN
74,202002,20,81.2,ITA
75,201901,2,8.0,LAO
76,202002,17,77.00000000000001,NLD
77,201812,56,224.0,QAT
78,201812,50,200.0,CAN
79,201506,1,4.0,MLI
80,201911,18,72.0,GRC
81,201912,56,226.4,JPN
82,202011,197,817.9,USA
83,202011,1,4.0,PRT
84,202011,2,8.0,POL
85,202001,8,36.8,VNM
86,201912,6,24.0,BEL
87,202012,1,4.0,SOM
88,202012,7,28.0,MOZ
89,201808,1,5.2,CMR
90,201606,9,36.0,TJK
91,202002,1,4.0,ALB
92,201902,4,18.4,SLE
93,202010,5,22.4,EGY
94,201912,4,16.0,CYP
95,202010,1,5.2,KEN
96,201910,6,24.0,BWA
97,201912,1,4.0,BOL
98,202003,42,172.2,GBR
99,202004,407,1729.9999999999995,USA
100,202004,3,12.0,UZB
101,201905,28,116.0,EST
102,202005,2,8.0,BEL
103,202007,86,351.2,GBR
104,202006,119,481.99999999999994,SRB
105,202006,31,131.8,ARM
106,202006,17,83.5,VEN
107,202008,843,3603.0999999999995,RUS
108,202008,16,77.2,AFR
109,202008,2,9.2,KOR
110,202008,6,24.0,CAN
111,202008,1,4.0,MDV
112,201704,34,139.9,JOR
113,201704,14,57.0,NGA
114,201611,7,29.2,IND
115,201702,161,669.6999999999998,HUN
116,201704,3,12.0,ISL
117,201608,32,137.0,KOR
118,201610,3,15.600000000000001,CMR
119,201704,1,4.0,MCO
120,201610,18,75.0,TKM
121,201609,2,8.0,GEO
122,201510,1333,5583.799999999996,USA
123,201611,9,36.0,ECU
124,201612,1,4.0,SEN
125,201712,83,332.0,AUT
126,201801,15,75.0,NOR
127,201801,15,61.2,GRC
128,201801,21,84.0,ARE
129,201805,12,48.0,SWE
130,201710,183,770.4,FRA
131,201701,3,12.0,MDV
132,201709,1,4.0,SEN
133,201711,4,16.0,MDV
134,201804,8,34.4,LBY
135,201701,12,48.0,NGA
136,201505,63,268.79999999999995,EGY
137,201604,892,4056.999999999997,SYR
138,201505,157,727.3000000000001,IRQ
139,201502,2,8.0,CMR
140,201504,105,421.2,CHE
141,201503,93,395.4,PRK
142,201605,65,265.0,QAT
143,201707,1,4.0,MCO
144,201510,76,313.5999999999999,AZE
145,201710,8,34.4,AFR
146,201509,35,142.4,PRK
147,201506,1,4.0,NGA
148,201602,18,114.0,DZA
149,201509,7,32.8,ARG
150,201604,16,64.0,TZA
151,201502,29,125.60000000000001,PRK
152,201505,2,8.0,NGA
153,201801,1,5.2,COG
154,201507,2,10.4,SLV
155,201512,14,56.0,VEN
156,201604,7,30.4,ZWE
157,201502,3,15.600000000000001,ECU
158,201602,6,25.2,DOM
159,201504,16,73.60000000000001,IRQ
160,201505,2,8.0,IRL
161,201601,2,10.4,ZAF
162,201608,2,8.0,MAR
163,201602,1,4.0,NMR
164,201811,1472,6230.6,RUS
165,201502,8,33.5,SRB
166,201506,6,24.0,CAS
167,201808,643,2659.1000000000004,IRN
168,201506,2,8.0,MEX
169,201607,8,33.2,MEX
170,201603,4,17.2,AGO
171,201806,193,787.9,AUT
172,201905,64,271.6,AZE
173,201903,3,13.5,KEN
174,201807,2,10.4,MDG
175,201906,151,631.8,DEU
176,201906,12,48.0,MEX
177,201808,4,18.4,ERI
178,201909,7,28.0,THA
179,201902,5,20.0,ARE
180,201908,4,16.0,MYS
181,201908,5,20.0,PRT
182,201906,8,34.0,PSE
183,202002,21,87.6,SRB
184,202002,2,8.0,ARG
185,201910,2,8.0,EST
186,201506,1,4.0,TWN
187,201809,11,45.2,SUR
188,202012,182,772.1,UKR
189,201809,4,16.0,ALB
190,201903,3,12.0,BGD
191,201503,1,4.0,NAM
192,201504,1,5.2,LKA
193,202012,3,14.4,CYP
194,201808,7,34.0,BFA
195,201903,6,24.0,JOR
196,201906,30,123.6,EGY
197,201907,3,15.600000000000001,UGA
198,202002,2,8.0,MNG
199,201912,20,80.0,LKA
200,202005,16,76.0,EGY
201,202004,424,1743.3999999999999,SAU
202,202005,1,4.0,OMN
203,202009,62,260.0,SRB
204,202009,35,142.4,GBR
205,202009,7,31.6,COL
206,202002,392,1684.9999999999998,USA
207,201704,2716,11509.999999999989,SYR
208,201704,4,16.0,ALB
209,201611,30,127.8,AFG
210,201611,173,719.9000000000001,GBR
211,201611,12,54.0,NLD
212,201702,2,8.0,MLT
213,201702,23,99.80000000000001,IND
214,201702,13,54.4,BOL
215,201702,23,93.2,KOR
216,201704,1,4.5,UGA
217,201604,4795,20842.20000000002,
218,201611,25,103.0,THA
219,201707,3,12.0,PRT
220,201611,6,24.0,SGP
221,201608,19,78.9,BRA
222,201706,21,85.2,BGR
223,201706,15,60.0,CAN
224,201610,17,74.0,KOR
225,201610,1,4.0,MKD
226,201708,3,12.0,NZL
227,201510,1600,6754.799999999986,RUS
228,201612,74,321.0,AZE
229,201612,806,3373.5000000000014,JPN
