,MonthYear,Count,SumNumMentions,Actor2CountryCode
0,202003,14,81,CHE
1,202005,342,1469,FRA
2,201905,383,1530,USA
3,202005,22,188,MLT
4,202005,3,8,DZA
5,202006,11,59,PAK
6,202007,2,6,PAK
7,202008,50,347,UKR
8,202008,1,10,DZA
9,202009,4,10,GHA
10,201702,7,22,EST
11,201608,24,77,AUS
12,201612,124,683,BEL
13,201702,17,86,CZE
14,201708,6,35,NER
15,201708,5,10,SRB
16,201610,46,226,ESP
17,201709,4,20,HRV
18,201805,1082,3999,FRA
19,201805,47,183,CAN
20,201801,197,803,USA
21,201707,10,59,CRI
22,201512,146,557,RUS
23,201711,27,206,IRQ
24,201804,9,11,PGS
25,201512,1,7,FJI
26,201503,218,960,EUR
27,201705,1,5,ARM
28,201705,32,185,AUT
29,201505,13,65,IND
30,201512,27,139,ESP
31,201612,2,10,BGD
32,201604,79,344,BEL
33,201503,174,848,ESP
34,201712,14,62,AUS
35,201712,3,11,NOR
36,201601,72,384,UKR
37,201604,31,139,WST
38,201802,3,8,QAT
39,201601,41,166,BLR
40,201703,1,10,TZA
41,201807,101,344,ESP
42,201505,7,60,BRA
43,201710,2,3,TCD
44,201811,11,35,AUT
45,201507,11,26,MKD
46,201605,12,66,IND
47,201806,23,100,CHE
48,201911,12,52,ARG
49,201910,25,159,ESP
50,201602,2,8,CYP
51,201905,6,19,SAU
52,201504,5,24,NZL
53,201809,22,105,IRL
54,201910,1,5,TJK
55,201901,8,44,AUS
56,201912,7,28,SWE
57,202012,9,43,CHE
58,201904,12,42,LUX
59,201807,4,15,CMR
60,201503,6,18,BHR
61,201808,51,236,ISR
62,201908,3,19,LBN
63,201807,4,12,CYP
64,201904,4,7,UGA
65,201809,2,2,NAM
66,201903,5,30,PRK
67,201507,3,5,UGA
68,201810,7,12,VNM
69,201810,7,20,LTU
70,201505,1,10,NIC
71,201906,337,1181,IRN
72,201906,3,18,DZA
73,201504,1,2,BGD
74,201604,2,10,LKA
75,201908,7,24,NGA
76,202011,5,20,KGZ
77,201902,2,10,NZL
78,201808,4,40,NER
79,202001,4,42,MDV
80,201806,2,8,MYS
81,201905,1,10,LVA
82,201904,3,20,GHA
83,201812,3,14,WST
84,201908,1,7,TUN
85,201812,4,8,ZMB
86,201903,3,15,NPL
87,202004,21,106,LUX
88,202006,42,215,TUR
89,202005,1,4,GUY
90,202005,6,15,LBN
91,202008,2,5,SYR
92,201611,850,3639,DEU
93,201704,36,118,IRL
94,201607,70,395,ITA
95,201702,4,8,RWA
96,201510,235,1119,UKR
97,201612,301,1488,USA
98,201610,4,14,PHL
99,201612,32,207,NLD
100,201705,29,148,JOR
101,201705,3,14,GHA
102,201703,2,10,RWA
103,201802,2835,18847,
104,201709,3,23,AZE
105,201609,10,36,KEN
106,201803,47,170,BEL
107,201805,718,2813,RUS
108,201805,13,68,SGP
109,201612,4,21,KHM
110,201712,239,1126,FRA
111,201703,4,15,SVK
112,201709,6,44,DZA
113,201507,49,187,TUR
114,201608,5,24,LBY
115,201504,673,2777,RUS
116,201511,16,62,IDN
117,201710,9,33,LTU
118,201711,2,20,YEM
119,201503,3,6,IRL
120,201510,42,149,BLR
121,201503,38,236,NLD
122,201710,2,10,ISL
123,201711,3,9,KOR
124,201703,3,8,PAK
125,201604,10,60,BRA
126,201602,23,115,MEX
127,201802,4,30,AIA
128,201511,22,96,SWE
129,201604,10,31,IRL
130,201502,3,10,PAK
131,201709,7,12,VNM
132,201807,6,14,NGA
133,201807,8,50,SRB
134,201504,7,24,ZMB
135,201512,45,199,ITA
136,201507,6,34,URY
137,201603,4,12,ECU
138,201503,6,38,TUN
139,201604,13,48,KOR
140,201604,3,10,HND
141,201509,6,18,SVK
142,201509,4,9,ISL
143,201907,11,89,AFR
144,201907,68,250,ITA
145,201603,10,56,LKA
146,201807,2,2,LVA
147,201807,4,20,LTU
148,201911,16,99,ALB
149,201712,2,7,BGD
150,201907,4,30,MLT
151,201601,3,10,IDN
152,201903,9,58,CAN
153,201901,37,151,ESP
154,201912,3,8,LUX
155,201711,3,12,LBY
156,201502,4,12,HUN
157,201504,3,20,AFG
158,201808,66,254,NGA
159,201908,7,35,SGP
160,201502,3,10,OMN
161,201603,1,2,TKM
162,201511,2,4,TZA
163,202011,6,43,CZE
164,202011,4,21,SEA
165,201806,36,168,LUX
166,201909,11,52,MYS
167,202001,19,111,AUS
168,201911,11,35,CIV
169,201906,8,26,KWT
170,201808,38,137,MAR
171,201810,10,35,DNK
172,202012,3,12,ISR
173,201906,2,5,NGA
174,201502,1,10,ARM
175,201804,3,13,PER
176,202012,5,20,WST
177,201906,5,22,VNM
178,202010,5,28,AFR
179,201910,1,8,NIC
180,202010,1,3,MKD
181,201811,1,5,KEN
182,201806,3,16,BGD
183,202004,123,509,USA
184,202003,111,412,GBR
185,202004,18,90,ISL
186,202005,46,215,BEL
187,202007,99,423,GBR
188,202006,5,15,ARM
189,202006,1,12,VEN
190,202008,12,41,KOR
191,202006,2,4,BDI
192,202006,2,10,SRB
193,202008,239,914,RUS
194,202008,6,46,AFR
195,202008,18,79,CAN
196,201702,18,77,HUN
197,201608,24,84,KOR
198,201704,20,174,MCO
199,201704,5,12,NGA
200,201701,8,41,NGA
201,201706,2,10,CRI
202,201704,1,4,LIE
203,201610,4,40,CMR
204,201708,1,5,SSD
205,201609,8,60,ALB
206,201612,3,20,ZWE
207,201510,477,2565,USA
208,201801,13,22,ARE
209,201805,7,24,SWE
210,201709,2,2,ZWE
211,201709,9,43,TUN
212,201801,37,170,GRC
213,201610,5,7,TKM
214,201710,419,1702,FRA
