,MonthYear,Count,SumNumMentions,Actor2CountryCode
0,202008,13,38,HUN
1,202009,8,28,SVK
2,201704,6,22,LTU
3,201703,41,190,RUS
4,201801,4,50,MDA
5,201710,963,6876,
6,201710,3,5,TWN
7,201802,10,40,CZE
8,201802,2,20,DOM
9,201502,10,66,EUR
10,201508,39,198,EST
11,201509,10,45,ISR
12,201804,1,8,JPN
13,201609,17,79,BGR
14,201707,56,220,HRV
15,201605,14,70,FRA
16,201711,1,10,NOR
17,201908,6,17,TWN
18,201707,4,50,DNK
19,201609,3,36,IND
20,201808,105,497,USA
21,201801,4,16,MWI
22,201910,707,5107,
23,201907,2,7,NLD
24,201612,6,44,NZL
25,201908,3,7,OMN
26,201608,2,6,LKA
27,201906,2,10,BHR
28,201907,1,2,AUT
29,201712,39,145,RUS
30,201812,34,133,DNK
31,201909,5,19,CZE
32,201705,19,85,TUR
33,201712,2,2,PHL
34,201901,2,4,MDA
35,202003,2,10,HRV
36,201908,4,21,SVK
37,202002,2,2,MKD
38,201605,5,22,ITA
39,202003,3,10,COL
40,202002,2,2,BGD
41,201902,1,2,UGA
42,201910,1,10,BGR
43,201811,14,51,IDN
44,202012,1,10,MDA
45,201606,4,16,PHL
46,201710,3,14,SWE
47,201704,1,20,CUB
48,201608,2,4,HRV
49,201608,25,148,ITA
50,201711,87,417,USA
51,201610,10,80,JPN
52,201805,1,4,MCO
53,201512,88,443,POL
54,201604,40,247,EUR
55,201612,6,32,ITA
56,201603,99,437,USA
57,201711,8,23,DNK
58,201805,3,10,IND
59,201608,11,22,ISR
60,201603,42,302,WST
61,201510,5,20,AUT
62,201502,2,10,MEX
63,201509,3,7,AFG
64,201504,9,26,ITA
65,201908,1,6,ALB
66,201711,25,80,VNM
67,201507,8,28,BGR
68,201609,4,16,EGY
69,201607,2154,14220,
70,202012,9,54,IRQ
71,201706,3,16,LTU
72,201604,2,10,AGO
73,201506,1,2,NMR
74,201903,13,99,SAU
75,201505,2,12,AZE
76,201804,10,66,IRN
77,201912,3,20,CHE
78,201909,9,9,KEN
79,201508,2,10,NOR
80,201805,2,20,NMR
81,201906,35,130,CZE
82,201809,3,6,ISR
83,202001,6,20,SWE
84,201710,3,8,MEX
85,201908,6,30,QAT
86,201909,3,20,QAT
87,201805,2,10,UZB
88,201802,3,30,CHE
89,201903,1,5,CHN
90,202004,2,20,BLR
91,201605,1,8,EGY
92,201607,7,25,BRA
93,201804,1,4,VEN
94,201905,5,12,AUS
95,201502,1,10,AZE
96,202009,2,20,GBR
97,202002,54,210,USA
98,201611,159,716,GBR
99,201704,13,42,SYR
100,201610,8,27,KOR
101,201711,2,13,LUX
102,201702,7,56,DNK
103,201804,11,106,LUX
104,201604,982,7242,
105,201706,7,28,CAN
106,201510,32,201,RUS
107,201611,1,7,AFG
108,201805,1,10,ECU
109,201803,6,12,AZE
110,201603,30,123,CZE
111,201602,15,67,BEL
112,201603,13,81,BEL
113,201702,3,10,KOR
114,201511,8,30,TUR
115,201510,7,20,TZA
116,201507,11,53,KOR
117,201505,2,10,DZA
118,201612,5,23,AZE
119,201708,2,20,NZL
120,201901,64,250,IRN
121,201803,7,21,ZWE
122,201803,2,10,CHE
123,202012,3,8,SVK
124,202012,2,6,NMR
125,201705,4,18,EGY
126,201705,4,8,VAT
127,201810,3,14,CAN
128,201807,1,2,CHE
129,201905,1,10,MCO
130,201609,2,21,SGP
131,202010,389,2812,
132,202010,27,154,EUR
133,201605,2,3,DNK
134,201709,1,3,IDN
135,201901,2,5,MCO
136,201902,1,4,ECU
137,201701,5,20,TWN
138,201610,1,10,MKD
139,201801,1,10,PSE
140,202005,1,10,COL
141,201712,1,6,CAN
142,201608,1,10,BRA
143,202005,18,72,UKR
144,201907,94,443,USA
145,202007,3,10,ALB
146,201704,13,303,BGR
147,201704,63,358,RUS
148,201608,136,483,POL
149,201608,119,617,UKR
150,201708,14,64,LTU
151,201706,16,90,ITA
152,201612,27,143,ALB
153,201604,127,468,POL
154,201506,47,257,BGR
155,201511,110,640,EUR
156,201803,3,13,NLD
157,201605,40,206,GRC
158,201511,6,42,SRB
159,201604,8,16,AFR
160,201601,8,28,LTU
161,201502,1,4,LBN
162,201609,56,260,CZE
163,201707,2,8,AUT
164,201510,1,10,DOM
165,201507,2,4,CHN
166,201901,32,118,FRA
167,201509,2,10,MNG
168,201707,5,14,LBY
169,201908,7,34,BLR
170,201911,110,593,USA
171,201701,1,2,HRV
172,201904,4,12,PAK
173,201710,4,10,AUS
174,201907,2,5,BHR
175,201902,33,126,SVK
176,201607,211,1019,UKR
177,201508,1,10,COL
178,201608,7,24,PAN
179,201905,13,72,GBR
180,202011,1,10,GBR
181,201505,1,8,CUB
182,201612,1,8,CHL
183,201906,2,4,SWE
184,201505,2,8,NPL
185,201607,7,34,SWE
186,201902,21,66,CHN
187,201606,30,342,MKD
188,201607,1,2,ISL
189,201801,78,289,ISR
190,201707,1,2,MDA
191,201905,4,15,IRL
192,201607,3,152,ALB
193,201905,1,6,ESP
194,201508,1,10,BLZ
195,202003,1,2,NOR
196,201907,101,299,POL
197,202009,2,10,CYP
198,201611,3,8,UZB
199,201703,14,67,CZE
200,201611,5,16,OMN
201,201707,178,602,RUS
202,201610,104,768,EUR
203,201709,103,388,POL
204,201710,32,152,GBR
205,201807,19,66,JPN
206,201805,10,65,TUR
207,201705,10,46,EST
208,201509,7,60,SYR
209,201810,15,49,CZE
210,201604,14,57,FRA
211,201811,1,2,IND
212,201611,1,4,CUB
213,201609,156,751,GBR
214,201511,6,16,COL
215,202002,3,12,TUR
216,201503,1,4,IND
217,201509,4,23,PSE
218,201601,1,10,ZWE
219,201901,40,293,EUR
220,201504,1,2,VAT
221,201807,8,28,BLR
222,201910,6,21,SVK
223,201901,9,12,MLT
224,201712,13,119,ITA
225,201503,3,9,KOR
226,201810,2,8,FIN
227,201509,1,10,JOR
228,201606,15,109,PRT
229,201609,7,29,ITA
230,202001,1,2,VAT
231,201804,4,10,LVA
232,201805,4,10,AGO
233,201808,2,18,BRA
234,201610,1,10,AFR
235,201712,1,10,ARG
236,201803,1,2,SAU
237,201912,2,5,CHL
238,202005,7,25,DNK
239,202007,523,3769,
240,202008,636,4123,
241,202009,5,17,ISR
242,201704,21,98,HUN
243,201610,15,58,IDN
244,201709,63,372,UKR
245,201506,26,62,FRA
246,201502,1,2,CAN
247,201604,48,437,UKR
248,201803,112,579,DEU
249,201807,27,107,WST
250,201803,13,44,BLR
251,201510,15,56,HRV
252,201508,15,80,RUS
253,201504,5,24,SVK
254,201612,4,20,CHE
255,201508,18,69,BGR
256,201610,16,101,CAN
257,202001,1,4,VEN
258,201507,8,52,IRN
259,201609,3,10,ECU
260,201704,2,12,ESP
261,201507,8,180,ECU
262,201507,1,1,JOR
263,201705,1,10,CYP
264,201502,5,11,LTU
265,201902,72,703,EUR
266,201911,1,10,TUR
267,201609,8,98,MDA
268,201604,2,16,PER
269,201902,21,99,FRA
270,201504,2,10,LIE
271,201607,197,980,WST
272,201607,6,24,IRL
273,201907,5,30,HRV
274,201808,11,36,CZE
275,201807,2,2,THA
276,201703,1,2,ISL
277,201809,2,6,RWA
278,201802,1,2,PSE
279,201902,2,10,HRV
280,201807,3,20,IRL
281,201603,1,10,CHL
282,201606,2,20,MEX
283,201707,2,10,COL
284,201507,1,2,AFG
285,201805,3,5,FIN
286,201808,1,10,AFR
287,201710,3,10,CZE
288,201903,1,20,TZA
289,201607,2,8,URY
290,201810,2,10,SVK
291,202004,9,18,HUN
292,202003,5,16,KOR
293,202005,3,20,CHN
294,202007,2,4,BGR
295,201704,61,360,EUR
296,201608,20,95,CZE
297,201702,15,64,BLR
298,201702,1,4,VEN
299,201711,76,716,EUR
300,201805,16,61,ISR
301,201702,6,14,ISL
302,201702,5,19,LTU
303,201711,5,20,NZL
304,201510,17,81,GBR
305,201701,4,12,IRL
306,201507,13,100,KGZ
307,201511,5,20,GRC
308,201706,11,48,ISR
309,201605,51,200,IRN
310,201508,7,60,SYR
311,201905,13,51,LTU
312,201904,675,4390,
313,201604,6,24,CUB
314,201605,22,80,EST
315,201912,5,22,BEL
316,201604,3,10,ARM
317,201505,2,11,TUN
318,201901,5,34,BLR
319,201506,1,6,IRL
320,201912,4,20,JPN
321,202002,3,20,NLD
322,201505,6,25,ISR
323,201809,51,273,HUN
324,201809,10,50,ITA
325,201702,1,10,DZA
326,202011,38,174,POL
327,202011,28,122,USA
328,201912,2,6,CYP
329,201604,3,12,IDN
330,201805,4,14,ALB
331,201902,3,5,SLE
332,201908,1,2,CAN
333,201606,8,40,IRN
334,201607,6,21,KEN
335,201609,1,10,PER
336,201804,1,20,FIN
337,201801,1,8,AGO
338,201606,1,10,EGY
339,201607,1,10,JPN
340,201712,5,7,ALB
341,201510,1,10,ARG
342,201906,4,4,SAU
343,201911,1,4,GRC
344,201810,3,4,PAN
345,201812,1,2,CAN
346,202007,21,94,LTU
347,201702,20,131,NLD
348,201702,9,45,MDA
349,201702,26,176,WST
350,201708,12,60,DNK
351,201708,66,246,USA
352,201611,3,10,ARG
353,201802,10,47,BEL
354,201802,8,45,LUX
355,201503,10,30,BLR
356,201705,47,279,DEU
357,201706,31,125,GBR
358,201511,6,18,BLR
359,201603,5,18,HRV
360,201807,680,4757,
361,201512,37,210,BGR
362,201509,109,585,UKR
363,201608,4,32,ESP
364,201511,20,51,LTU
365,201503,86,578,POL
366,201510,4,20,NZL
367,202001,43,215,USA
368,201512,5,18,SYR
369,201605,7,46,VAT
370,201810,41,174,RUS
371,201804,9,58,DNK
372,201609,56,239,DEU
373,201604,2,4,VEN
374,201912,67,241,POL
375,201707,30,106,JPN
376,201506,9,57,LTU
377,201701,3,10,AUS
378,201601,6,37,ARG
379,201506,1,10,JOR
380,201503,4,24,SVK
381,201808,3,24,ITA
382,201911,4,30,MMR
383,201701,3,8,AUT
384,201503,2,10,JPN
385,201506,3,45,LUX
386,201809,4,25,WST
387,201903,14,72,WST
388,201907,2,6,ZWE
389,201911,4,30,SWE
390,201902,14,48,PSE
391,201504,1,4,KAZ
392,201712,10,54,ISR
393,202003,5,20,CZE
394,202002,1,10,IRQ
395,201705,4,20,PAK
396,201606,58,285,UKR
397,202005,1,10,BGR
398,202003,1,10,JOR
399,201804,2,4,ZMB
