,MonthYear,Count,SumNumMentions,Actor2CountryCode
0,202004,4,18,SYC
1,202004,6,19,AZE
2,201904,4820,30015,
3,202005,182,935,CHN
4,202006,13,57,MEX
5,202005,3,10,ZMB
6,202007,8,26,BGR
7,202008,23,85,ARE
8,202009,16,69,MNG
9,201805,282,1040,ISR
10,201711,5,30,NZL
11,201711,97,602,EUR
12,201609,23,84,PER
13,201706,38,142,ISR
14,201508,527,1955,SYR
15,201604,736,2519,ARM
16,201509,141,593,IRQ
17,201507,46,189,KGZ
18,201701,11,72,GRC
19,201505,72,326,KAZ
20,201703,3,8,CAS
21,201510,187,830,GBR
22,201705,237,889,SAU
23,201705,63,248,AFG
24,201711,13,36,DJI
25,201605,223,1069,IRN
26,201510,12,33,ARG
27,201602,29,122,BHR
28,201511,16,86,GRC
29,201908,72,232,AUT
30,201702,324,1463,BLR
31,201702,6,42,ISL
32,201702,28,113,LTU
33,201702,10,33,THA
34,201702,9,40,DZA
35,201702,67,346,VEN
36,201704,148,702,EUR
37,201605,9,39,EST
38,201604,11,55,CUB
39,201810,5,15,QAT
40,201505,22,71,ISR
41,201712,3,30,MUS
42,201502,13,98,ITA
43,201805,1,10,SEN
44,201804,78,323,BLR
45,201901,129,512,BLR
46,201804,10,42,FIN
47,201604,11,62,IDN
48,201912,56,322,JPN
49,201604,16,109,SEA
50,201508,16,74,AFR
51,202002,14,60,OMN
52,202002,17,61,NLD
53,202002,20,93,ITA
54,201809,16,55,ITA
55,201809,33,235,HUN
56,201610,1,2,ISL
57,201910,6,25,BWA
58,201906,208,968,SAU
59,201506,1,8,MLI
60,201801,2,10,AGO
61,201901,2,10,LAO
62,201608,10,69,CZE
63,201706,6,20,BGD
64,201701,7,20,IRL
65,201911,18,124,GRC
66,202011,197,720,USA
67,202011,2,2,POL
68,201812,56,340,QAT
69,201812,50,129,CAN
70,202001,8,26,VNM
71,201601,2,4,MYS
72,201908,4,40,CAN
73,201905,3,20,LTU
74,201506,3,7,IRL
75,201805,7,26,ALB
76,201611,2,10,SOM
77,202002,1,8,ALB
78,201503,2,20,GAB
79,202011,1,2,PRT
80,202003,2,2,KOR
81,201607,49,213,JPN
82,201612,2,10,SYC
83,201808,1,10,CMR
84,201902,4,20,SLE
85,202010,5,19,EGY
86,202012,7,7,MOZ
87,201607,4,8,KEN
88,201606,265,1249,IRN
89,202012,1,2,SOM
90,201606,62,200,EGY
91,201912,4,10,CYP
92,201606,9,50,TJK
93,201708,2,2,GEO
94,201912,6,14,BEL
95,201506,1,2,MMR
96,202010,1,2,KEN
97,201912,1,8,BOL
98,202004,1,10,AUS
99,202004,125,562,CHN
100,202004,87,354,FRA
101,202003,1,2,PRK
102,201905,43,170,ARM
103,202005,2,2,ETH
104,202007,589,2545,RUS
105,202008,30,98,POL
106,202007,1,8,HND
107,201709,772,3498,CHN
108,201709,10,62,ITA
109,201709,75,414,VEN
110,201805,313,1606,UKR
111,201805,133,492,JOR
112,201711,38,139,BOL
113,201711,5,17,ALB
