Year,EventBaseCode,Count
2019,181,137908
2019,125,173909
2019,055,92304
2017,026,441118
2017,142,31302
2017,138,417108
2016,057,1618814
2017,151,22363
2018,100,1005719
2018,024,49740
2018,019,13716
2015,126,107
2020,071,993020
2020,030,1152062
2020,105,37414
2020,162,24136
2019,057,1168281
2017,027,52153
2016,195,276044
2017,137,2916
2015,033,340558
2015,022,119139
2018,087,472864
2015,106,4872
2020,172,937114
2020,183,18737
2020,134,7505
2019,185,6143
2016,087,530814
2017,044,108128
2016,018,215773
2016,144,20503
2016,106,5817
2015,019,12955
2015,114,485779
2018,090,2078072
2020,120,1366360
2019,087,432631
2019,025,145220
2017,172,1228926
2017,052,110315
2017,166,26286
2016,164,126461
2016,128,188823
2016,056,51786
2015,082,12754
2015,070,1011669
2018,124,120044
2018,054,84626
2018,136,841
2015,203,17296
2015,137,1763
2019,084,1301633
2020,---,17
2017,085,36917
2017,144,17756
2016,139,35743
2018,122,26578
2020,111,1143553
2019,080,930508
2019,018,134167
2017,152,26583
2016,040,7417232
2016,160,534022
2016,185,12412
2016,126,51
2020,031,254383
2020,072,193221
2020,123,6788
2020,044,54622
2017,036,4613236
2015,172,861026
2015,032,76833
2020,185,4871
2019,194,108177
2019,093,3577
2016,180,868030
2015,161,103856
2015,044,104065
2015,153,27265
2018,014,709047
2018,128,163157
2018,144,16520
2018,129,85210
2020,086,18939
2017,194,207174
2017,191,76907
2016,186,207484
2018,057,1358914
2018,127,38488
2015,064,33616
2020,203,9313
2019,114,480545
2019,051,4709364
2017,043,7177978
2017,046,3531567
2016,064,44090
2016,121,5393
2015,139,27706
2015,054,57075
2018,174,187623
2018,131,68713
2015,094,4271
2017,135,1
2020,021,115832
2020,202,8380
2019,060,1058864
2020,132,575
2017,031,450814
2016,042,8605435
2016,104,76135
2016,085,41534
2015,050,1017543
2018,150,111354
2018,039,11578
2015,028,18993
2015,184,618
2020,090,1437049
2020,011,132528
2020,037,36470
2019,175,71358
2019,035,197715
2019,056,32667
2016,070,1264149
2016,035,261154
2017,093,6360
2019,100,895125
2017,041,379191
2017,094,3910
2015,071,1271617
2020,128,133454
2020,028,12958
2020,143,44374
2017,112,2296337
2016,112,2443887
2017,201,1389
2016,054,70183
2015,182,428452
2018,060,1186620
2018,193,1270924
2018,092,3699
2015,144,15109
2020,025,136871
2020,082,12645
2019,192,352005
2019,115,67331
2019,166,18981
2017,011,199984
2016,161,172364
2016,044,125844
2015,180,585565
2015,120,1881629
2015,124,87500
2018,013,1432498
2019,173,2557611
2020,019,9468
2019,139,31440
2019,140,71999
2019,153,25178
2019,116,1681
2017,181,181345
2016,075,124277
2016,039,14016
2018,061,590774
2018,025,166742
2020,084,1081373
2019,014,612112
2020,171,157701
2019,011,167973
2017,171,277192
2017,034,8792
2016,151,20978
2015,170,41016
2018,046,3246937
2018,038,10160
2018,074,17713
2020,033,270669
2019,123,8579
2017,140,66845
2017,153,30721
2016,073,507895
2016,050,1234097
2016,053,35156
2015,160,393254
2015,145,71738
2020,022,92966
2019,127,36849
2019,121,3797
2017,023,334671
2016,100,1212072
2017,082,17653
2015,080,1015397
2016,094,6093
2017,---,41
2018,110,1577625
2018,043,6470187
2018,015,377538
2018,062,147512
2020,193,794470
2020,110,1093808
2020,091,19552
2017,160,497417
2017,018,180616
2016,036,4942492
2015,043,6188330
2015,017,428060
2015,164,88404
2018,130,1000047
2020,087,315873
2020,012,1197969
2020,113,20655
2019,111,1534069
2017,161,190037
2017,037,60067
2016,081,250172
2016,072,336684
2016,153,36576
2016,136,959
2015,025,141856
2018,138,332755
2018,072,233231
2018,094,3553
2020,190,2363747
2020,194,90688
2019,101,81988
2019,152,17704
2019,092,3371
2017,055,118262
2017,024,55662
2017,134,13998
2016,083,404069
2016,041,393326
2015,084,1307017
2015,011,163697
2015,101,76548
2018,182,473325
2020,041,214038
2020,062,101659
2020,053,21548
2019,128,154074
2017,084,1584888
2017,060,1304250
2017,164,114158
2017,105,49703
2016,170,51054
2015,107,1944
2018,166,21697
2018,184,598
2020,145,65613
2020,164,57256
2020,192,276874
2020,045,95942
2020,063,14137
2019,085,29368
2016,046,3750198
2017,039,14765
2016,038,15489
2015,035,185171
2015,127,35567
2019,141,688644
2016,023,392448
2015,081,202904
2018,044,106346
2018,151,12035
2018,181,163571
2020,161,92024
2020,074,13106
2020,034,4296
2019,053,27408
2016,030,1975246
2016,145,96115
2016,052,118485
2018,080,1076267
2018,051,5387233
2018,140,61189
2015,086,31881
2020,114,374501
2020,038,6790
2016,183,123310
2016,028,24005
2018,055,110442
2015,123,9849
2019,135,7
2020,175,67298
2019,028,19790
2017,063,29408
2017,056,37528
2016,113,39081
2016,103,4827
2018,105,60444
2018,070,1000240
2018,107,1453
2018,123,11027
2015,093,6000
2015,116,1571
2015,132,650
2019,033,279232
2017,193,1378161
2017,028,24434
2016,114,634932
2015,150,113889
2018,041,255110
2018,195,143178
2018,075,82521
2018,201,885
2020,046,2003558
2020,124,83019
2017,182,511917
2016,111,2159533
2016,194,208927
2016,143,68416
2016,055,131754
2015,110,1475917
2020,160,465745
2020,039,7138
2019,110,1402879
2020,135,4
2017,072,297859
2017,083,387746
2016,193,1699071
2015,040,5658633
2019,017,413026
2019,142,16261
2017,062,192778
2016,163,165878
2016,074,20598
2016,131,63395
2018,171,244144
2018,162,43552
2018,185,13099
2019,113,28051
2017,163,208783
2017,192,456958
2017,125,246714
2016,184,1544
2020,173,1662258
2020,115,54137
2020,014,555288
2019,103,3594
2017,180,766166
2018,191,63250
2018,045,136890
2018,106,4910
2015,151,13457
2020,166,14666
2019,143,57585
2019,094,3370
2017,080,1203725
2017,045,158332
2016,060,1447695
2016,063,32498
2018,133,23720
2018,037,60946
2018,137,2683
2020,141,609054
2020,051,3727150
2020,140,66200
2020,085,16029
2019,026,329320
2019,083,316512
2019,186,111936
2017,122,28595
2016,124,117370
2015,024,41220
2018,086,27116
2019,045,123473
2019,037,50086
2017,081,224973
2016,015,435147
2016,172,1120365
2016,190,5128057
2015,039,10284
2018,112,2153190
2018,154,134722
2018,196,6626
2018,093,5271
2015,135,5
2020,015,231095
2020,054,43747
2020,150,65313
2020,102,1421
2019,170,40369
2019,044,98621
2019,091,25003
2017,042,7889574
2017,154,160638
2017,195,190355
2016,051,6612713
2017,074,20642
2016,090,2445143
2016,016,303020
2018,102,1757
2019,190,3044652
2017,025,171169
2016,166,25265
2017,184,959
2015,074,16805
2016,116,1802
2015,100,930826
2015,131,45644
2015,121,4041
2018,143,61664
2015,027,42465
2017,165,35
2020,026,219751
2020,201,624
2019,164,94052
2016,093,5791
2015,053,26112
2018,083,340403
2018,071,1362228
2018,---,18
2019,180,589639
2019,145,66603
2017,061,587960
2017,086,32155
2017,115,76642
2016,014,885780
2016,034,9114
2015,154,143928
2015,130,862760
2015,062,167986
2015,195,253681
2018,172,927685
2018,021,169403
2018,183,47977
2017,126,145
2020,061,359356
2020,174,105420
2019,052,87811
2017,022,147155
2016,013,1736820
2017,143,66851
2016,021,191878
2016,140,72480
2015,141,611656
2016,203,21070
2015,090,1870903
2015,115,62826
2015,201,1145
2018,164,114999
2016,---,97
2015,---,7
2020,075,39874
2019,054,53187
2017,020,6368662
2016,115,85035
2016,175,80699
2015,140,49694
2019,027,36919
2019,082,16207
2020,184,160
2019,203,16452
2017,033,355006
2016,101,103831
2016,141,872274
2016,027,53413
2019,184,347
2019,150,89426
2019,137,2042
2017,073,440258
2015,186,150865
2015,045,131608
2015,163,120523
2015,162,31182
2015,091,27244
2016,X,1
2019,165,57
2019,072,203903
2019,131,49778
2019,050,898494
2019,138,264318
2019,086,23595
2017,174,186830
2017,133,27413
2016,011,201206
2016,132,1152
2015,018,151138
2020,018,118059
2020,107,732
2019,013,1263699
2019,154,121901
2019,134,11096
2017,050,1140208
2016,092,4840
2018,113,30717
2018,091,30966
2015,136,620
2020,180,386018
2020,122,22333
2019,071,1189996
2019,161,113376
2019,133,23367
2019,122,24334
2019,039,13133
2016,173,3384101
2017,021,194862
2017,129,120102
2017,091,34545
2016,196,13391
2015,111,1511526
2015,185,8004
2016,135,24
2020,081,173343
2020,186,96698
2020,101,67757
2019,021,159945
2017,100,1168781
2016,062,203139
2015,112,1791739
2020,144,13030
2020,151,9713
2019,183,43175
2019,201,843
2019,144,14936
2017,013,1574926
2017,202,21671
2015,020,5285969
2015,073,432495
2018,026,395355
2018,134,13072
2018,163,198295
2015,133,21248
2020,112,1312603
2019,042,6188450
2017,014,762927
2017,127,46350
2017,196,9110
2015,030,1617454
2018,104,67438
2018,017,465086
2018,082,17534
2018,034,7865
2015,103,3932
2020,100,815154
2019,031,358591
2019,191,55840
2019,105,50338
2017,110,1753025
2017,016,295282
2016,043,7815335
2017,102,1867
2015,014,660544
2015,015,349304
2018,023,304927
2018,173,2878182
2018,170,44661
2015,175,51512
2019,107,1050
2020,043,4444039
2020,181,93434
2020,040,3858576
2020,017,288746
2019,012,1354877
2019,202,14944
2019,064,37385
2017,032,88198
2017,186,178298
2017,113,39436
2016,025,182670
2016,037,74230
2015,142,26051
2015,104,57854
2018,050,1064514
2018,125,216508
2015,196,7390
2020,103,2235
2019,022,114596
2016,105,59289
2016,024,53287
2016,019,16603
2018,020,5733193
2018,035,220714
2018,085,35695
2015,113,30432
2020,042,4813038
2020,060,928086
2020,083,228323
2020,027,26474
2020,094,3491
2019,063,24663
2017,054,78380
2017,019,15938
2016,022,160280
2016,125,243723
2016,202,31097
2016,162,44185
2016,142,33716
2018,018,154992
2020,163,113181
2019,090,1791552
2020,064,23502
2019,124,107586
2019,171,209663
2019,174,139048
2017,030,1756648
2016,020,6931177
2017,092,4769
2015,057,1258344
2018,186,152981
2018,153,28134
2020,057,854452
2020,154,99950
2019,040,5453528
2017,150,149312
2017,075,96014
2016,181,237978
2016,086,34505
2015,060,1152080
2015,171,238599
2015,174,131021
2018,084,1443204
2019,130,866885
2019,062,132243
2019,074,14809
2017,145,85033
2017,131,67916
2018,011,189326
2018,202,19985
2015,122,29741
2016,165,30
2020,139,23871
2020,023,215051
2019,015,337590
2019,046,2840706
2019,129,85725
2017,120,2250171
2017,104,85036
2016,120,2449376
2017,064,46078
2015,181,177836
2015,143,52096
2015,105,46770
2018,175,63428
2015,034,8349
2020,130,760062
2020,010,5244360
2020,137,1173
2017,010,8057162
2017,035,228353
2016,171,316987
2015,083,291039
2015,166,18705
2018,016,279796
2015,063,21821
2019,126,148
2019,112,1852345
2020,170,28144
2019,106,4316
2017,103,4191
2016,192,548634
2015,087,374847
2015,061,507767
2015,026,360174
2015,055,94026
2018,141,727704
2018,040,6371201
2015,165,136
2020,055,69246
2020,153,22542
2019,172,860110
2019,104,59775
2019,034,7033
2019,132,703
2017,070,1141433
2017,124,118117
2017,175,71202
2016,091,36108
2016,191,82592
2016,123,12982
2015,125,183131
2015,038,11930
2015,152,25690
2020,131,41447
2019,081,193619
2019,136,817
2017,130,1139178
2016,033,397036
2016,082,20621
2015,194,137575
2020,056,24773
2019,120,1762097
2019,016,234829
2020,196,7554
2019,073,343440
2019,151,10912
2017,162,40208
2017,183,79940
2016,017,545799
2017,132,1078
2015,173,2571131
2015,193,1305074
2015,016,227829
2015,075,115018
2018,142,20989
2015,102,1685
2015,092,3986
2019,036,3524827
2019,163,167659
2017,053,32776
2017,012,1680735
2017,121,4069
2017,139,35323
2017,116,1997
2015,021,140157
2018,192,389476
2018,022,126472
2018,012,1481277
2018,194,139588
2018,063,29235
2020,073,371243
2020,092,3436
2020,104,43408
2019,061,511877
2019,102,1290
2017,090,2269610
2017,190,4261588
2016,010,8696590
2016,174,192492
2016,012,1844810
2018,160,426783
2018,027,42036
2018,121,4814
2019,---,14
2019,030,1403948
2019,041,216518
2020,136,656
2020,165,39
2016,045,166393
2016,122,32881
2015,138,329284
2018,056,37150
2018,103,3908
2020,013,1115757
2019,032,68072
2017,114,586411
2016,031,484078
2017,106,5249
2015,012,1417316
2018,032,79719
2018,116,1903
2020,035,185725
2020,036,2464207
2020,125,128730
2020,138,175459
2019,024,52288
2017,038,12507
2016,032,99201
2015,190,4044665
2015,023,319432
2015,046,2989464
2015,036,3832603
2018,180,694648
2018,073,391436
2018,115,74048
2018,161,152922
2018,135,3
2020,080,850436
2020,016,163920
2020,133,21710
2016,071,1601742
2015,051,4897631
2016,201,1400
2018,081,222319
2019,182,406101
2017,101,102639
2016,130,1155636
2016,127,50526
2015,031,378867
2016,107,2185
2015,183,89377
2015,037,66541
2015,056,36886
2015,085,33223
2018,120,2005212
2018,064,42620
2018,053,29973
2020,142,10172
2020,116,1156
2020,106,2654
2019,193,1087262
2019,070,868255
2019,196,7667
2017,173,3094566
2017,136,1039
2015,129,105296
2015,192,433965
2018,036,4218174
2018,042,7060013
2018,152,20756
2018,139,33935
2018,203,21969
2018,126,128
2020,070,824352
2020,195,71764
2019,075,71021
2019,038,9332
2017,141,797998
2016,154,168286
2016,150,143380
2016,080,1339874
2017,107,2415
2015,191,60316
2016,102,1854
2015,072,301836
2018,030,1648414
2018,145,72560
2015,041,290492
2020,050,704015
2020,093,3119
2017,015,401523
2016,134,13760
2015,134,10184
2015,202,27582
2018,033,316739
2018,031,414413
2020,020,4596758
2020,032,56350
2020,152,15733
2020,191,63776
2020,024,34431
2019,195,113747
2019,023,266109
2019,162,37578
2017,071,1502950
2016,061,628654
2017,123,13121
2016,133,30211
2018,010,7184681
2018,101,100129
2020,052,66789
2020,129,58895
2020,121,3081
2017,040,7054898
2017,057,1454611
2017,128,179116
2017,185,12706
2017,203,29495
2016,182,593102
2018,114,544185
2018,052,98337
2018,165,42
2019,160,406873
2017,111,2037396
2017,051,6052749
2017,017,501817
2017,087,472287
2016,026,454523
2016,129,130398
2015,013,1377304
2015,010,6714509
2015,052,90134
2015,128,140288
2018,111,1740437
2019,010,6321839
2020,182,261347
2020,127,24549
2019,020,5119797
2020,126,53
2020,X,4
2017,170,52121
2016,084,1776941
2016,138,452065
2016,152,33927
2016,137,1976
2018,132,593
2019,043,5727150
2019,019,12316
2016,110,1987216
2015,042,6750505
2018,190,3639637
2018,028,22527
