Year,EventRootCode,Count
2015,14,826344
2019,05,7069516
2020,17,2957935
2020,14,808443
2016,02,8443681
2015,--,7
2019,11,5366901
2016,05,9872988
2019,18,1295249
2017,16,1076924
2016,04,28273763
2020,20,18317
2019,09,1826873
2015,07,3149440
2015,08,3269062
2020,01,9057190
2019,06,1765032
2019,02,6243984
2017,12,3006500
2017,18,1731331
2017,04,26299668
2017,11,6791244
2018,07,3087369
2020,04,15483813
2020,X,4
2017,14,1065785
2019,20,32239
2017,06,2160474
2020,07,2434816
2017,01,13670910
2017,15,389617
2019,04,20648446
2016,14,1163504
2016,01,14881548
2019,16,838576
2018,18,1546199
2017,03,7588386
2017,02,7789886
2020,--,17
2018,11,6122105
2018,15,307001
2016,X,1
2015,16,756060
2020,06,1426740
2015,20,46023
2018,12,2671166
2018,01,12287957
2019,17,3878159
2018,19,5652679
2018,09,2121561
2019,13,1250453
2016,20,53567
2016,07,3855345
2018,16,958290
2020,11,4000413
2020,02,5451092
2018,08,3635402
2020,13,1032462
2019,10,1097476
2017,09,2319194
2018,13,1476362
2015,01,11502656
2020,03,4438090
2020,10,970775
2020,08,2696961
2018,06,1996761
2018,14,960626
2015,02,6469405
2018,17,4345723
2018,04,23646684
2018,02,7010395
2019,03,5911969
2017,13,1705970
2016,10,1466010
2018,--,18
2019,15,265121
2016,06,2356076
2015,18,1440717
2020,09,1466647
2018,03,6988722
2015,10,1124431
2017,10,1419881
2016,12,3231523
2017,--,41
2018,10,1245758
2015,04,22113097
2015,13,1299864
2020,16,767047
2017,19,6580253
2016,03,8272056
2016,16,1068205
2019,19,4769350
2018,05,8171189
2020,19,3668873
2015,17,3894305
2019,12,2357098
2017,17,4910837
2019,01,10852428
2018,20,42839
2020,12,1827262
2016,17,5145698
2020,15,213251
2015,11,5359790
2017,08,3960344
2016,15,403147
2016,09,2497975
2016,08,4398530
2016,--,97
2016,13,1754921
2015,19,6242666
2020,18,861265
2015,15,324229
2019,--,14
2019,14,916028
2016,18,2043860
2017,07,3499156
2017,05,9024829
2016,11,7351486
2020,05,5511720
2015,03,6528590
2015,06,1883270
2015,12,2477149
2019,07,2691424
2017,20,52555
2015,09,1912404
2015,05,7477751
2019,08,3244073
2016,19,7956716
