Year,EventBaseCode,Count
2020,086,302
2017,194,1382
2017,191,857
2016,186,3550
2018,057,11754
2018,127,462
2015,064,721
2019,125,2072
2019,055,2210
2017,138,4893
2017,026,5389
2016,057,13850
2017,151,418
2017,142,74
2018,100,16988
2018,024,1339
2018,019,232
2019,181,1576
2020,120,25390
2019,087,6065
2019,025,2308
2017,172,24243
2017,052,2287
2017,166,654
2016,128,2741
2016,164,1638
2016,056,484
2015,070,33247
2018,124,4203
2018,054,649
2015,082,177
2015,203,21
2015,137,5
2018,136,15
2020,042,108317
2020,060,21580
2020,083,4261
2020,027,229
2020,094,46
2017,054,367
2017,019,209
2016,022,3291
2016,125,3172
2016,142,127
2016,162,407
2016,202,616
2018,018,2975
2019,063,144
2020,128,1917
2020,143,361
2020,028,282
2017,112,53445
2016,112,58538
2017,201,30
2016,054,439
2015,182,6940
2018,193,44706
2018,060,24761
2018,092,38
2015,144,193
2020,172,19411
2020,183,154
2020,134,179
2017,044,1342
2016,087,7124
2016,018,4473
2016,144,338
2018,090,46121
2015,114,6523
2016,106,70
2015,019,162
2019,185,109
2019,084,24804
2017,085,476
2017,144,160
2016,139,483
2018,122,409
2019,030,20191
2019,041,2312
2020,136,12
2016,045,2130
2016,122,468
2015,138,3404
2018,056,436
2018,103,23
2020,190,53412
2020,194,796
2019,101,1353
2017,055,2689
2017,134,291
2017,024,1193
2016,083,7205
2015,084,24395
2016,041,4370
2018,182,8338
2015,011,4284
2015,101,995
2019,152,233
2019,092,46
2020,025,2556
2020,082,737
2019,192,4516
2019,115,4730
2019,166,619
2017,011,6960
2016,044,1692
2016,161,1840
2015,180,10399
2015,120,30726
2018,013,60758
2015,124,2632
2020,030,18914
2020,071,21907
2019,057,11402
2020,162,309
2020,105,509
2017,027,405
2015,022,1950
2015,033,4598
2016,195,1173
2018,087,7365
2017,137,19
2015,106,23
2020,151,164
2020,144,258
2017,013,67944
2017,202,375
2015,020,105280
2015,073,4932
2018,026,4714
2018,163,1928
2018,134,304
2015,133,337
2019,183,198
2019,144,155
2019,201,14
2020,081,5539
2020,186,2338
2020,101,1251
2017,100,21337
2016,062,2000
2015,112,39542
2019,021,4051
2019,033,4373
2017,193,45400
2017,028,544
2016,114,9607
2015,150,566
2018,195,628
2018,075,1161
2018,041,2635
2018,201,26
2020,053,605
2020,041,1900
2020,062,1085
2019,128,2131
2017,060,26184
2017,084,31162
2017,164,1431
2017,105,682
2016,170,430
2018,166,429
2015,107,3
2020,055,1776
2020,153,372
2019,172,18804
2019,132,27
2017,070,38644
2017,124,4780
2017,175,540
