Year,EventBaseCode,Count
2020,115,1840
2020,034,29
2016,129,6293
2016,166,843
2017,111,111798
2017,129,5366
2017,162,2327
2019,201,48
2020,180,11268
2020,070,33806
2016,046,186575
2016,037,2923
2017,075,9907
2018,042,411887
2019,185,217
2020,012,37619
2020,151,372
2019,161,10225
2016,011,5916
2016,062,10468
2018,190,151425
2018,084,54768
2018,133,601
2018,039,557
2015,127,1179
2020,020,134455
2020,071,26738
2019,051,201844
2019,115,2164
2016,030,109262
2016,171,7392
2016,022,5597
2015,186,6342
2017,114,14949
2017,134,886
2018,195,6377
2020,195,5709
2020,113,891
2016,193,59493
2016,123,371
2016,203,461
2015,120,62323
2016,113,1580
2015,110,57506
2017,072,14165
2017,081,7154
2018,144,184
2015,039,485
2020,035,6885
2020,138,9206
2019,110,57122
2016,057,75385
2016,141,24105
2015,062,7801
2018,012,61645
2018,028,782
2015,011,4142
2016,173,122932
2015,043,374338
2015,035,6759
2015,124,3381
2017,110,70171
2017,124,5364
2017,201,128
2018,011,6267
2018,191,1250
2019,151,371
2020,201,48
2019,195,5885
2019,044,7702
2016,111,112196
2016,192,19812
2016,202,1515
2015,057,63123
2017,012,73992
2015,015,12950
2017,130,66055
2015,091,515
2018,035,13055
2015,064,977
2016,---,1
2020,084,31789
2020,081,3664
2019,125,6781
2016,012,73017
2016,195,14401
2015,031,14624
2015,012,53786
2017,196,66
2016,116,26
2018,114,15588
2018,052,3851
2018,202,937
2018,041,11028
2019,191,1509
2020,036,92269
2020,141,20306
2019,150,4276
2019,086,2323
2016,064,1435
2016,162,1434
2015,075,9978
2016,093,186
2017,186,7074
2017,195,12281
2017,185,315
2018,100,41144
2018,123,404
2019,122,985
2019,190,132236
2020,170,1200
2016,180,21117
2015,060,48730
2017,194,20110
2016,143,1114
2017,131,5756
2018,186,6680
2015,123,321
2019,166,980
2016,132,38
2020,082,288
2020,145,1544
2015,138,12771
2015,073,11345
2017,030,94322
2015,181,6184
2018,203,558
2020,182,6848
2020,100,24698
2020,039,297
2015,033,13001
2016,153,814
2017,043,440588
2017,173,120231
2018,018,5790
2018,172,33077
2018,070,45595
2015,145,1747
2019,133,503
2019,083,5601
2019,072,10044
2019,054,3231
2016,071,47187
2015,130,34302
2016,185,396
2017,104,1955
2018,074,492
2019,123,216
2020,093,116
2020,028,286
2019,022,4650
2016,024,1591
2016,137,45
2017,040,351246
2015,025,5798
2018,032,3299
2015,027,1400
2020,032,2348
2020,037,1251
2016,070,53640
2016,174,13518
2015,013,92312
2016,038,465
2016,196,242
2018,045,7080
2018,055,3081
2018,194,7313
2015,162,1307
2015,094,121
2020,030,52510
2020,150,2341
2019,173,111134
2020,122,570
2019,081,5044
2016,045,9457
2015,081,5659
2016,136,42
2015,202,895
