Year,EventRootCode,Count
2020,11,177023
2017,18,53284
2019,11,269327
2016,05,453253
2019,05,343206
2016,08,159660
2016,--,1
2015,16,37482
2019,16,76231
2018,18,45756
2019,12,90235
2017,17,207958
2019,18,41083
2017,16,72396
2016,04,1500360
2019,02,240893
2019,06,108362
2017,12,113116
2019,09,65408
2015,08,116742
2015,07,120488
2020,18,29496
2015,15,12728
2019,--,1
2020,--,5
2018,11,299380
2018,15,14186
2020,15,8305
2015,11,215447
2019,03,305416
2017,13,100039
2016,10,48054
2020,17,108972
2020,14,24430
2016,02,288337
2018,02,257482
2018,04,1344007
2018,17,173629
2020,09,41117
2017,08,162845
2016,15,18788
2020,08,93838
2020,03,173492
2020,10,28740
2018,06,128567
2018,14,27639
2017,03,377507
2016,07,139036
2018,16,79379
2020,16,51119
2017,19,278849
2016,03,394898
2017,04,1483606
2017,11,318721
2018,07,121025
2016,01,624867
2016,14,29391
2019,13,68836
2015,05,360225
2019,14,22940
2016,18,55724
2017,06,124948
2019,20,1128
2017,14,33358
2020,20,446
2019,04,1220178
2016,20,2099
2020,02,157424
2018,08,163775
2019,01,485724
2020,13,45367
2019,10,46466
2017,09,77145
2015,01,465652
2018,13,82966
2019,17,165613
2018,19,222777
2018,09,71161
2020,12,55875
2016,17,177872
2018,20,1566
2018,01,546392
2017,02,293794
2020,01,332226
2019,15,13519
2016,09,70437
2016,13,74480
2017,--,2
2020,06,69123
2015,20,1198
2018,12,101944
2020,05,241489
2015,03,339877
2015,06,97920
2015,12,83852
2017,05,420989
2017,07,134133
2016,11,321884
2016,06,121705
2015,18,40036
2015,04,1216776
2015,13,51304
2018,10,48900
2020,07,80538
2017,01,629438
2017,15,21907
2019,07,107360
2017,20,1844
2015,09,57749
2015,19,226375
2020,04,751609
2015,14,19697
2020,19,155172
2015,17,137972
2019,08,148427
2016,19,301922
2016,16,55891
2019,19,206337
2018,05,388760
2015,10,37186
2018,03,355520
2017,10,54762
2016,12,105554
2015,02,210104
